seed,train_rows,test_rows,train_treatment,train_control,test_treatment,test_control,treatment_brier,control_brier,mean_predicted_treatment_probability,mean_predicted_control_probability,mean_predicted_uplift,positive_uplift_rate,positive_economic_uplift_rate,qini_score,targeting_interventions,targeting_intervention_rate,targeting_observed_net_value,targeting_predicted_incremental_net,retry_all_net_value,targeting_minus_retry_all,targeting_beats_retry_all
110,406,175,203,203,87,88,0.2215154425178826,0.2153413636270152,0.7196390019376641,0.6045094384674733,0.11512956347019068,0.9371428571428572,0.9371428571428572,-1381.8001946036475,164,0.9371428571428572,149906.79602763354,29780.075513825897,192226.25877489912,-42319.462747265585,0
111,406,175,203,203,87,88,0.19997544129752617,0.23409280259668197,0.6471860350507029,0.6171940836133044,0.029991951437398526,0.5542857142857143,0.5485714285714286,1194.3266228621333,96,0.5485714285714286,90426.367410636,19107.634946235565,213313.06452897342,-122886.69711833743,0
112,406,175,203,203,87,88,0.20285824984966913,0.21305373005711245,0.6917255880348301,0.6226398084490408,0.06908577958578924,0.8514285714285714,0.8514285714285714,74.04376542347177,149,0.8514285714285714,159928.3936152949,25106.199518493777,219134.4392882471,-59206.0456729522,0
113,406,175,203,203,87,88,0.228424303319899,0.22099999565099238,0.7317913328640303,0.6367902160895784,0.09500111677445192,0.9428571428571428,0.9428571428571428,-730.7790905812641,165,0.9428571428571428,152387.992774504,25061.312230514348,176435.3216856163,-24047.3289111123,0
114,406,175,203,203,87,88,0.2054454908029646,0.21911059035734823,0.6827583150293819,0.6367999453634746,0.045958369665907224,0.5942857142857143,0.5942857142857143,927.580939021083,104,0.5942857142857143,98947.03663445351,18223.813997114863,186694.9758435429,-87747.93920908938,0
115,406,175,203,203,87,88,0.20166022361344657,0.21184790779528928,0.6911024658624214,0.6039824790187447,0.08711998684367672,0.8685714285714285,0.8571428571428571,-515.3157023738253,150,0.8571428571428571,169684.4132762992,29305.736958877584,229615.18546308693,-59930.77218678774,0
116,406,175,203,203,87,88,0.18554982549010793,0.23816752390170912,0.6659587938963322,0.6524870425058722,0.013471751390459938,0.4857142857142857,0.48,2434.6087681031913,84,0.48,72699.60019684816,10531.66608060299,221688.03322090776,-148988.4330240596,0
117,406,175,203,203,87,88,0.21322549092614465,0.2520944900333428,0.6944002968994659,0.6262770168508798,0.0681232800485862,0.7828571428571428,0.7828571428571428,-206.59395128144877,137,0.7828571428571428,200185.95418998634,39858.92784105115,234811.6372342112,-34625.68304422486,0
118,406,175,203,203,87,88,0.2305127163946204,0.2790133067668765,0.6877369863384583,0.6653783825165503,0.022358603821908,0.6514285714285715,0.6514285714285715,148.94756927849002,114,0.6514285714285715,98286.18181620186,12539.43272154809,176737.4481193878,-78451.26630318593,0
119,406,175,203,203,87,88,0.2154211907085105,0.2610700786129106,0.6893645948560371,0.6507127130029352,0.03865188185310171,0.6285714285714286,0.6228571428571429,1913.0073667905365,109,0.6228571428571429,95024.98382470732,15003.695141865024,211439.49930448824,-116414.51547978092,0
