dataset,production_overlap,outcome_overlap,classification,analysis_type,field_a,field_b,field_a_production_overlap,field_a_outcome_overlap,field_b_production_overlap,field_b_outcome_overlap,status
D:\RECLAIM\data\generated\reclaim_production_decisions_v13.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_decisions_v14.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_decisions_v15.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_decisions_v2.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_decisions_v3.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_decisions_v4.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_decisions_v5.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_decisions_v6_1.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_decisions_v9.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_financial_reconciliation_v6_1.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_linkage_v10.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_outcome_capture_v11.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_outcome_capture_v12.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_outcome_capture_v14.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_outcome_capture_v15.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_production_validated_outcomes_v15.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\reclaim_recovery_calibration_integration_v2.csv,10000.0,0.0,PRODUCTION_ID_ONLY,production_id_dataset,,,,,,,
D:\RECLAIM\data\generated\causal_uplift_v2_predictions.csv,,,,dual_id_candidate,experiment_source_transaction_id,experiment_transaction_id,0.0,577.0,3000.0,0.0,CANDIDATE_REQUIRES_VALIDATION
D:\RECLAIM\data\generated\causal_uplift_v2_predictions.csv,,,,dual_id_candidate,experiment_source_transaction_id,transaction_id,0.0,577.0,3000.0,0.0,CANDIDATE_REQUIRES_VALIDATION
D:\RECLAIM\data\generated\causal_uplift_v4_predictions.csv,,,,dual_id_candidate,experiment_source_transaction_id,experiment_transaction_id,0.0,576.0,3000.0,0.0,CANDIDATE_REQUIRES_VALIDATION
D:\RECLAIM\data\generated\causal_uplift_v4_predictions.csv,,,,dual_id_candidate,experiment_source_transaction_id,transaction_id,0.0,576.0,3000.0,0.0,CANDIDATE_REQUIRES_VALIDATION
D:\RECLAIM\data\generated\reclaim_causal_experiment_v2.csv,,,,dual_id_candidate,experiment_source_transaction_id,experiment_transaction_id,0.0,581.0,10000.0,0.0,CANDIDATE_REQUIRES_VALIDATION
D:\RECLAIM\data\generated\reclaim_causal_experiment_v2.csv,,,,dual_id_candidate,experiment_source_transaction_id,transaction_id,0.0,581.0,10000.0,0.0,CANDIDATE_REQUIRES_VALIDATION
D:\RECLAIM\data\generated\reclaim_causal_experiment_v3.csv,,,,dual_id_candidate,experiment_source_transaction_id,experiment_transaction_id,0.0,581.0,10000.0,0.0,CANDIDATE_REQUIRES_VALIDATION
D:\RECLAIM\data\generated\reclaim_causal_experiment_v3.csv,,,,dual_id_candidate,experiment_source_transaction_id,transaction_id,0.0,581.0,10000.0,0.0,CANDIDATE_REQUIRES_VALIDATION
