control_value,treatment_value,incremental_value,targeting_policy,retry_all_policy,no_intervention_policy,targeting_selected_value
1847818.0306055099,1847886.0386151753,68.00800966541283,1,1,0,1847886.0386151753
173787.50616403052,173828.62493841266,41.1187743821356,0,1,0,173787.50616403052
71354362.37914456,71355204.72205111,842.342906549573,1,1,0,71355204.72205111
5452030.376131189,5452251.8218130795,221.44568189047277,1,1,0,5452251.8218130795
4026220.8206423842,4026267.943156983,47.12251459853724,1,1,0,4026267.943156983
776229.1366906383,776320.4672658189,91.33057518058922,1,1,0,776320.4672658189
2431938.739161191,2432089.457925329,150.71876413794234,1,1,0,2432089.457925329
4123960.8068271712,4124123.7796509154,162.9728237441741,1,1,0,4124123.7796509154
11023186.761196494,11023320.442433566,133.68123707175255,1,1,0,11023320.442433566
6267293.101332681,6267455.972100071,162.87076738942415,0,1,0,6267293.101332681
10713722.137815552,10713895.541663218,173.4038476664573,0,1,0,10713722.137815552
772484.1382946647,772519.1963658747,35.05807121004909,1,1,0,772519.1963658747
1439949.1875428027,1440059.9247708754,110.73722807271406,1,1,0,1440059.9247708754
6950417.938389312,6950663.540447719,245.60205840785056,0,1,0,6950417.938389312
987904.3090745586,987968.9446155197,64.6355409611715,0,1,0,987904.3090745586
2046947.6806875272,2047039.0662365383,91.38554901117459,0,1,0,2046947.6806875272
1438682.1837841508,1438751.4663124352,69.28252828447148,1,1,0,1438751.4663124352
911691.9132797144,911759.769129977,67.8558502625674,0,1,0,911691.9132797144
1316327.981716723,1316415.4893891609,87.50767243793234,1,1,0,1316415.4893891609
9261969.157809157,9262255.014346875,285.85653771832585,0,1,0,9261969.157809157
6743459.567150459,6743670.675706204,211.10855574533343,0,1,0,6743459.567150459
485968.6566888086,486009.88938749064,41.23269868205534,1,1,0,486009.88938749064
96939.27838771572,96939.42328076735,0.14489305163442623,1,1,0,96939.42328076735
1068098.8974435492,1068159.598041539,60.70059798983857,0,1,0,1068098.8974435492
1790078.386154597,1790162.9715522812,84.58539768424816,1,1,0,1790162.9715522812
1187614.1943890834,1187636.8108733485,22.616484265075997,0,1,0,1187614.1943890834
28001689.605240937,28001997.389123984,307.7838830463588,1,1,0,28001997.389123984
2613654.8035987765,2613727.6134346877,72.80983591126278,0,1,0,2613654.8035987765
3283729.5827306174,3283883.6177827744,154.03505215700716,1,1,0,3283883.6177827744
2852376.305515184,2852486.6037464347,110.29823125060648,1,1,0,2852486.6037464347
622920.6365021671,622946.833294134,26.196791966911405,0,1,0,622920.6365021671
3768977.678170482,3768980.140116649,2.461946167051792,1,1,0,3768980.140116649
302522.87517644186,302581.12931868335,58.254142241494264,1,1,0,302581.12931868335
1799167.8563814259,1799267.5131586106,99.65677718468942,1,1,0,1799267.5131586106
22755838.314897653,22756161.538195167,323.2232975140214,1,1,0,22756161.538195167
642908.6820874109,642981.2856526077,72.60356519673951,0,1,0,642908.6820874109
244271.18646336923,244312.46011817717,41.27365480794106,1,1,0,244312.46011817717
847871.7805865989,847950.2911725427,78.51058594381902,0,1,0,847871.7805865989
64231.42592242637,64245.317883287214,13.891960860841209,0,1,0,64231.42592242637
2712093.821702228,2712076.1718176734,-17.649884554557502,0,1,0,2712093.821702228
244271.18646336923,244308.81127896608,37.62481559684966,1,1,0,244308.81127896608
126040497.34316106,126041413.11857368,915.7754126191139,1,1,0,126041413.11857368
21676083.39937474,21676459.016966563,375.61759182438254,0,1,0,21676083.39937474
406030.7043884612,406090.746163065,60.04177460382925,1,1,0,406090.746163065
164717.0409722319,164743.2301401024,26.18916787049966,0,1,0,164717.0409722319
1732515.28563052,1732589.2709326437,73.98530212370679,1,1,0,1732589.2709326437
591274.0227204594,591271.3421967032,-2.680523756192997,1,1,0,591271.3421967032
5406473.40790688,5406690.873624634,217.46571775432676,1,1,0,5406690.873624634
764282.5472246957,764327.7701040223,45.2228793266695,0,1,0,764282.5472246957
2945495.904935029,2945516.987659615,21.08272458612919,1,1,0,2945516.987659615
3555873.389357666,3556012.095371409,138.70601374283433,1,1,0,3556012.095371409
18640829.15079593,18641118.76065653,289.609860599041,1,1,0,18641118.76065653
8075314.9467557175,8075450.699950488,135.75319477077574,1,1,0,8075450.699950488
128826.74302523359,128837.75028632315,11.007261089558597,1,1,0,128837.75028632315
1973503.8758253946,1973634.29527858,130.4194531852845,1,1,0,1973634.29527858
25615.498348363304,25627.76273333188,12.26438496857736,0,1,0,25615.498348363304
3912376.8140218644,3912509.828109733,133.01408786838874,1,1,0,3912509.828109733
14963045.83630955,14963366.735315416,320.8990058656782,1,1,0,14963366.735315416
6545801.794917186,6546036.5353060085,234.7403888227418,0,1,0,6545801.794917186
3283729.5827306174,3283930.8448811355,201.2621505181305,1,1,0,3283930.8448811355
772484.1382946647,772512.5828988957,28.44460423104465,1,1,0,772512.5828988957
485968.6566888086,486010.8240299819,42.167341173335444,1,1,0,486010.8240299819
344630.39621665515,344674.1030828009,43.706866145774256,0,1,0,344630.39621665515
4123960.8068271712,4124132.4367699916,171.62994282040745,1,1,0,4124132.4367699916
4181973.138940897,4182057.672535524,84.53359462693334,0,1,0,4181973.138940897
1203907.0240311718,1203954.3881090567,47.364077884936705,1,1,0,1203954.3881090567
1563796.9995148082,1563904.6566501088,107.6571353005711,0,1,0,1563796.9995148082
2886472.6845166525,2886554.955066813,82.27055016066879,0,1,0,2886472.6845166525
7844340.877169891,7844579.923759593,239.04658970143646,1,1,0,7844579.923759593
328891.0801646634,328946.4443929433,55.36422827991191,1,1,0,328946.4443929433
1584898.7601277025,1584952.811880312,54.051752609433606,1,1,0,1584952.811880312
194734.60515268476,194722.7906725064,-11.814480178349186,1,1,0,194722.7906725064
111840.89129113163,111859.41666466331,18.52537353168009,1,1,0,111859.41666466331
257622.0217765094,257652.75756219972,30.735785690310877,0,1,0,257622.0217765094
72605.69454856621,72626.55446024296,20.85991167674365,0,1,0,72605.69454856621
1102547.2567188914,1102622.6140941132,75.35737522179261,0,1,0,1102547.2567188914
5994690.381306537,5994926.035313951,235.65400741342455,0,1,0,5994690.381306537
17550089.65454335,17550102.21601916,12.561475809663534,0,1,0,17550089.65454335
10713722.137815552,10713886.661640894,164.52382534183562,0,1,0,10713722.137815552
74293.52958226226,74308.16497391976,14.635391657502623,0,1,0,74293.52958226226
4055070.806936847,4055138.15606185,67.3491250029765,1,1,0,4055138.15606185
65432610.961475864,65433038.83157164,427.87009577453136,1,1,0,65433038.83157164
43564058.15127581,43564262.21144348,204.06016766279936,1,1,0,43564262.21144348
3696291.842546434,3696382.8441207567,91.00157432258129,0,1,0,3696291.842546434
117464.93800014911,117459.29586781765,-5.6421323314571055,0,1,0,117464.93800014911
5952628.736709481,5952756.682705376,127.94599589519203,0,1,0,5952628.736709481
12780260.198375776,12780412.737887906,152.5395121295005,0,1,0,12780260.198375776
708463.4910896679,708502.6850474201,39.19395775219891,1,1,0,708502.6850474201
14963045.83630955,14963376.565345317,330.7290357667953,1,1,0,14963376.565345317
1935007.1763858767,1935076.6048047363,69.42841885960661,1,1,0,1935076.6048047363
16038089.777960837,16038481.459095633,391.68113479577005,1,1,0,16038481.459095633
11265012.111761114,11265325.36050114,313.2487400267273,1,1,0,11265325.36050114
2268718.843122812,2268835.3481900673,116.50506725534797,1,1,0,2268835.3481900673
62389292.437461406,62390022.53407033,730.0966089218855,1,1,0,62390022.53407033
316679.49738564814,316712.5102254998,33.012839851668105,0,1,0,316679.49738564814
1323834.5555094294,1323917.3043318128,82.74882238334976,0,1,0,1323834.5555094294
136808.25456196745,136842.04120965296,33.786647685512435,1,1,0,136842.04120965296
1692722.1104410996,1692845.6413993253,123.53095822571777,1,1,0,1692845.6413993253
866177.023232418,866260.2629076227,83.23967520473525,1,1,0,866260.2629076227
1097625.1657385358,1097719.4313760477,94.26563751185313,0,1,0,1097625.1657385358
1351533.5000633334,1351622.8421625565,89.34209922305308,0,1,0,1351533.5000633334
827922.5463209351,827965.4203937268,42.87407279165927,1,1,0,827965.4203937268
932111.6242528124,932162.9061313698,51.281878557405435,1,1,0,932162.9061313698
152838.99367302624,152855.9304509811,16.93677795486292,1,1,0,152855.9304509811
3555873.389357666,3556020.388854277,146.9994966108352,1,1,0,3556020.388854277
96967.17098822602,96986.287509824,19.11652159798541,1,1,0,96986.287509824
8586157.492501678,8586378.660489233,221.16798755526543,1,1,0,8586378.660489233
9261969.157809157,9262232.652158659,263.49434950202703,0,1,0,9261969.157809157
6545801.794917186,6546005.331245391,203.53632820490748,0,1,0,6545801.794917186
89289.63735968676,89299.70460108426,10.067241397497128,0,1,0,89289.63735968676
9009068.180574873,9009135.961040316,67.78046544268727,1,1,0,9009135.961040316
229368.04254773862,229403.19597721484,35.15342947622412,0,1,0,229368.04254773862
1477879.2613400389,1477992.710249975,113.44890993623994,1,1,0,1477992.710249975
857953.4482020778,857975.729238045,22.281035967287607,1,1,0,857975.729238045
11023186.761196494,11023321.700086936,134.93889044225216,1,1,0,11023321.700086936
977831.881083325,977883.6799812466,51.79889792157337,0,1,0,977831.881083325
11377672.495031105,11378027.222834827,354.72780372202396,1,1,0,11378027.222834827
1207835.131975527,1207848.5622635635,13.430288036586717,1,1,0,1207848.5622635635
229368.04254773862,229405.79293749455,37.75038975593634,0,1,0,229368.04254773862
114258.11541712612,114281.20931176184,23.093894635720062,1,1,0,114281.20931176184
25615.498348363304,25627.70437365101,12.206025287705415,1,1,0,25627.70437365101
5408579.412974305,5408744.644011146,165.23103684093803,1,1,0,5408744.644011146
557403.996639694,557470.0519832856,66.0553435916081,0,1,0,557403.996639694
1704614.2016440798,1704609.9149390056,-4.2867050741333514,1,1,0,1704609.9149390056
356358.20952557714,356401.0024552357,42.79292965854984,1,1,0,356401.0024552357
245120.37973896507,245161.96156725092,41.58182828585268,1,1,0,245161.96156725092
1600210.0058459565,1600294.1419845172,84.13613856071606,1,1,0,1600294.1419845172
7211805.783904289,7212005.947038707,200.16313441842794,0,1,0,7211805.783904289
359162.42064649763,359199.5764622914,37.155815793783404,0,1,0,359162.42064649763
1103001.5846540234,1103090.2410935035,88.65643948013894,1,1,0,1103090.2410935035
8970744.4865961,8971023.198198799,278.71160269901156,0,1,0,8970744.4865961
2660122.6119231414,2660171.2039147955,48.59199165413156,0,1,0,2660122.6119231414
8484448.072901974,8484651.846933981,203.77403200790286,1,1,0,8484651.846933981
557403.996639694,557467.0153896903,63.018749996321276,0,1,0,557403.996639694
4818590.949920602,4818796.0577850295,205.10786442738026,0,1,0,4818590.949920602
13464290.526900984,13464513.033473829,222.5065728444606,1,1,0,13464513.033473829
3434239.499741499,3434376.064483847,136.56474234815687,1,1,0,3434376.064483847
1563796.9995148082,1563920.6846596024,123.68514479417354,0,1,0,1563796.9995148082
822808.5080977706,822871.3891518104,62.881054039811715,1,1,0,822871.3891518104
302522.87517644186,302566.99625901546,44.121082573605236,0,1,0,302522.87517644186
2268718.843122812,2268821.001509844,102.15838703187183,0,1,0,2268718.843122812
1047750.7149074771,1047808.3556191471,57.64071166992653,1,1,0,1047808.3556191471
73383.22460362459,73397.34445237878,14.119848754184204,1,1,0,73397.34445237878
3918474.65856107,3918632.5279054698,157.8693443997763,1,1,0,3918632.5279054698
29222551.020591423,29222974.378463533,423.3578721098602,1,1,0,29222974.378463533
674378.2538219108,674421.5764827628,43.322660851990804,0,1,0,674378.2538219108
1704614.2016440798,1704611.4174697269,-2.7841743528842926,1,1,0,1704611.4174697269
2538430.5795847196,2538530.893803731,100.3142190114595,1,1,0,2538530.893803731
877596.8530442578,877649.9121299398,53.05908568191808,1,1,0,877649.9121299398
1141794.5827811563,1141797.8673389952,3.284557838924229,1,1,0,1141797.8673389952
765840.2459430216,765837.4833122676,-2.762630754034035,1,1,0,765837.4833122676
14851905.397995414,14852271.549067693,366.1510722786188,0,1,0,14851905.397995414
1799167.8563814259,1799271.3441624695,103.4877810436301,1,1,0,1799271.3441624695
3085735.0125213237,3085905.8852679254,170.87274660170078,0,1,0,3085735.0125213237
4818590.949920602,4818800.116724458,209.16680385544896,0,1,0,4818590.949920602
22755838.314897653,22756158.902081512,320.5871838591993,1,1,0,22756158.902081512
2557075.8568376983,2557191.173777806,115.3169401078485,1,1,0,2557191.173777806
10681598.53702642,10681865.303828888,266.7668024674058,0,1,0,10681598.53702642
125632.45175601031,125646.38201673469,13.930260724373511,1,1,0,125646.38201673469
1282212.8368828252,1282291.2976010332,78.46071820799261,0,1,0,1282212.8368828252
2852376.305515184,2852496.584210366,120.27869518194348,0,1,0,2852376.305515184
8302873.858732726,8303076.42698315,202.5682504232973,0,1,0,8302873.858732726
73966.16767497586,73981.93536804868,15.767693072819384,0,1,0,73966.16767497586
1943651.7492579352,1943712.3776582906,60.62840035534464,1,1,0,1943712.3776582906
32231.878649484108,32236.947946218515,5.069296734407544,0,1,0,32231.878649484108
977831.881083325,977896.6749090963,64.79382577131037,0,1,0,977831.881083325
24038.34722782521,24037.824178946787,-0.5230488784218323,1,1,0,24037.824178946787
141877.76570612966,141900.35432354265,22.588617412984604,1,1,0,141900.35432354265
418786.4926461767,418837.5663290433,51.07368286658311,0,1,0,418786.4926461767
2474176.223907786,2474297.5639723786,121.34006459265947,1,1,0,2474297.5639723786
278731.0403933141,278771.9497973723,40.90940405818401,1,1,0,278771.9497973723
5452030.376131189,5452210.041137286,179.66500609740615,1,1,0,5452210.041137286
168473.11384030466,168507.95347604403,34.839635739364894,0,1,0,168473.11384030466
4123960.8068271712,4124103.5498909005,142.7430637292564,0,1,0,4123960.8068271712
11023186.761196494,11023360.051680524,173.2904840297997,1,1,0,11023360.051680524
9053401.817717794,9053619.737339215,217.9196214210242,0,1,0,9053401.817717794
2735768.0686973715,2735782.4983353848,14.429638013243675,0,1,0,2735768.0686973715
788281.9966175453,788357.8303209185,75.83370337320957,0,1,0,788281.9966175453
5411385.311234373,5411549.667333315,164.35609894245863,1,1,0,5411549.667333315
252013.05452287509,252054.3790052769,41.324482401803834,1,1,0,252054.3790052769
6545801.794917186,6546002.664352886,200.86943570058793,0,1,0,6545801.794917186
1438682.1837841508,1438762.991325162,80.80754101113416,1,1,0,1438762.991325162
3444341.3672214714,3444501.1920923153,159.82487084390596,1,1,0,3444501.1920923153
1536309.656775106,1536389.3105649294,79.65378982340917,1,1,0,1536389.3105649294
9261969.157809157,9262206.940882886,237.78307372890413,0,1,0,9261969.157809157
194734.60515268476,194732.4200308287,-2.185121856047772,1,1,0,194732.4200308287
143397.80670130212,143418.73049281718,20.923791515058838,1,1,0,143418.73049281718
500201.74121300003,500234.0145760348,32.27336303476477,1,1,0,500234.0145760348
1381923.2868618125,1381950.3425166602,27.055654847761616,0,1,0,1381923.2868618125
622920.6365021671,622964.1800401044,43.54353793733753,1,1,0,622964.1800401044
1773178.1788168591,1773289.974763491,111.79594663181342,1,1,0,1773289.974763491
257622.0217765094,257662.1634569264,40.141680417000316,0,1,0,257622.0217765094
26963577.599322863,26964104.924480367,527.3251575045288,0,1,0,26963577.599322863
5762139.825437719,5762265.191451801,125.36601408198476,1,1,0,5762265.191451801
1541966.7414974757,1542051.452214201,84.71071672532707,1,1,0,1542051.452214201
727558.0228634931,727571.1351035839,13.11224009084981,0,1,0,727558.0228634931
387553.0629193628,387590.86881350714,37.805894144345075,1,1,0,387590.86881350714
745720.2629841297,745800.8156828514,80.55269872164354,1,1,0,745800.8156828514
128287.41712272058,128320.97714913895,33.560026418374036,1,1,0,128320.97714913895
208489.41734393156,208520.46577703615,31.048433104588185,1,1,0,208520.46577703615
101897.88252210115,101916.76936812261,18.88684602145804,1,1,0,101916.76936812261
3308808.053273834,3308990.9414478345,182.88817400066182,0,1,0,3308808.053273834
776229.1366906383,776323.8979502803,94.7612596420804,1,1,0,776323.8979502803
745207.949757806,745283.9380069638,75.98824915778823,1,1,0,745283.9380069638
1323834.5555094294,1323902.3147028813,67.7591934518423,0,1,0,1323834.5555094294
1323834.5555094294,1323909.5062429935,74.95073356409557,0,1,0,1323834.5555094294
2053930.2186851925,2053917.6069466632,-12.611738529289141,0,1,0,2053930.2186851925
4026220.8206423842,4026289.614185728,68.79354334389791,1,1,0,4026289.614185728
8954391.253223268,8954574.85011228,183.59688901156187,1,1,0,8954574.85011228
12780260.198375776,12780431.767218463,171.56884268671274,0,1,0,12780260.198375776
126040497.34316106,126041428.50824675,931.1650856882334,1,1,0,126041428.50824675
3912376.8140218644,3912472.8604231114,96.0464012469165,1,1,0,3912472.8604231114
2613654.8035987765,2613737.553523053,82.74992427648976,0,1,0,2613654.8035987765
78215.11988881922,78229.54864915003,14.428760330818477,0,1,0,78215.11988881922
5267397.917790059,5267631.8851438435,233.9673537844792,0,1,0,5267397.917790059
5762139.825437719,5762233.594963632,93.76952591259032,1,1,0,5762233.594963632
49049533.51043717,49049602.281637534,68.77120036631823,1,1,0,49049602.281637534
14397904.552325727,14398283.970517617,379.41819188930094,0,1,0,14397904.552325727
603340.1087191155,603386.3844968062,46.27577769069467,1,1,0,603386.3844968062
2491099.527741081,2491172.984564015,73.45682293409482,1,1,0,2491172.984564015
1194718.1911450252,1194784.290186232,66.0990412067622,0,1,0,1194718.1911450252
11722140.734803813,11722407.296302428,266.56149861589074,0,1,0,11722140.734803813
289238.17066096887,289274.75476274785,36.58410177897895,0,1,0,289238.17066096887
7803938.902313549,7804182.493052173,243.59073862433434,0,1,0,7803938.902313549
14963045.83630955,14963357.431973746,311.5956641957164,1,1,0,14963357.431973746
101897.88252210115,101908.85680553898,10.97428343782667,1,1,0,101908.85680553898
3283729.5827306174,3283865.229197197,135.6464665797539,0,1,0,3283729.5827306174
5452030.376131189,5452237.248707796,206.87257660739124,1,1,0,5452237.248707796
17258126.75767763,17258414.228201717,287.47052408754826,0,1,0,17258126.75767763
1036195.9052392339,1036270.4395476175,74.53430838359054,0,1,0,1036195.9052392339
3085735.0125213237,3085887.3094358016,152.29691447783262,0,1,0,3085735.0125213237
4672251.772108818,4672368.557606952,116.78549813386053,0,1,0,4672251.772108818
642908.6820874109,642987.9864722172,79.30438480630983,0,1,0,642908.6820874109
1141794.5827811563,1141802.5510895343,7.968308378010988,1,1,0,1141802.5510895343
8484448.072901974,8484676.262418075,228.1895161010325,1,1,0,8484676.262418075
14851905.397995414,14852238.43176788,333.03377246670425,1,1,0,14852238.43176788
5267397.917790059,5267618.252867866,220.33507780730724,0,1,0,5267397.917790059
359162.42064649763,359192.2791008766,29.85845437896205,0,1,0,359162.42064649763
3764700.7099296222,3764854.285018599,153.5750889768824,0,1,0,3764700.7099296222
2557075.8568376983,2557175.8710875497,100.0142498514615,1,1,0,2557175.8710875497
14851905.397995414,14852208.586631645,303.18863623030484,0,1,0,14851905.397995414
6267566.109666087,6267754.986523893,188.87685780599713,0,1,0,6267566.109666087
894801.3075319069,894801.4532959887,0.14576408185530454,1,1,0,894801.4532959887
509093.49435175816,509141.808643684,48.31429192586802,0,1,0,509093.49435175816
343316.8376024959,343317.7148161611,0.8772136651678011,0,1,0,343316.8376024959
1282212.8368828252,1282291.3216765374,78.48479371215217,0,1,0,1282212.8368828252
4556696.424357577,4556714.487323328,18.062965750694275,0,1,0,4556696.424357577
3023575.6087595387,3023716.521603428,140.91284388909116,0,1,0,3023575.6087595387
6743459.567150459,6743653.2281658435,193.66101538483053,0,1,0,6743459.567150459
4447812.172309932,4448010.853911998,198.68160206545144,1,1,0,4448010.853911998
2671494.157679522,2671541.544249705,47.38657018309459,1,1,0,2671541.544249705
456554.533892592,456586.4885757247,31.954683132702485,0,1,0,456554.533892592
6749905.662706231,6750166.564159938,260.9014537073672,0,1,0,6749905.662706231
3396659.1216773177,3396779.207193565,120.08551624743268,0,1,0,3396659.1216773177
43564058.15127581,43564199.41282685,141.26155103743076,1,1,0,43564199.41282685
49049533.51043717,49049640.72780644,107.21736927330494,1,1,0,49049640.72780644
1207835.131975527,1207834.485963778,-0.646011748816818,1,1,0,1207834.485963778
51766.28039870045,51777.316511619116,11.036112918664003,0,1,0,51766.28039870045
1412557.5132314658,1412598.0157718433,40.50254037743434,1,1,0,1412598.0157718433
29222551.020591423,29222920.054976426,369.0343850031495,1,1,0,29222920.054976426
923573.9689023267,923652.778811967,78.80990964034572,0,1,0,923573.9689023267
10753432.679771453,10753618.577097226,185.8973257727921,0,1,0,10753432.679771453
453639.64193600364,453670.34455811366,30.702622110024095,0,1,0,453639.64193600364
1351533.5000633334,1351630.344169408,96.84410607465543,1,1,0,1351630.344169408
3894903.960935407,3895101.226901057,197.26596565032378,1,1,0,3895101.226901057
4996969.950179521,4997194.512578187,224.56239866558462,0,1,0,4996969.950179521
6315424.572603809,6315593.396369033,168.82376522384584,1,1,0,6315593.396369033
4818590.949920602,4818793.688264379,202.73834377713501,1,1,0,4818793.688264379
1790078.386154597,1790157.3742547687,78.98810017178766,1,1,0,1790157.3742547687
1203907.0240311718,1203946.5163778646,39.492346692830324,1,1,0,1203946.5163778646
745207.949757806,745270.3324733146,62.38271550857462,1,1,0,745270.3324733146
194734.60515268476,194737.94514387485,3.3399911900924053,1,1,0,194737.94514387485
56418645.68427123,56418706.34234197,60.65807073563337,0,1,0,56418645.68427123
106347.35517988839,106375.22308723415,27.867907345760614,1,1,0,106375.22308723415
877596.8530442578,877647.1255544404,50.27251018257812,1,1,0,877647.1255544404
14064897.145826096,14065109.78546449,212.63963839411736,0,1,0,14064897.145826096
343316.8376024959,343327.37263368606,10.535031190142035,0,1,0,343316.8376024959
301996.25721334195,302028.1149489515,31.857735609577503,0,1,0,301996.25721334195
3806815.3492183303,3806858.413335943,43.064117612782866,1,1,0,3806858.413335943
8660190.869514309,8660435.29008669,244.42057238146663,1,1,0,8660435.29008669
2911166.6700741975,2911283.4317686902,116.76169449277222,1,1,0,2911283.4317686902
325957.7981311924,326006.76681088295,48.96867969055893,0,1,0,325957.7981311924
