transaction_id,amount,recovery_probability,recovery_flag,recovered_amount,expected_recovery,intervention_cost,friction_cost,expected_action_cost,expected_net_recovery,incremental_economic_value,should_intervene,action,economic_priority,economic_rank
T0009420,6727.76,0.3913165740184673,1,6727.76,2632.6839940184836,1.5,0.25,1.75,2630.9339940184836,2630.9339940184836,True,RETRY,HIGH,39
T0029592,4308.03,0.5923061207237348,0,0.0,2551.672537261471,1.5,0.25,1.75,2549.922537261471,2549.922537261471,True,RETRY,HIGH,40
T0016065,3864.42,0.6580829251813127,0,0.0,2543.1088177291685,1.5,0.25,1.75,2541.3588177291685,2541.3588177291685,True,RETRY,HIGH,41
T0008556,4692.25,0.5367904543475717,0,0.0,2518.755009412393,1.5,0.25,1.75,2517.005009412393,2517.005009412393,True,RETRY,HIGH,42
T0001623,4475.23,0.5531976800175946,1,4475.23,2475.68685354514,1.5,0.25,1.75,2473.93685354514,2473.93685354514,True,RETRY,HIGH,43
T0005039,5727.91,0.4275079915372807,1,5727.91,2448.7272998063054,1.5,0.25,1.75,2446.9772998063054,2446.9772998063054,True,RETRY,HIGH,44
T0022423,4379.85,0.5502224067786585,1,4379.85,2409.8916083295076,1.5,0.25,1.75,2408.1416083295076,2408.1416083295076,True,RETRY,HIGH,45
T0034352,3856.22,0.6201155223497128,1,3856.22,2391.3018795954094,1.5,0.25,1.75,2389.5518795954094,2389.5518795954094,True,RETRY,HIGH,46
T0033814,3776.6,0.6254866286270899,1,3776.6,2362.2128016730676,1.5,0.25,1.75,2360.4628016730676,2360.4628016730676,True,RETRY,HIGH,47
T0004825,4300.34,0.5475719373676434,1,4300.34,2354.745505139572,1.5,0.25,1.75,2352.995505139572,2352.995505139572,True,RETRY,HIGH,48
T0017254,3815.13,0.6069349046238178,1,3815.13,2315.5355626774663,1.5,0.25,1.75,2313.7855626774663,2313.7855626774663,True,RETRY,HIGH,49
T0008276,3695.33,0.6251163262826447,0,0.0,2310.0111140020454,1.5,0.25,1.75,2308.2611140020454,2308.2611140020454,True,RETRY,HIGH,50
T0010198,4987.96,0.4628317654539224,1,4987.96,2308.586332813547,1.5,0.25,1.75,2306.836332813547,2306.836332813547,True,RETRY,HIGH,51
T0002140,5450.57,0.4186292406996428,0,0.0,2281.767980480252,1.5,0.25,1.75,2280.017980480252,2280.017980480252,True,RETRY,HIGH,52
T0020222,4322.65,0.5268304985171657,1,4322.65,2277.303854415226,1.5,0.25,1.75,2275.553854415226,2275.553854415226,True,RETRY,HIGH,53
T0021895,3974.88,0.5710221741335135,0,0.0,2269.7446195198204,1.5,0.25,1.75,2267.9946195198204,2267.9946195198204,True,RETRY,HIGH,54
T0020862,5537.97,0.4086783522356417,1,5537.97,2263.2484543304167,1.5,0.25,1.75,2261.4984543304167,2261.4984543304167,True,RETRY,HIGH,55
T0041250,3761.39,0.6003157745549079,1,3761.39,2258.021751253085,1.5,0.25,1.75,2256.271751253085,2256.271751253085,True,RETRY,HIGH,56
T0006659,5457.57,0.4102589046152505,1,5457.57,2239.0166900610525,1.5,0.25,1.75,2237.2666900610525,2237.2666900610525,True,RETRY,HIGH,57
T0015518,4975.57,0.4499772724616433,1,4975.57,2238.8934175419786,1.5,0.25,1.75,2237.1434175419786,2237.1434175419786,True,RETRY,HIGH,58
T0016179,4098.16,0.5461264626477914,1,4098.16,2238.1136241646727,1.5,0.25,1.75,2236.3636241646727,2236.3636241646727,True,RETRY,HIGH,59
T0036036,4342.18,0.513871235865622,0,0.0,2231.321402950987,1.5,0.25,1.75,2229.571402950987,2229.571402950987,True,RETRY,HIGH,60
T0017271,5035.89,0.4421488317775444,1,5035.89,2226.612880460218,1.5,0.25,1.75,2224.862880460218,2224.862880460218,True,RETRY,HIGH,61
T0022056,3873.91,0.5725640259734103,1,3873.91,2218.0615058586536,1.5,0.25,1.75,2216.3115058586536,2216.3115058586536,True,RETRY,HIGH,62
T0020800,3505.26,0.627323636652685,0,0.0,2198.9324506131907,1.5,0.25,1.75,2197.1824506131907,2197.1824506131907,True,RETRY,HIGH,63
T0041351,3396.35,0.6461800034616649,1,3396.35,2194.6534547570254,1.5,0.25,1.75,2192.9034547570254,2192.9034547570254,True,RETRY,HIGH,64
T0001218,3722.97,0.5733799489369964,1,3722.97,2134.6763484939693,1.5,0.25,1.75,2132.9263484939693,2132.9263484939693,True,RETRY,HIGH,65
T0036675,3451.27,0.6149104696225893,1,3451.27,2122.2220564943536,1.5,0.25,1.75,2120.4720564943536,2120.4720564943536,True,RETRY,HIGH,66
T0002965,4775.68,0.4429669382683889,1,4775.68,2115.4683477495796,1.5,0.25,1.75,2113.7183477495796,2113.7183477495796,True,RETRY,HIGH,67
T0029724,5312.11,0.3982075702976819,1,5312.11,2115.3224162540187,1.5,0.25,1.75,2113.5724162540187,2113.5724162540187,True,RETRY,HIGH,68
T0010979,3526.31,0.5967851770051511,1,3526.31,2104.4495375250344,1.5,0.25,1.75,2102.6995375250344,2102.6995375250344,True,RETRY,HIGH,69
T0041150,3964.47,0.5239365905053054,1,3964.47,2077.1308949605677,1.5,0.25,1.75,2075.3808949605677,2075.3808949605677,True,RETRY,HIGH,70
T0035132,3389.91,0.6122646315080077,1,3389.91,2075.5219969953105,1.5,0.25,1.75,2073.7719969953105,2073.7719969953105,True,RETRY,HIGH,71
T0037656,3488.31,0.5913512597710879,1,3488.31,2062.8165129720837,1.5,0.25,1.75,2061.0665129720837,2061.0665129720837,True,RETRY,HIGH,72
T0035080,3682.97,0.5585445219861277,1,3682.97,2057.1027181392487,1.5,0.25,1.75,2055.3527181392487,2055.3527181392487,True,RETRY,HIGH,73
T0000615,4415.97,0.4655687741275993,0,0.0,2055.9377394842545,1.5,0.25,1.75,2054.1877394842545,2054.1877394842545,True,RETRY,HIGH,74
T0020328,4929.51,0.4135687967704695,0,0.0,2038.6915193679972,1.5,0.25,1.75,2036.9415193679972,2036.9415193679972,True,RETRY,HIGH,75
T0022376,4040.65,0.5027036401872765,1,4040.65,2031.249463722719,1.5,0.25,1.75,2029.499463722719,2029.499463722719,True,RETRY,HIGH,76
T0042949,3438.61,0.5857538579661165,0,0.0,2014.1790735408679,1.5,0.25,1.75,2012.4290735408679,2012.4290735408679,True,RETRY,HIGH,77
T0006189,3562.58,0.560687589746752,0,0.0,1997.4943934799837,1.5,0.25,1.75,1995.7443934799837,1995.7443934799837,True,RETRY,HIGH,78
T0002330,3089.91,0.6458327531579805,1,3089.91,1995.5650823103754,1.5,0.25,1.75,1993.8150823103754,1993.8150823103754,True,RETRY,HIGH,79
T0004390,3570.26,0.5535451464447997,1,3570.26,1976.3000945460105,1.5,0.25,1.75,1974.5500945460105,1974.5500945460105,True,RETRY,HIGH,80
T0024285,4329.66,0.4554269516444451,0,0.0,1971.843855456888,1.5,0.25,1.75,1970.093855456888,1970.093855456888,True,RETRY,HIGH,81
T0021886,5256.59,0.3749432456845867,1,5256.59,1970.9229158331416,1.5,0.25,1.75,1969.1729158331416,1969.1729158331416,True,RETRY,HIGH,82
T0019405,3359.61,0.5866035826806771,1,3359.61,1970.7592624098297,1.5,0.25,1.75,1969.0092624098297,1969.0092624098297,True,RETRY,HIGH,83
T0010502,3043.84,0.641039734168526,0,0.0,1951.2223844515263,1.5,0.25,1.75,1949.4723844515263,1949.4723844515263,True,RETRY,HIGH,84
T0003525,3465.69,0.5599988925022219,1,3465.69,1940.7825617560254,1.5,0.25,1.75,1939.0325617560254,1939.0325617560254,True,RETRY,HIGH,85
T0013097,3516.47,0.5428583688118367,1,3516.47,1908.9451681757594,1.5,0.25,1.75,1907.1951681757594,1907.1951681757594,True,RETRY,HIGH,86
T0025032,3335.14,0.5704220888699139,1,3335.14,1902.4375254736044,1.5,0.25,1.75,1900.6875254736044,1900.6875254736044,True,RETRY,HIGH,87
T0043760,3251.86,0.5828673113666634,1,3251.86,1895.402895140798,1.5,0.25,1.75,1893.652895140798,1893.652895140798,True,RETRY,HIGH,88
T0032221,4176.0,0.4535895730160999,1,4176.0,1894.1900569152333,1.5,0.25,1.75,1892.4400569152333,1892.4400569152333,True,RETRY,HIGH,89
T0020912,2910.04,0.6506999228899442,1,2910.04,1893.562803606653,1.5,0.25,1.75,1891.812803606653,1891.812803606653,True,RETRY,HIGH,90
T0015660,3006.49,0.6287062210552534,1,3006.49,1890.1989665404087,1.5,0.25,1.75,1888.4489665404087,1888.4489665404087,True,RETRY,HIGH,91
T0043137,3584.46,0.5191714304961369,0,0.0,1860.9492257561828,1.5,0.25,1.75,1859.1992257561828,1859.1992257561828,True,RETRY,HIGH,92
T0001969,3555.17,0.5219623910035961,0,0.0,1855.6650336242549,1.5,0.25,1.75,1853.9150336242549,1853.9150336242549,True,RETRY,HIGH,93
T0029525,5643.7,0.3283827428240702,1,5643.7,1853.2936856762049,1.5,0.25,1.75,1851.5436856762049,1851.5436856762049,True,RETRY,HIGH,94
T0040160,3285.42,0.5617158003472434,1,3285.42,1845.4723247768407,1.5,0.25,1.75,1843.7223247768407,1843.7223247768407,True,RETRY,HIGH,95
T0005932,3070.19,0.6003269619459125,0,0.0,1843.117835296721,1.5,0.25,1.75,1841.367835296721,1841.367835296721,True,RETRY,HIGH,96
T0042864,3733.84,0.4927757694478025,1,3733.84,1839.9458789949829,1.5,0.25,1.75,1838.1958789949829,1838.1958789949829,True,RETRY,HIGH,97
T0040193,3584.35,0.5079612638044543,1,3584.35,1820.7109559174955,1.5,0.25,1.75,1818.9609559174955,1818.9609559174955,True,RETRY,HIGH,98
T0001485,4606.37,0.3938547736133321,1,4606.37,1814.2408135292446,1.5,0.25,1.75,1812.4908135292446,1812.4908135292446,True,RETRY,HIGH,99
T0023810,3359.75,0.5337321462845045,0,0.0,1793.206578479364,1.5,0.25,1.75,1791.456578479364,1791.456578479364,True,RETRY,HIGH,100
T0018357,3583.63,0.499394608976544,0,0.0,1789.6455025666123,1.5,0.25,1.75,1787.8955025666123,1787.8955025666123,True,RETRY,HIGH,101
T0025105,3444.56,0.5182373095508673,1,3444.56,1785.0995069865355,1.5,0.25,1.75,1783.3495069865355,1783.3495069865355,True,RETRY,HIGH,102
T0037318,2936.81,0.6040660228871624,1,2936.81,1774.0271366752472,1.5,0.25,1.75,1772.2771366752472,1772.2771366752472,True,RETRY,HIGH,103
T0023316,4270.86,0.4091521313430894,1,4270.86,1747.4314716679467,1.5,0.25,1.75,1745.6814716679467,1745.6814716679467,True,RETRY,HIGH,104
T0038314,4328.96,0.4024318005836505,0,0.0,1742.1111674545998,1.5,0.25,1.75,1740.3611674545998,1740.3611674545998,True,RETRY,HIGH,105
T0024850,2900.37,0.5932023308612363,0,0.0,1720.5062443600038,1.5,0.25,1.75,1718.7562443600038,1718.7562443600038,True,RETRY,HIGH,106
T0022506,2950.24,0.5830417443461505,1,2950.24,1720.113075839787,1.5,0.25,1.75,1718.363075839787,1718.363075839787,True,RETRY,HIGH,107
T0023521,5498.96,0.3112909383987239,0,0.0,1711.7764186170468,1.5,0.25,1.75,1710.0264186170468,1710.0264186170468,True,RETRY,HIGH,108
T0024886,3119.61,0.5468837865725771,0,0.0,1706.0641294296772,1.5,0.25,1.75,1704.3141294296772,1704.3141294296772,True,RETRY,HIGH,109
T0043180,3827.32,0.444440563695782,1,3827.32,1701.0162582441403,1.5,0.25,1.75,1699.2662582441403,1699.2662582441403,True,RETRY,HIGH,110
T0044823,3437.17,0.4922774868423709,1,3437.17,1692.041409449992,1.5,0.25,1.75,1690.291409449992,1690.291409449992,True,RETRY,HIGH,111
T0027274,3091.65,0.5443245941253173,1,3091.65,1682.8611314275372,1.5,0.25,1.75,1681.1111314275372,1681.1111314275372,True,RETRY,HIGH,112
T0023828,2744.33,0.6099718371333361,1,2744.33,1673.9640118001282,1.5,0.25,1.75,1672.2140118001282,1672.2140118001282,True,RETRY,HIGH,113
T0025889,2600.33,0.6398317718913457,1,2600.33,1663.7737514022228,1.5,0.25,1.75,1662.0237514022228,1662.0237514022228,True,RETRY,HIGH,114
T0019632,3487.77,0.4767882298260933,1,3487.77,1662.9276843405535,1.5,0.25,1.75,1661.1776843405535,1661.1776843405535,True,RETRY,HIGH,115
T0009618,3165.66,0.5186853030306862,1,3165.66,1641.981316392122,1.5,0.25,1.75,1640.231316392122,1640.231316392122,True,RETRY,HIGH,116
T0038307,3654.98,0.4480321224934166,0,0.0,1637.5484470709878,1.5,0.25,1.75,1635.7984470709878,1635.7984470709878,True,RETRY,HIGH,117
T0026059,3723.21,0.4379294436728283,1,3723.21,1630.503283977111,1.5,0.25,1.75,1628.753283977111,1628.753283977111,True,RETRY,HIGH,118
T0042048,2616.95,0.6170070253230585,0,0.0,1614.6765349191778,1.5,0.25,1.75,1612.9265349191778,1612.9265349191778,True,RETRY,HIGH,119
T0027186,2678.26,0.6012895765666252,1,2678.26,1610.4098213353298,1.5,0.25,1.75,1608.6598213353298,1608.6598213353298,True,RETRY,HIGH,120
T0041511,2597.54,0.618888309519216,1,2597.54,1607.5871395085444,1.5,0.25,1.75,1605.8371395085444,1605.8371395085444,True,RETRY,HIGH,121
T0006338,2920.97,0.540463433873709,1,2920.97,1578.6774764420877,1.5,0.25,1.75,1576.9274764420877,1576.9274764420877,True,RETRY,HIGH,122
T0016752,3345.45,0.4692699282635716,0,0.0,1569.9190815093655,1.5,0.25,1.75,1568.1690815093655,1568.1690815093655,True,RETRY,HIGH,123
T0022375,2608.61,0.6003713654340186,1,2608.61,1566.1347475848354,1.5,0.25,1.75,1564.3847475848354,1564.3847475848354,True,RETRY,HIGH,124
T0025936,2503.51,0.6244970550999515,1,2503.51,1563.4346224132796,1.5,0.25,1.75,1561.6846224132796,1561.6846224132796,True,RETRY,HIGH,125
T0022824,2879.41,0.5412918314526856,1,2879.41,1558.6011124031772,1.5,0.25,1.75,1556.8511124031772,1556.8511124031772,True,RETRY,HIGH,126
T0028677,2525.76,0.6152226054131662,1,2525.76,1553.9046478483588,1.5,0.25,1.75,1552.1546478483588,1552.1546478483588,True,RETRY,HIGH,127
T0000153,3532.84,0.4391947521357395,0,0.0,1551.604788135226,1.5,0.25,1.75,1549.854788135226,1549.854788135226,True,RETRY,HIGH,128
T0006332,2823.82,0.5492492754630742,0,0.0,1550.9810890381384,1.5,0.25,1.75,1549.2310890381384,1549.2310890381384,True,RETRY,HIGH,129
T0032309,3379.59,0.4543998641337741,1,3379.59,1535.6852368278617,1.5,0.25,1.75,1533.9352368278617,1533.9352368278617,True,RETRY,HIGH,130
T0025752,3027.33,0.5060192436738734,0,0.0,1531.8872369512271,1.5,0.25,1.75,1530.1372369512271,1530.1372369512271,True,RETRY,HIGH,131
T0036346,2934.57,0.5201249411186759,1,2934.57,1526.343048458633,1.5,0.25,1.75,1524.593048458633,1524.593048458633,True,RETRY,HIGH,132
T0015341,3284.72,0.4621801049800637,1,3284.72,1518.1322344301147,1.5,0.25,1.75,1516.3822344301147,1516.3822344301147,True,RETRY,HIGH,133
T0029503,4813.1,0.3153648463896713,0,0.0,1517.882542158127,1.5,0.25,1.75,1516.132542158127,1516.132542158127,True,RETRY,HIGH,134
T0004616,3696.79,0.408304484771443,1,3696.79,1509.4159362582227,1.5,0.25,1.75,1507.6659362582227,1507.6659362582227,True,RETRY,HIGH,135
T0039921,2792.35,0.5391322934643106,1,2792.35,1505.4460596550675,1.5,0.25,1.75,1503.6960596550675,1503.6960596550675,True,RETRY,HIGH,136
T0018720,3034.85,0.4960148496173217,1,3034.85,1505.3306663611286,1.5,0.25,1.75,1503.5806663611286,1503.5806663611286,True,RETRY,HIGH,137
T0019010,2455.74,0.6124618644620158,1,2455.74,1504.0470990339504,1.5,0.25,1.75,1502.2970990339504,1502.2970990339504,True,RETRY,HIGH,138
T0024595,2549.18,0.5811802889364565,1,2549.18,1481.533168951036,1.5,0.25,1.75,1479.783168951036,1479.783168951036,True,RETRY,HIGH,139
T0011198,2470.25,0.5982259438432335,1,2470.25,1477.7676377787475,1.5,0.25,1.75,1476.0176377787475,1476.0176377787475,True,RETRY,HIGH,140
T0023604,2765.46,0.5312250851470267,0,0.0,1469.0817239706964,1.5,0.25,1.75,1467.3317239706964,1467.3317239706964,True,RETRY,HIGH,141
T0020058,2542.15,0.5769536327990903,1,2542.15,1466.7026776202074,1.5,0.25,1.75,1464.9526776202074,1464.9526776202074,True,RETRY,HIGH,142
T0042583,3936.84,0.3708088466859583,0,0.0,1459.8150999871482,1.5,0.25,1.75,1458.0650999871482,1458.0650999871482,True,RETRY,HIGH,143
T0032496,2420.0,0.6023654245870276,1,2420.0,1457.7243275006067,1.5,0.25,1.75,1455.9743275006067,1455.9743275006067,True,RETRY,HIGH,144
T0043325,2691.95,0.5405399112422827,0,0.0,1455.1064140686628,1.5,0.25,1.75,1453.3564140686628,1453.3564140686628,True,RETRY,HIGH,145
T0020767,2221.85,0.651617903420209,1,2221.85,1447.7972387141913,1.5,0.25,1.75,1446.0472387141913,1446.0472387141913,True,RETRY,HIGH,146
T0021620,2242.72,0.6429958347841331,1,2242.72,1442.0596185870709,1.5,0.25,1.75,1440.3096185870709,1440.3096185870709,True,RETRY,HIGH,147
T0044611,3200.52,0.4490227058287979,1,3200.52,1437.1061504591842,1.5,0.25,1.75,1435.3561504591842,1435.3561504591842,True,RETRY,HIGH,148
T0036983,3213.93,0.4465478783204035,1,3213.93,1435.1736225702944,1.5,0.25,1.75,1433.4236225702944,1433.4236225702944,True,RETRY,HIGH,149
T0010564,2648.1,0.541762869849575,1,2648.1,1434.6422556486596,1.5,0.25,1.75,1432.8922556486596,1432.8922556486596,True,RETRY,HIGH,150
T0016149,3282.18,0.4360156468776964,1,3282.18,1431.0818358690374,1.5,0.25,1.75,1429.3318358690374,1429.3318358690374,True,RETRY,HIGH,151
T0041024,3138.11,0.4505718401690723,1,3138.11,1413.9439973529675,1.5,0.25,1.75,1412.1939973529675,1412.1939973529675,True,RETRY,HIGH,152
T0045776,4416.1,0.3198416454264072,0,0.0,1412.452690367557,1.5,0.25,1.75,1410.702690367557,1410.702690367557,True,RETRY,HIGH,153
T0006383,3318.78,0.4250195651808973,1,3318.78,1410.5464325310584,1.5,0.25,1.75,1408.7964325310584,1408.7964325310584,True,RETRY,HIGH,154
T0027169,2252.63,0.6212411784290882,0,0.0,1399.4265157647171,1.5,0.25,1.75,1397.6765157647171,1397.6765157647171,True,RETRY,HIGH,155
T0019493,3634.57,0.3842492709484366,1,3634.57,1396.5808727110593,1.5,0.25,1.75,1394.8308727110593,1394.8308727110593,True,RETRY,HIGH,156
T0020525,2794.57,0.495956951498158,0,0.0,1385.9864179482074,1.5,0.25,1.75,1384.2364179482074,1384.2364179482074,True,RETRY,HIGH,157
T0043797,2373.09,0.5830015400501595,0,0.0,1383.5151246776331,1.5,0.25,1.75,1381.7651246776331,1381.7651246776331,True,RETRY,HIGH,158
T0030260,2282.33,0.596768246333958,1,2282.33,1362.0220716553822,1.5,0.25,1.75,1360.2720716553822,1360.2720716553822,True,RETRY,HIGH,159
T0036246,2871.05,0.4732617045298315,1,2871.05,1358.758016790373,1.5,0.25,1.75,1357.008016790373,1357.008016790373,True,RETRY,HIGH,160
T0044921,2588.01,0.5178065019314078,0,0.0,1340.0884050635027,1.5,0.25,1.75,1338.3384050635027,1338.3384050635027,True,RETRY,HIGH,161
T0010403,3334.56,0.3995721631820376,0,0.0,1332.3973524602952,1.5,0.25,1.75,1330.6473524602952,1330.6473524602952,True,RETRY,HIGH,162
T0043353,2012.5,0.6580897916539721,0,0.0,1324.4057057036189,1.5,0.25,1.75,1322.6557057036189,1322.6557057036189,True,RETRY,HIGH,163
T0038880,3097.95,0.4267324212136896,0,0.0,1321.9957042989497,1.5,0.25,1.75,1320.2457042989497,1320.2457042989497,True,RETRY,HIGH,164
T0029558,2736.12,0.4812369765862289,1,2736.12,1316.7221163771126,1.5,0.25,1.75,1314.9721163771126,1314.9721163771126,True,RETRY,HIGH,165
T0004062,2161.46,0.6090789044447875,0,0.0,1316.4996888012304,1.5,0.25,1.75,1314.7496888012304,1314.7496888012304,True,RETRY,HIGH,166
T0006303,2431.37,0.5395682002107858,1,2431.37,1311.8899349464982,1.5,0.25,1.75,1310.1399349464982,1310.1399349464982,True,RETRY,HIGH,167
T0009029,2316.16,0.5653722560148787,0,0.0,1309.4926044914214,1.5,0.25,1.75,1307.7426044914214,1307.7426044914214,True,RETRY,HIGH,168
T0006447,2923.79,0.4455238599220844,1,2923.79,1302.6182064015911,1.5,0.25,1.75,1300.8682064015911,1300.8682064015911,True,RETRY,HIGH,169
T0000307,2585.76,0.5000866477045345,1,2585.76,1293.1040501684772,1.5,0.25,1.75,1291.3540501684772,1291.3540501684772,True,RETRY,HIGH,170
T0016021,2132.52,0.6053174370502113,1,2132.52,1290.8515408583166,1.5,0.25,1.75,1289.1015408583166,1289.1015408583166,True,RETRY,HIGH,171
T0020509,2852.75,0.4518152876893117,1,2852.75,1288.916061955684,1.5,0.25,1.75,1287.166061955684,1287.166061955684,True,RETRY,HIGH,172
T0037561,2283.32,0.5643039791722052,1,2283.32,1288.4865617234798,1.5,0.25,1.75,1286.7365617234798,1286.7365617234798,True,RETRY,HIGH,173
T0037832,3137.03,0.4106317362818198,0,0.0,1288.1640756681572,1.5,0.25,1.75,1286.4140756681572,1286.4140756681572,True,RETRY,HIGH,174
T0013303,1956.09,0.6561064859444717,1,1956.09,1283.4033360911217,1.5,0.25,1.75,1281.6533360911217,1281.6533360911217,True,RETRY,HIGH,175
T0005856,2777.65,0.4576809962774445,1,2777.65,1271.2776193100437,1.5,0.25,1.75,1269.5276193100437,1269.5276193100437,True,RETRY,HIGH,176
T0010020,2236.15,0.5678879402467718,1,2236.15,1269.8826175828187,1.5,0.25,1.75,1268.1326175828187,1268.1326175828187,True,RETRY,HIGH,177
