transaction_id,amount,failure_reason,treatment,control,treatment_group,recovery_probability,confidence,control_recovery_probability,treatment_recovery_probability,incremental_recovery_probability,observed_recovery_probability,recovered,recovery_flag,recovered_amount,intervention_cost,customer_friction_cost,net_recovered_value,expected_control_recovery,expected_treatment_recovery,expected_incremental_recovery,expected_incremental_net_value,treatment_effect,calibrated_probability,recommended_policy,policy_threshold,expected_recovery,expected_intervention_cost,expected_friction_cost,expected_net_recovery,recovery_status
T0034060,10016.59,INSUFFICIENT_FUNDS,0,1,CONTROL,0.5623191342948527,0.3116724786304076,0.5623191342948527,0.6016632261329012,0.039344091838048545,0.5623191342948527,0,0,0.0,0.0,0.0,0.0,4787.642184778507,5122.621776112974,334.97959133446693,333.22959133446693,0.0393440918380485,0.5623191342948527,INTERVENE,0.475,5632.520217386479,1.5,0.25,5630.770217386479,NOT_RECOVERED
T0018044,5641.17,NETWORK_ERROR,0,1,CONTROL,0.715079724355379,0.1490856151957607,0.715079724355379,0.7417607866867499,0.02668106233137091,0.715079724355379,1,1,4150.057046405621,0.0,0.0,4150.057046405621,3428.8033453455582,3556.738892478639,127.93554713308095,126.18554713308095,0.026681062331370964,0.715079724355379,INTERVENE,0.475,4033.8862886418337,1.5,0.25,4032.1362886418337,RECOVERED
T0022168,6466.34,INSUFFICIENT_FUNDS,0,1,CONTROL,0.6696797473342562,0.0022113768431868,0.6696797473342562,0.6913404681355007,0.021660720801244482,0.6696797473342562,0,0,0.0,0.0,0.0,0.0,3680.820396770785,3799.8761443148164,119.05574754403142,117.30574754403142,0.02166072080124444,0.6696797473342562,INTERVENE,0.475,4330.376937377394,1.5,0.25,4328.626937377394,NOT_RECOVERED
T0038652,8636.8,LIMIT_EXCEEDED,1,0,RECLAIM,0.5840131194331069,0.2506443732122766,0.5840131194331069,0.6198516570475006,0.035838537614393706,0.6198516570475006,0,0,0.0,1.5,0.25,-1.75,4287.403833431878,4550.504572849674,263.1007394177959,261.3507394177959,0.035838537614393706,0.5840131194331069,INTERVENE,0.475,5044.004509919857,1.5,0.25,5042.254509919857,NOT_RECOVERED
T0034611,5469.4,NETWORK_ERROR,0,1,CONTROL,0.7246051905854395,0.1815892978749034,0.7246051905854395,0.7524155273193197,0.027810336733880225,0.7246051905854395,1,1,4116.292062923824,0.0,0.0,4116.292062923824,3368.6822849798023,3497.972262352244,129.28997737244163,127.53997737244163,0.027810336733880264,0.7246051905854395,INTERVENE,0.475,3963.1556293880026,1.5,0.25,3961.4056293880026,RECOVERED
T0017466,5768.13,NETWORK_ERROR,0,1,CONTROL,0.6965212398693966,0.0875704967862402,0.6965212398693966,0.7210836688293486,0.024562428959951976,0.6965212398693966,0,0,0.0,0.0,0.0,0.0,3414.9813004286834,3535.4086912819357,120.42739085325229,118.67739085325229,0.024562428959951928,0.6965212398693966,INTERVENE,0.475,4017.625059327863,1.5,0.25,4015.875059327863,NOT_RECOVERED
T0007949,4973.81,PAYMENT_TIMEOUT,0,1,CONTROL,0.7429099582028869,0.2460834238288343,0.7429099582028869,0.7729818637380833,0.030071905535196453,0.7429099582028869,0,0,0.0,0.0,0.0,0.0,3140.829032327736,3267.9651851272492,127.13615279951318,125.38615279951318,0.030071905535196505,0.7429099582028869,INTERVENE,0.475,3695.092979209101,1.5,0.25,3693.342979209101,NOT_RECOVERED
T0023546,9465.34,LIMIT_EXCEEDED,1,0,RECLAIM,0.5474726700846043,0.3530379533400074,0.5474726700846043,0.5891978345319435,0.0417251644473392,0.5891978345319435,0,0,0.0,1.5,0.25,-1.75,4404.712718599817,4740.414156442298,335.701437842481,333.951437842481,0.041725164447339175,0.5474726700846043,INTERVENE,0.475,5182.014963058608,1.5,0.25,5180.264963058608,NOT_RECOVERED
T0026292,4568.22,NETWORK_ERROR,1,0,RECLAIM,0.7679964612802801,0.3395857963402751,0.7679964612802801,0.8013979459707826,0.033401484690502525,0.8013979459707826,1,1,3385.797363619269,1.5,0.25,3384.047363619269,2982.120275197331,3111.817806031251,129.69753083392015,127.94753083392015,0.033401484690502574,0.7679964612802801,INTERVENE,0.475,3508.376794349801,1.5,0.25,3506.626794349801,RECOVERED
T0019706,4802.65,NETWORK_ERROR,1,0,RECLAIM,0.7482242481943917,0.2653609676380328,0.7482242481943917,0.7789776430512995,0.030753394856907756,0.7789776430512995,1,1,4303.471913160272,1.5,0.25,4301.721913160272,3054.4403077521756,3179.9834307902747,125.54312303809911,123.79312303809911,0.03075339485690777,0.7482242481943917,INTERVENE,0.475,3593.459185590795,1.5,0.25,3591.709185590795,RECOVERED
T0011826,4436.97,PAYMENT_TIMEOUT,1,0,RECLAIM,0.77038425322718,0.3488405736317848,0.77038425322718,0.8041186301776589,0.033734376950478984,0.8041186301776589,1,1,3703.1788084700197,1.5,0.25,3701.4288084700197,2905.4460470351905,3032.6727027584625,127.22665572327196,125.47665572327196,0.03373437695047902,0.77038425322718,INTERVENE,0.475,3418.1718200414007,1.5,0.25,3416.4218200414007,RECOVERED
T0005295,4928.56,NETWORK_ERROR,0,1,CONTROL,0.7251505735562359,0.1834710635250316,0.7251505735562359,0.7530265013403941,0.02787592778415815,0.7251505735562359,1,1,4030.9482426826394,0.0,0.0,4030.9482426826394,3037.8558941853735,3154.6358494292804,116.7799552439069,115.0299552439069,0.027875927784158167,0.7251505735562359,INTERVENE,0.475,3573.9481108063223,1.5,0.25,3572.1981108063223,RECOVERED
T0005715,6531.21,BANK_DECLINE,0,1,CONTROL,0.632694950688678,0.1099091933747394,0.632694950688678,0.6604965411164375,0.027801590427759537,0.632694950688678,0,0,0.0,0.0,0.0,0.0,3512.4240505542903,3666.765372159324,154.34132160503395,152.59132160503395,0.02780159042775954,0.632694950688678,INTERVENE,0.475,4132.2635888874,1.5,0.25,4130.5135888874,NOT_RECOVERED
T0045321,5159.02,NETWORK_ERROR,0,1,CONTROL,0.7075664611678711,0.1239075435598238,0.7075664611678711,0.7333774744871877,0.025811013319316567,0.7075664611678711,0,0,0.0,0.0,0.0,0.0,3102.7970958201304,3215.982699664558,113.18560384442753,111.43560384442753,0.025811013319316584,0.7075664611678711,INTERVENE,0.475,3650.349524494271,1.5,0.25,3648.599524494271,NOT_RECOVERED
T0007824,6529.86,INSUFFICIENT_FUNDS,1,0,RECLAIM,0.6276140974418954,0.1249104854035306,0.6276140974418954,0.656268575874588,0.02865447843269253,0.656268575874588,0,0,0.0,1.5,0.25,-1.75,3483.4973617736446,3642.540634431371,159.04327265772645,157.29327265772645,0.028654478432692535,0.6276140974418954,INTERVENE,0.475,4098.232190321935,1.5,0.25,4096.482190321935,NOT_RECOVERED
T0032003,4222.16,PAYMENT_TIMEOUT,1,0,RECLAIM,0.7713212657248496,0.3524907513381641,0.7713212657248496,0.8051871052346973,0.03386583950984767,0.8051871052346973,1,1,3199.0892704984926,1.5,0.25,3197.3392704984926,2768.145525998906,2889.6844700020697,121.53894400316358,119.78894400316358,0.03386583950984765,0.7713212657248496,INTERVENE,0.475,3256.641795292831,1.5,0.25,3254.891795292831,RECOVERED
T0012051,4494.92,NETWORK_ERROR,1,0,RECLAIM,0.7405869807993992,0.2377388935417459,0.7405869807993992,0.7703646866807988,0.029777705881399608,0.7703646866807988,1,1,3444.1846976001384,1.5,0.25,3442.4346976001384,2829.5473469746103,2943.3184918369675,113.77114486235723,112.02114486235723,0.0297777058813996,0.7405869807993992,INTERVENE,0.475,3328.879231734836,1.5,0.25,3327.129231734836,RECOVERED
T0042526,6160.93,BANK_DECLINE,1,0,RECLAIM,0.6335824506440818,0.107280003514071,0.6335824506440818,0.6612346650296721,0.02765221438559029,0.6612346650296721,0,0,0.0,1.5,0.25,-1.75,3317.9385584996467,3462.747412098069,144.8088535984225,143.0588535984225,0.027652214385590335,0.6335824506440818,INTERVENE,0.475,3903.457127646643,1.5,0.25,3901.707127646643,NOT_RECOVERED
T0037912,5740.47,BANK_DECLINE,1,0,RECLAIM,0.6453859763984557,0.0720476946896502,0.6453859763984557,0.6710396134855441,0.025653637087088343,0.6710396134855441,1,1,4516.171688365977,1.5,0.25,4514.421688365977,3149.096010545637,3274.2703545215572,125.17434397592024,123.42434397592024,0.02565363708708831,0.6453859763984557,INTERVENE,0.475,3704.8188359360433,1.5,0.25,3703.0688359360433,RECOVERED
T0034042,4600.71,NETWORK_ERROR,1,0,RECLAIM,0.7138147920904749,0.1448191764871542,0.7138147920904749,0.7403481373092302,0.026533345218755278,0.7403481373092302,1,1,4234.574176930057,1.5,0.25,4232.824176930057,2791.4466243007832,2895.208016979956,103.76139267917279,102.01139267917279,0.026533345218755316,0.7138147920904749,INTERVENE,0.475,3284.0548521185688,1.5,0.25,3282.3048521185688,RECOVERED
T0009420,6727.76,BANK_DECLINE,1,0,RECLAIM,0.5957122545263369,0.2173668519630652,0.5957122545263369,0.629643833956253,0.03393157942991609,0.629643833956253,1,1,5852.654659307329,1.5,0.25,5850.904659307329,3406.6377158852924,3600.678710286893,194.04099440160053,192.29099440160053,0.03393157942991614,0.5957122545263369,INTERVENE,0.475,4007.8090775121086,1.5,0.25,4006.0590775121086,RECOVERED
T0029592,4308.03,NETWORK_ERROR,0,1,CONTROL,0.7254809887028696,0.1846122414474695,0.7254809887028696,0.7533967049634053,0.027915716260535683,0.7254809887028696,0,0,0.0,0.0,0.0,0.0,2656.5847841973796,2758.8072658509736,102.22248165359406,100.47248165359406,0.027915716260535687,0.7254809887028696,INTERVENE,0.475,3125.393863761623,1.5,0.25,3123.643863761623,NOT_RECOVERED
T0016065,3864.42,PAYMENT_TIMEOUT,1,0,RECLAIM,0.761876865388894,0.3161658503626254,0.761876865388894,0.7944386383666009,0.032561772977706904,0.7944386383666009,1,1,3665.6499921856503,1.5,0.25,3663.8999921856503,2502.580366724227,2609.537878445161,106.95751172093378,105.20751172093378,0.03256177297770685,0.761876865388894,INTERVENE,0.475,2944.21219614615,1.5,0.25,2942.46219614615,RECOVERED
T0008556,4692.25,INSUFFICIENT_FUNDS,0,1,CONTROL,0.6922066748257889,0.0735809086951433,0.6922066748257889,0.7162905820981678,0.024083907272378857,0.6922066748257889,0,0,0.0,0.0,0.0,0.0,2760.805754458612,2856.8623112726086,96.05655681399685,94.30655681399685,0.02408390727237884,0.6922066748257889,INTERVENE,0.475,3248.006769951308,1.5,0.25,3246.256769951308,NOT_RECOVERED
T0001623,4475.23,NETWORK_ERROR,0,1,CONTROL,0.7022727869988492,0.1063953600351892,0.7022727869988492,0.727481030655473,0.025208243656623774,0.7022727869988492,1,1,3168.3434833746483,0.0,0.0,3168.3434833746483,2671.4074078767303,2767.298192897248,95.8907850205178,94.1407850205178,0.02520824365662379,0.7022727869988492,INTERVENE,0.475,3142.83224456086,1.5,0.25,3141.08224456086,RECOVERED
T0005039,5727.91,BANK_DECLINE,1,0,RECLAIM,0.6207711313693436,0.1449840169254386,0.6207711313693436,0.6505684225330614,0.029797291163717765,0.6505684225330614,0,0,0.0,1.5,0.25,-1.75,3022.3629954195103,3167.4377671446455,145.07477172513518,143.32477172513518,0.029797291163717713,0.6207711313693436,INTERVENE,0.475,3555.721171081777,1.5,0.25,3553.971171081777,NOT_RECOVERED
T0022423,4379.85,INSUFFICIENT_FUNDS,0,1,CONTROL,0.7004615109790343,0.100444813557317,0.7004615109790343,0.7254653747048474,0.02500386372581309,0.7004615109790343,1,1,3856.3157363968444,0.0,0.0,3856.3157363968444,2607.728896532295,2700.815093190872,93.08619665857714,91.33619665857714,0.02500386372581306,0.7004615109790343,INTERVENE,0.475,3067.916348861524,1.5,0.25,3066.166348861524,RECOVERED
T0034352,3856.22,NETWORK_ERROR,0,1,CONTROL,0.7412821800266356,0.2402310446994255,0.7412821800266356,0.7711477007371775,0.029865520710541937,0.7412821800266356,0,0,0.0,0.0,0.0,0.0,2429.7650930229656,2527.6579085562107,97.89281553324508,96.14281553324508,0.029865520710541903,0.7412821800266356,INTERVENE,0.475,2858.5471682623124,1.5,0.25,2856.7971682623124,NOT_RECOVERED
T0033814,3776.6,PAYMENT_TIMEOUT,1,0,RECLAIM,0.744264868187976,0.2509732572541798,0.744264868187976,0.774509394377835,0.030244526189858956,0.774509394377835,1,1,2938.404010810502,1.5,0.25,2936.654010810502,2389.172096018903,2486.2603519862314,97.08825596732822,95.33825596732822,0.030244526189858935,0.744264868187976,INTERVENE,0.475,2810.79070119871,1.5,0.25,2809.04070119871,RECOVERED
T0004825,4300.34,NETWORK_ERROR,1,0,RECLAIM,0.6988426686964625,0.0951438747352868,0.6988426686964625,0.7236646496551742,0.024821980958711687,0.7236646496551742,1,1,3550.347055557,1.5,0.25,3548.597055557,2554.471919616824,2645.203433573412,90.73151395658806,88.98151395658806,0.02482198095871172,0.6988426686964625,INTERVENE,0.475,3005.2610819021456,1.5,0.25,3003.5110819021456,RECOVERED
T0017254,3815.13,PAYMENT_TIMEOUT,0,1,CONTROL,0.7338673547780701,0.2138698092476356,0.7338673547780701,0.7628061387769812,0.028938783998911144,0.7338673547780701,0,0,0.0,0.0,0.0,0.0,2379.82945704929,2473.673896597391,93.84443954810104,92.09443954810104,0.02893878399891115,0.7338673547780701,INTERVENE,0.475,2799.7993612344585,1.5,0.25,2798.0493612344585,NOT_RECOVERED
T0008276,3695.33,PAYMENT_TIMEOUT,1,0,RECLAIM,0.7440599576418109,0.2502326525652893,0.7440599576418109,0.7742783284897855,0.03021837084797463,0.7742783284897855,0,0,0.0,1.5,0.25,-1.75,2337.115020781636,2432.031845275435,94.91682449379914,93.16682449379914,0.030218370847974636,0.7440599576418109,INTERVENE,0.475,2749.5470832725127,1.5,0.25,2747.7970832725127,NOT_RECOVERED
T0010198,4987.96,BANK_DECLINE,1,0,RECLAIM,0.6446243642253734,0.0743364690921551,0.6446243642253734,0.6704076525866323,0.02578328836125887,0.6704076525866323,0,0,0.0,1.5,0.25,-1.75,2733.0564622143543,2842.371571576615,109.31510936226096,107.56510936226096,0.025783288361258906,0.6446243642253734,INTERVENE,0.475,3215.3605437815936,1.5,0.25,3213.6105437815936,NOT_RECOVERED
T0002140,5450.57,BANK_DECLINE,1,0,RECLAIM,0.614677277339555,0.1627415186007144,0.614677277339555,0.6454869409697027,0.0308096636301477,0.6454869409697027,1,1,4445.543999382589,1.5,0.25,4443.793999382589,2847.7902984163593,2990.5309924650473,142.74069404868806,140.99069404868806,0.03080966363014772,0.614677277339555,INTERVENE,0.475,3350.341527548658,1.5,0.25,3348.591527548658,RECOVERED
T0020222,4322.65,INSUFFICIENT_FUNDS,0,1,CONTROL,0.6860048295880956,0.0536609970343313,0.6860048295880956,0.7094094054190572,0.02340457583096156,0.6860048295880956,1,1,3376.8932068230465,0.0,0.0,3376.8932068230465,2520.554960126134,2606.549281384484,85.99432125834983,84.24432125834983,0.023404575830961564,0.6860048295880956,INTERVENE,0.475,2965.358776618981,1.5,0.25,2963.608776618981,RECOVERED
T0021895,3974.88,NETWORK_ERROR,0,1,CONTROL,0.7129902959051522,0.142044348267027,0.7129902959051522,0.739427631220488,0.026437335315335875,0.7129902959051522,1,1,3404.784987327387,0.0,0.0,3404.784987327387,2408.943237279351,2498.2656873678397,89.32245008848895,87.57245008848895,0.02643733531533589,0.7129902959051522,INTERVENE,0.475,2834.0508673874715,1.5,0.25,2832.3008673874715,RECOVERED
T0020862,5537.97,BANK_DECLINE,0,1,CONTROL,0.6078046641987616,0.1826432955287166,0.6078046641987616,0.6397504492505971,0.03194578505183554,0.6078046641987616,1,1,4399.501183536296,0.0,0.0,4399.501183536296,2861.1033967638937,3011.4809761208803,150.37757935698664,148.62757935698664,0.03194578505183558,0.6078046641987616,INTERVENE,0.475,3366.0039961928155,1.5,0.25,3364.2539961928155,RECOVERED
T0041250,3761.39,NETWORK_ERROR,0,1,CONTROL,0.7300930462173552,0.2006315491098158,0.7300930462173552,0.7585682093096895,0.028475163092334332,0.7300930462173552,1,1,3269.5075422614163,0.0,0.0,3269.5075422614163,2334.2399806447725,2425.280245293067,91.0402646482944,89.2902646482944,0.028475163092334277,0.7300930462173552,INTERVENE,0.475,2746.164683111497,1.5,0.25,2744.414683111497,RECOVERED
T0006659,5457.57,BANK_DECLINE,1,0,RECLAIM,0.6088992135275687,0.179482190769499,0.6088992135275687,0.6406644396387313,0.031765226111162614,0.6406644396387313,0,0,0.0,1.5,0.25,-1.75,2824.643568655905,2972.0003719632778,147.35680330737296,145.60680330737296,0.03176522611116256,0.6088992135275687,INTERVENE,0.475,3323.110080771653,1.5,0.25,3321.360080771653,NOT_RECOVERED
T0015518,4975.57,LIMIT_EXCEEDED,0,1,CONTROL,0.6360198299096729,0.1000454550767133,0.6360198299096729,0.6632611813412864,0.027241351431613547,0.6360198299096729,0,0,0.0,0.0,0.0,0.0,2689.87700733812,2805.0870706393243,115.21006330120417,113.46006330120417,0.027241351431613547,0.6360198299096729,INTERVENE,0.475,3164.561185103671,1.5,0.25,3162.811185103671,NOT_RECOVERED
T0016179,4098.16,INSUFFICIENT_FUNDS,1,0,RECLAIM,0.6979577131334883,0.0922529252955828,0.6979577131334883,0.7226805748121174,0.024722861678629138,0.7226805748121174,0,0,0.0,1.5,0.25,-1.75,2431.2910244068657,2517.411530801223,86.12050639435711,84.37050639435711,0.02472286167862913,0.6979577131334883,INTERVENE,0.475,2860.3423816551363,1.5,0.25,2858.5923816551363,NOT_RECOVERED
T0036036,4342.18,INSUFFICIENT_FUNDS,1,0,RECLAIM,0.677835094726784,0.027742471731244,0.677835094726784,0.7003592776392525,0.022524182912468493,0.7003592776392525,0,0,0.0,1.5,0.25,-1.75,2501.789692877635,2584.9231409526683,83.13344807503336,81.38344807503336,0.02252418291246854,0.677835094726784,INTERVENE,0.475,2943.2819916207472,1.5,0.25,2941.5319916207472,NOT_RECOVERED
T0017271,5035.89,BANK_DECLINE,0,1,CONTROL,0.6307362675234298,0.1157023364449112,0.6307362675234298,0.6588671033001308,0.028130835776700946,0.6307362675234298,0,0,0.0,0.0,0.0,0.0,2699.8706929197806,2820.2849183123813,120.41422539260066,118.66422539260066,0.028130835776700964,0.6307362675234298,INTERVENE,0.475,3176.318462258565,1.5,0.25,3174.568462258565,NOT_RECOVERED
T0022056,3873.91,NETWORK_ERROR,1,0,RECLAIM,0.7139064817233797,0.1451280519468205,0.7139064817233797,0.7404505172006683,0.026544035477288674,0.7404505172006683,1,1,3462.8386751736243,1.5,0.25,3461.0886751736243,2350.768039821065,2438.1728636255148,87.40482380444973,85.65482380444973,0.026544035477288633,0.7139064817233797,INTERVENE,0.475,2765.609458613017,1.5,0.25,2763.859458613017,RECOVERED
T0020800,3505.26,PAYMENT_TIMEOUT,0,1,CONTROL,0.7452798019043162,0.2546472733053699,0.7452798019043162,0.7756541361364068,0.030374334232090572,0.7452798019043162,1,1,2634.5117229692305,0.0,0.0,2634.5117229692305,2220.539556659655,2311.039004648476,90.49944798882098,88.74944798882098,0.030374334232090586,0.7452798019043162,INTERVENE,0.475,2612.399478423124,1.5,0.25,2610.649478423124,RECOVERED
T0041351,3396.35,PAYMENT_TIMEOUT,0,1,CONTROL,0.7555436442034891,0.2923600069233298,0.7555436442034891,0.7872558169679168,0.031712172764427726,0.7555436442034891,1,1,3284.539402021894,0.0,0.0,3284.539402021894,2181.1770575919422,2272.7268498651365,91.54979227319427,89.79979227319427,0.031712172764427726,0.7555436442034891,INTERVENE,0.475,2566.09065599052,1.5,0.25,2564.34065599052,RECOVERED
T0001218,3722.97,INSUFFICIENT_FUNDS,0,1,CONTROL,0.7143906026202835,0.1467598978739928,0.7143906026202835,0.7409911269329033,0.026600524312619722,0.7143906026202835,0,0,0.0,0.0,0.0,0.0,2260.7065645616512,2344.884575461782,84.17801090013063,82.42801090013063,0.026600524312619746,0.7143906026202835,INTERVENE,0.475,2659.654781837237,1.5,0.25,2657.904781837237,NOT_RECOVERED
