transaction_id,customer_id,predicted_treatment_probability,predicted_control_probability,predicted_probability_uplift,selected_policy_type,selected_policy_parameter,selected_policy,intervention_selected,oracle_control_value,oracle_treatment_value,oracle_incremental_value,production_rank,production_policy_type,production_target_rate,production_capacity,production_intervention_selected,production_decision,production_priority,expected_incremental_recovery_value,economic_opportunity_score,economic_value_band,economic_priority,economic_decision_reason,economic_operator_action,uplift_segment,treatment_control_probability_gap
RECLAIM-V2-000019,C00343,0.5216330922060962,0.6240969881317577,-0.1024638959256615,TOP_RATE,0.05,RETRY_ALL,0,0.0,-40.33313419380141,-40.33313419380141,7922,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P20_P30,-0.10246389592566152
RECLAIM-V2-000020,C00823,0.5705533592803252,0.4729034816307768,0.0976498776495484,TOP_RATE,0.05,RETRY_ALL,0,3133.3134907447725,3119.8448500000004,-13.468640744772074,3170,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,146.4748164743226,9.76498776495484,HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P60_P70,0.09764987764954847
RECLAIM-V2-000021,C00937,0.4660054962797468,0.632199793619448,-0.1661942973397011,TOP_RATE,0.05,RETRY_ALL,0,207.9184932360697,-19.66919999999999,-227.5876932360697,9024,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,BOTTOM_10,-0.1661942973397012
RECLAIM-V2-000022,C00851,0.7127160920372626,0.5224492913974879,0.1902668006397747,TOP_RATE,0.05,RETRY_ALL,0,242.71,212.7785367592503,-29.931463240749707,1374,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,285.400200959662,19.02668006397747,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P80_P90,0.19026680063977475
RECLAIM-V2-000023,C00712,0.3825744013996633,0.4886435102638374,-0.106069108864174,TOP_RATE,0.05,RETRY_ALL,0,1138.68,1028.7952615718611,-109.88473842813892,7990,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P20_P30,-0.10606910886417409
RECLAIM-V2-000024,C00764,0.6142054516115926,0.4489501351277273,0.1652553164838652,TOP_RATE,0.05,RETRY_ALL,0,576.4829046982263,472.82645,-103.6564546982263,1800,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,247.88297472579782,16.525531648386522,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P80_P90,0.16525531648386527
RECLAIM-V2-000025,C00643,0.5024407798057126,0.4786780212296596,0.0237627585760529,TOP_RATE,0.05,RETRY_ALL,0,2740.714170925097,2720.9394,-19.774770925096615,4800,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,35.644137864079354,2.37627585760529,LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P50_P60,0.023762758576052978
RECLAIM-V2-000026,C00373,0.6230911647153069,0.5442330336156239,0.0788581310996829,TOP_RATE,0.05,RETRY_ALL,0,1267.85,1248.8289321149646,-19.021067885035336,3593,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,118.28719664952435,7.88581310996829,HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P60_P70,0.07885813109968298
RECLAIM-V2-000027,C00384,0.4201480222348474,0.4845660239493075,-0.0644180017144601,TOP_RATE,0.05,RETRY_ALL,0,1493.6121035109406,1446.5235,-47.08860351094063,7107,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P20_P30,-0.0644180017144601
RECLAIM-V2-000028,C00193,0.4543168033751951,0.5294338347298774,-0.0751170313546822,TOP_RATE,0.05,RETRY_ALL,0,1123.231281827434,986.44795,-136.78333182743404,7344,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P20_P30,-0.07511703135468228
RECLAIM-V2-000029,C00238,0.4600968744697694,0.6526016754137568,-0.1925048009439873,TOP_RATE,0.05,RETRY_ALL,0,3526.31,3465.536523254113,-60.77347674588691,9356,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,BOTTOM_10,-0.19250480094398742
RECLAIM-V2-000030,C00414,0.6021647702431966,0.4354001002370903,0.1667646700061062,TOP_RATE,0.05,RETRY_ALL,0,1769.54,1649.6053840344016,-119.93461596559835,1770,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,250.1470050091593,16.67646700061062,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P80_P90,0.16676467000610629
RECLAIM-V2-000031,C00518,0.5316601050180023,0.5672537532591985,-0.0355936482411961,TOP_RATE,0.05,RETRY_ALL,0,0.0,-71.85153991152178,-71.85153991152178,6332,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P30_P40,-0.03559364824119615
RECLAIM-V2-000032,C00304,0.5596112281837349,0.4502713720338335,0.1093398561499013,TOP_RATE,0.05,RETRY_ALL,0,753.19,692.8726020397809,-60.31739796021918,2962,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,164.00978422485196,10.93398561499013,HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P70_P80,0.10933985614990138
RECLAIM-V2-000033,C00886,0.631770112907862,0.6921527184053824,-0.0603826054975203,TOP_RATE,0.05,RETRY_ALL,0,1045.485703951,976.1695999999998,-69.31610395100017,6999,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P30_P40,-0.06038260549752039
RECLAIM-V2-000034,C00525,0.526597942003657,0.5765329743771158,-0.0499350323734588,TOP_RATE,0.05,RETRY_ALL,0,-3.7664961214394097,-8.90905,-5.142553878560591,6734,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P30_P40,-0.049935032373458865
RECLAIM-V2-000035,C00347,0.2782948513531547,0.4287138013219344,-0.1504189499687797,TOP_RATE,0.05,RETRY_ALL,0,0.0,-231.03369944334537,-231.03369944334537,8730,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P10_P20,-0.1504189499687797
RECLAIM-V2-000036,C00584,0.6710984502182262,0.5351459413858215,0.1359525088324047,TOP_RATE,0.05,RETRY_ALL,0,0.0,-47.58433966103959,-47.58433966103959,2445,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,203.92876324860705,13.59525088324047,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P70_P80,0.13595250883240473
RECLAIM-V2-000037,C00942,0.5364659073591801,0.6328702559781668,-0.0964043486189867,TOP_RATE,0.05,RETRY_ALL,0,3584.46,3373.078805971388,-211.3811940286123,7808,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P20_P30,-0.09640434861898672
RECLAIM-V2-000038,C00226,0.6357242119659834,0.5817805630749248,0.0539436488910586,TOP_RATE,0.05,RETRY_ALL,0,3538.604480856414,3316.8872,-221.7172808564137,4078,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,80.9154733365879,5.3943648891058595,MODERATE,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P50_P60,0.053943648891058626
RECLAIM-V2-000039,C00080,0.8158321993059461,0.4813791164141821,0.3344530828917639,TOP_RATE,0.05,TARGET,1,3481.497802536842,3446.86155,-34.636252536841766,85,TOP_RATE,0.05,500,1,TARGET,HIGH,501.67962433764586,33.44530828917639,EXCEPTIONAL,HIGH_VALUE_TARGET,High predicted uplift and inside highest-priority targeting capacity,Prioritize intervention first,TOP_10,0.334453082891764
RECLAIM-V2-000040,C00791,0.5352263597638575,0.6132031805381505,-0.077976820774293,TOP_RATE,0.05,RETRY_ALL,0,2934.57,2692.516335034737,-242.05366496526312,7407,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P20_P30,-0.07797682077429302
RECLAIM-V2-000041,C00749,0.3439980576956657,0.403162906357881,-0.0591648486622153,TOP_RATE,0.05,RETRY_ALL,0,654.79,610.1553775035037,-44.63462249649626,6968,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P30_P40,-0.059164848662215275
RECLAIM-V2-000042,C00485,0.2726035380507661,0.4287069999016567,-0.1561034618508906,TOP_RATE,0.05,RETRY_ALL,0,2036.25542807675,1832.11835,-204.13707807675,8837,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P10_P20,-0.15610346185089063
RECLAIM-V2-000043,C00482,0.696229958331149,0.5482961168964681,0.1479338414346809,TOP_RATE,0.05,RETRY_ALL,0,3949.1671245664857,3954.0056,4.838475433514304,2163,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,221.90076215202137,14.793384143468092,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P70_P80,0.1479338414346809
RECLAIM-V2-000044,C00671,0.8106606482596015,0.7162174538820707,0.0944431943775307,TOP_RATE,0.05,RETRY_ALL,0,1695.1,1611.4943349513794,-83.6056650486205,3247,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,141.66479156629603,9.44431943775307,HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P60_P70,0.09444319437753079
RECLAIM-V2-000045,C00955,0.7864802778609788,0.5603624213553136,0.2261178565056653,TOP_RATE,0.05,RETRY_ALL,0,2373.09,2302.687603213595,-70.402396786405,808,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,339.17678475849794,22.611785650566528,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,TOP_10,0.2261178565056653
RECLAIM-V2-000046,C00107,0.4213028791020686,0.4134713012138487,0.0078315778882199,TOP_RATE,0.05,RETRY_ALL,0,1124.140461919628,1089.1817,-34.95876191962793,5226,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,11.747366832329849,0.7831577888219899,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P40_P50,0.00783157788821992
RECLAIM-V2-000047,C00691,0.3086501022873999,0.3144447342953022,-0.0057946320079022,TOP_RATE,0.05,RETRY_ALL,0,1273.7481268805225,1114.95965,-158.78847688052247,5526,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P40_P50,-0.005794632007902256
RECLAIM-V2-000048,C00319,0.7007237028123463,0.4800200682220694,0.2207036345902769,TOP_RATE,0.05,RETRY_ALL,0,9576.746445142457,9464.22,-112.52644514245549,882,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,331.0554518854153,22.07036345902769,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,TOP_10,0.22070363459027692
RECLAIM-V2-000049,C00041,0.5432569367278769,0.556596275340978,-0.0133393386131011,TOP_RATE,0.05,RETRY_ALL,0,24.52563693037699,-7.751649999999998,-32.27728693037699,5710,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P40_P50,-0.013339338613101104
RECLAIM-V2-000050,C00525,0.5256743369644442,0.570369559022181,-0.0446952220577367,TOP_RATE,0.05,RETRY_ALL,0,0.0,4.30406066832667,4.30406066832667,6577,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P30_P40,-0.044695222057736794
RECLAIM-V2-000051,C00886,0.5503977742365349,0.4892665147597347,0.0611312594768002,TOP_RATE,0.05,RETRY_ALL,0,0.0,-7.014130347739403,-7.014130347739403,3923,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,91.6968892152003,6.11312594768002,MODERATE,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P60_P70,0.061131259476800204
RECLAIM-V2-000052,C00708,0.4843543530025471,0.5997427893501265,-0.1153884363475793,TOP_RATE,0.05,RETRY_ALL,0,2317.59,2258.767762255856,-58.82223774414433,8124,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P10_P20,-0.11538843634757939
RECLAIM-V2-000053,C00131,0.7176871521555086,0.792687668355634,-0.0750005162001253,TOP_RATE,0.05,RETRY_ALL,0,3107.8259697124013,3053.83905,-53.98691971240123,7343,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P20_P30,-0.07500051620012538
RECLAIM-V2-000054,C00570,0.6211323160807142,0.8685678315536837,-0.2474355154729695,TOP_RATE,0.05,RETRY_ALL,0,2600.33,2558.3074068137857,-42.02259318621418,9641,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,BOTTOM_10,-0.2474355154729695
RECLAIM-V2-000055,C00521,0.4015266393433506,0.4014911244704257,3.551487292491329e-05,TOP_RATE,0.05,RETRY_ALL,0,1996.204260301219,1889.597,-106.60726030121896,5389,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.05327230938736993,0.0035514872924913288,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P40_P50,3.551487292491329e-05
RECLAIM-V2-000056,C00347,0.3033527809994913,0.3564851019585438,-0.0531323209590525,TOP_RATE,0.05,RETRY_ALL,0,1930.3201237054047,1778.56745,-151.7526737054052,6818,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P30_P40,-0.053132320959052515
RECLAIM-V2-000057,C00229,0.4236806645841907,0.3732911579172521,0.0503895066669385,TOP_RATE,0.05,RETRY_ALL,0,3031.5503579327246,3008.7929,-22.75745793272472,4138,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,75.58426000040775,5.03895066669385,MODERATE,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P50_P60,0.05038950666693859
RECLAIM-V2-000058,C00122,0.6372630853787212,0.4086655191997005,0.2285975661790206,TOP_RATE,0.05,RETRY_ALL,0,2446.22,2286.3224345017406,-159.89756549825915,776,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,342.8963492685309,22.85975661790206,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,TOP_10,0.22859756617902072
RECLAIM-V2-000059,C00107,0.3904151542672142,0.4069414819082905,-0.0165263276410763,TOP_RATE,0.05,RETRY_ALL,0,1095.66,1078.7619205986937,-16.89807940130663,5810,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P40_P50,-0.01652632764107631
RECLAIM-V2-000060,C00291,0.7812483281630019,0.5309761095508523,0.2502722186121496,TOP_RATE,0.05,RETRY_ALL,0,1997.8152137310656,1944.80955,-53.00566373106585,578,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,375.4083279182244,25.02722186121496,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,TOP_10,0.25027221861214966
RECLAIM-V2-000061,C00395,0.4965282563209898,0.6797195596836104,-0.1831913033626205,TOP_RATE,0.05,RETRY_ALL,0,279.47,234.17208979775603,-45.297910202244,9246,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,0.0,0.0,VERY_LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,BOTTOM_10,-0.18319130336262063
RECLAIM-V2-000062,C00138,0.7027184268833894,0.6738565851484034,0.0288618417349859,TOP_RATE,0.05,RETRY_ALL,0,3062.880328416717,2905.36515,-157.51517841671694,4659,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,43.29276260247885,2.8861841734985902,LOW,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P50_P60,0.02886184173498596
RECLAIM-V2-000063,C00315,0.482878110172897,0.4197063699211072,0.0631717402517897,TOP_RATE,0.05,RETRY_ALL,0,0.0,-19.345839359555733,-19.345839359555733,3887,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,94.75761037768456,6.3171740251789705,MODERATE,STANDARD_RETRY_ALL,Expected incremental value is below the production targeting priority,Continue standard retry process,P60_P70,0.06317174025178979
RECLAIM-V2-000064,C00279,0.7370283325164041,0.5530412740663806,0.1839870584500235,TOP_RATE,0.05,RETRY_ALL,0,455.06,432.4372055514132,-22.62279444858683,1476,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,275.9805876750352,18.39870584500235,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P80_P90,0.1839870584500235
RECLAIM-V2-000065,C00124,0.4918453697526608,0.2820471867756808,0.2097981829769799,TOP_RATE,0.05,RETRY_ALL,0,122.67538696703475,-4.643600000000006,-127.31898696703476,1035,TOP_RATE,0.05,500,0,RETRY_ALL,RETRY_ALL,314.6972744654699,20.979818297697992,VERY_HIGH,HIGH_POTENTIAL_RETRY_ALL,Economic potential is notable but transaction is outside validated targeting capacity,Continue standard retry process,P80_P90,0.20979818297698
