transaction_id,customer_id,timestamp,amount,payment_method,status,failure_reason,_simulated_failure_probability
T0007402,C00161,2026-01-01 00:45:25,645.98,CARD,FAILED,BANK_DECLINE,0.06188163974107141
T0003199,C00074,2026-01-01 00:45:30,1905.2,CARD,SUCCESS,,0.05187919221314106
T0001781,C00041,2026-01-01 00:45:57,4176.44,UPI,SUCCESS,,0.06345886559473753
T0008560,C00186,2026-01-01 00:46:00,151.66,CARD,SUCCESS,,0.08261937405562711
T0013292,C00291,2026-01-01 00:49:24,2417.67,NETBANKING,SUCCESS,,0.07231310290241999
T0029003,C00633,2026-01-01 00:49:54,4941.34,CARD,SUCCESS,,0.07356970819853137
T0021872,C00481,2026-01-01 00:50:32,1823.32,UPI,SUCCESS,,0.04229871891076957
T0021103,C00465,2026-01-01 00:50:59,1173.09,CARD,SUCCESS,,0.04429855054499883
T0018106,C00399,2026-01-01 00:51:43,352.87,UPI,SUCCESS,,0.030051290035389353
T0000765,C00017,2026-01-01 00:54:31,585.73,WALLET,FAILED,BANK_DECLINE,0.04344656750760287
T0010882,C00235,2026-01-01 00:55:01,4214.12,UPI,SUCCESS,,0.06389303666210297
T0019655,C00433,2026-01-01 00:55:02,1820.69,UPI,SUCCESS,,0.06518689531102655
T0006226,C00136,2026-01-01 00:55:03,3677.96,UPI,SUCCESS,,0.05967674319581565
T0040178,C00875,2026-01-01 00:55:25,2511.33,CARD,SUCCESS,,0.08238557248667078
T0012500,C00274,2026-01-01 00:55:45,1025.83,UPI,SUCCESS,,0.051162034325414885
T0004975,C00111,2026-01-01 00:58:57,512.86,CARD,SUCCESS,,0.06089416851621351
T0013197,C00290,2026-01-01 01:00:27,1874.33,UPI,SUCCESS,,0.05863086962194463
T0019217,C00423,2026-01-01 01:00:47,4728.41,NETBANKING,SUCCESS,,0.052989674176265385
T0025763,C00568,2026-01-01 01:02:51,8579.48,UPI,FAILED,BANK_DECLINE,0.06751876067279663
T0043257,C00944,2026-01-01 01:03:11,1902.47,UPI,SUCCESS,,0.05264633929401709
T0031371,C00681,2026-01-01 01:03:15,1951.09,UPI,SUCCESS,,0.07361469360152499
T0029144,C00636,2026-01-01 01:05:01,2374.54,CARD,SUCCESS,,0.05584933138884122
T0034770,C00755,2026-01-01 01:06:41,596.69,UPI,SUCCESS,,0.03833707764148631
T0012789,C00280,2026-01-01 01:07:17,9095.57,NETBANKING,FAILED,LIMIT_EXCEEDED,0.09824965576375064
T0038744,C00843,2026-01-01 01:07:36,2656.03,CARD,SUCCESS,,0.07335135698876369
T0002446,C00056,2026-01-01 01:08:29,1930.31,CARD,SUCCESS,,0.06086021996940756
T0016582,C00362,2026-01-01 01:08:41,1749.6,CARD,SUCCESS,,0.04065133200173441
T0004304,C00095,2026-01-01 01:10:06,1727.26,UPI,SUCCESS,,0.0515716316032617
T0029562,C00643,2026-01-01 01:11:50,938.8,UPI,SUCCESS,,0.07028452051256312
T0030266,C00659,2026-01-01 01:12:43,3188.8,UPI,SUCCESS,,0.051942518268268054
T0016202,C00354,2026-01-01 01:13:25,388.54,UPI,SUCCESS,,0.043299323154554856
T0038084,C00827,2026-01-01 01:13:42,2753.32,CARD,SUCCESS,,0.051225557961414835
T0014468,C00319,2026-01-01 01:13:45,1890.46,UPI,SUCCESS,,0.09467446198280563
T0025219,C00554,2026-01-01 01:14:05,2002.23,WALLET,SUCCESS,,0.08519889624467344
T0023840,C00524,2026-01-01 01:14:09,1845.98,UPI,SUCCESS,,0.044907557986957454
T0011838,C00260,2026-01-01 01:14:40,2011.54,NETBANKING,SUCCESS,,0.05607354801637782
T0043502,C00948,2026-01-01 01:15:07,1708.13,UPI,SUCCESS,,0.0876233768859874
T0020696,C00456,2026-01-01 01:18:00,2539.85,UPI,SUCCESS,,0.061523946923668006
T0027386,C00599,2026-01-01 01:18:31,1471.99,WALLET,FAILED,NETWORK_ERROR,0.0788362299069198
T0031638,C00686,2026-01-01 01:18:45,1418.35,CARD,SUCCESS,,0.05104563039831564
T0019035,C00418,2026-01-01 01:19:05,1720.41,NETBANKING,SUCCESS,,0.052312871898252594
T0024529,C00540,2026-01-01 01:20:54,8212.16,WALLET,SUCCESS,,0.08161657026195841
T0045278,C00987,2026-01-01 01:20:58,2412.26,NETBANKING,SUCCESS,,0.049622912965798266
T0002537,C00058,2026-01-01 01:22:03,597.88,UPI,SUCCESS,,0.04351121799390545
T0021934,C00483,2026-01-01 01:23:11,1363.96,UPI,SUCCESS,,0.04399219617580664
T0025959,C00571,2026-01-01 01:24:43,1146.93,UPI,SUCCESS,,0.0483543115008056
T0025998,C00572,2026-01-01 01:24:49,6550.01,NETBANKING,SUCCESS,,0.09066073425260372
T0026994,C00592,2026-01-01 01:28:13,2872.56,CARD,SUCCESS,,0.06694784677721762
T0023145,C00509,2026-01-01 01:28:31,1808.84,UPI,SUCCESS,,0.04546708492674566
T0035186,C00765,2026-01-01 01:29:21,2136.53,CARD,SUCCESS,,0.08736134087236137
T0035504,C00772,2026-01-01 01:29:39,1094.81,NETBANKING,SUCCESS,,0.07400777709217453
T0001443,C00033,2026-01-01 01:30:49,1782.72,UPI,SUCCESS,,0.04889923030154596
T0044727,C00976,2026-01-01 01:31:36,599.29,UPI,SUCCESS,,0.04442912309129029
T0012628,C00277,2026-01-01 01:34:22,666.82,CARD,SUCCESS,,0.0795113977194091
T0038000,C00826,2026-01-01 01:34:56,12245.01,UPI,SUCCESS,,0.06444175379178721
T0020803,C00458,2026-01-01 01:35:05,1170.61,UPI,SUCCESS,,0.059062579105315746
T0044499,C00971,2026-01-01 01:35:59,1574.93,CARD,SUCCESS,,0.07557992833712465
T0036147,C00786,2026-01-01 01:36:46,837.31,UPI,SUCCESS,,0.03611123391149218
T0041020,C00894,2026-01-01 01:36:52,6293.86,CARD,SUCCESS,,0.08961160143416831
T0045608,C00995,2026-01-01 01:37:21,679.2,UPI,SUCCESS,,0.037213075372388556
T0045289,C00987,2026-01-01 01:39:38,2152.4,NETBANKING,SUCCESS,,0.048697294144398905
T0022003,C00484,2026-01-01 01:41:25,842.39,UPI,SUCCESS,,0.04208758126082071
T0019995,C00439,2026-01-01 01:43:07,2331.06,UPI,SUCCESS,,0.052527957496622334
T0018547,C00409,2026-01-01 01:43:15,756.32,CARD,SUCCESS,,0.028281350287365316
T0035632,C00775,2026-01-01 01:44:38,2258.73,UPI,SUCCESS,,0.04733728801967165
T0029682,C00645,2026-01-01 01:46:07,442.08,CARD,SUCCESS,,0.0497333618416759
T0021202,C00467,2026-01-01 01:46:11,2241.0,UPI,SUCCESS,,0.07850285634872735
T0024912,C00548,2026-01-01 01:47:07,3527.77,UPI,SUCCESS,,0.06982294390857692
T0005406,C00119,2026-01-01 01:47:57,2943.32,UPI,SUCCESS,,0.04385319473824755
T0015709,C00346,2026-01-01 01:49:13,1286.75,UPI,SUCCESS,,0.07488187605286545
T0040802,C00889,2026-01-01 01:49:20,1102.66,CARD,SUCCESS,,0.07829989412265137
T0006300,C00138,2026-01-01 01:50:01,2652.73,UPI,SUCCESS,,0.05094969105981822
T0027593,C00604,2026-01-01 01:50:02,895.4,WALLET,SUCCESS,,0.06383673037740656
T0009360,C00204,2026-01-01 01:51:00,340.52,UPI,SUCCESS,,0.03697109288467657
T0010517,C00228,2026-01-01 01:54:05,938.89,CARD,SUCCESS,,0.079874672931461
T0038454,C00836,2026-01-01 01:54:59,662.2,NETBANKING,SUCCESS,,0.06493772280092841
T0038919,C00847,2026-01-01 01:55:13,5248.07,CARD,SUCCESS,,0.06694386481522796
T0018716,C00413,2026-01-01 01:55:31,705.81,CARD,SUCCESS,,0.05281900632663576
T0014870,C00327,2026-01-01 01:55:55,3927.19,CARD,SUCCESS,,0.0916700816393383
T0006749,C00147,2026-01-01 01:56:48,1815.08,UPI,SUCCESS,,0.048613882631783525
T0030427,C00663,2026-01-01 01:58:15,3207.68,UPI,SUCCESS,,0.07968866891378242
T0017415,C00382,2026-01-01 01:58:17,1050.31,UPI,SUCCESS,,0.043824654880725115
T0041686,C00909,2026-01-01 02:00:06,970.93,CARD,SUCCESS,,0.06591541418477774
T0024053,C00528,2026-01-01 02:02:03,937.86,CARD,SUCCESS,,0.04890571972155222
T0044921,C00980,2026-01-01 02:04:48,2588.01,CARD,FAILED,NETWORK_ERROR,0.0846533102874848
T0008300,C00180,2026-01-01 02:05:14,2104.12,UPI,SUCCESS,,0.05677416302699113
T0034548,C00750,2026-01-01 02:07:03,1865.2,NETBANKING,SUCCESS,,0.06041963896415701
T0034243,C00744,2026-01-01 02:08:04,267.93,UPI,SUCCESS,,0.08805621204962867
T0035575,C00774,2026-01-01 02:09:49,1821.57,CARD,SUCCESS,,0.060558925967265566
T0012391,C00272,2026-01-01 02:10:42,14448.15,UPI,SUCCESS,,0.08680346006955679
T0021211,C00467,2026-01-01 02:12:32,1348.1,UPI,SUCCESS,,0.07286886745063864
T0040227,C00876,2026-01-01 02:14:17,743.22,UPI,SUCCESS,,0.06640097670686414
T0015198,C00335,2026-01-01 02:14:40,2542.98,WALLET,SUCCESS,,0.07086974757236568
T0029755,C00647,2026-01-01 02:15:38,991.65,CARD,SUCCESS,,0.06122123344827901
T0038662,C00842,2026-01-01 02:16:17,2772.65,CARD,SUCCESS,,0.12135517933275262
T0036112,C00785,2026-01-01 02:17:02,756.98,UPI,SUCCESS,,0.04173360611504092
T0027965,C00612,2026-01-01 02:17:15,1595.88,CARD,SUCCESS,,0.06184629262166942
T0037491,C00814,2026-01-01 02:19:18,983.64,CARD,SUCCESS,,0.07009966269532124
T0015312,C00338,2026-01-01 02:19:19,548.73,CARD,SUCCESS,,0.044431404574191126
T0017556,C00385,2026-01-01 02:19:52,1802.09,CARD,SUCCESS,,0.047305610415070004
T0016883,C00370,2026-01-01 02:20:52,12750.67,UPI,SUCCESS,,0.14877103739425357
T0033600,C00730,2026-01-01 02:23:00,2853.83,NETBANKING,SUCCESS,,0.05245481756212264
T0027453,C00601,2026-01-01 02:24:38,2247.08,UPI,SUCCESS,,0.08649975644950492
T0040264,C00877,2026-01-01 02:24:43,895.66,UPI,SUCCESS,,0.05432447931001099
T0045883,C01000,2026-01-01 02:24:48,6153.29,UPI,SUCCESS,,0.05847743253443565
T0033947,C00737,2026-01-01 02:25:57,1109.94,UPI,SUCCESS,,0.06410710369761936
T0003519,C00080,2026-01-01 02:26:14,24514.47,CARD,SUCCESS,,0.1427862698160542
T0028531,C00624,2026-01-01 02:27:09,735.37,UPI,SUCCESS,,0.05177738669225977
T0034280,C00745,2026-01-01 02:30:05,915.47,UPI,SUCCESS,,0.042443595947179426
T0041835,C00912,2026-01-01 02:31:14,905.88,UPI,SUCCESS,,0.08793135177361269
T0014918,C00328,2026-01-01 02:31:41,1935.49,CARD,SUCCESS,,0.05493283710289078
T0043189,C00943,2026-01-01 02:39:22,389.1,UPI,SUCCESS,,0.08023563455723996
T0010832,C00235,2026-01-01 02:40:07,1206.72,UPI,SUCCESS,,0.05217902061150112
T0044563,C00972,2026-01-01 02:40:24,3199.78,CARD,FAILED,NETWORK_ERROR,0.08802460091343563
T0000438,C00010,2026-01-01 02:41:08,1150.81,CARD,SUCCESS,,0.04633888615651505
T0014516,C00320,2026-01-01 02:42:13,820.05,NETBANKING,FAILED,BANK_DECLINE,0.049426075608707126
T0019831,C00436,2026-01-01 02:42:23,2362.06,CARD,SUCCESS,,0.03986112309074348
T0019603,C00431,2026-01-01 02:42:29,1512.82,UPI,SUCCESS,,0.04489061210121855
T0009649,C00210,2026-01-01 02:42:34,1008.96,CARD,SUCCESS,,0.06538370448874332
T0008747,C00190,2026-01-01 02:42:38,884.55,NETBANKING,SUCCESS,,0.05414830461560422
T0027179,C00595,2026-01-01 02:42:57,860.29,UPI,SUCCESS,,0.0506664518017211
T0034781,C00756,2026-01-01 02:43:51,5182.68,UPI,SUCCESS,,0.060663973999622874
T0006956,C00153,2026-01-01 02:44:01,2860.33,UPI,SUCCESS,,0.07082462287343363
T0013584,C00297,2026-01-01 02:46:14,979.28,WALLET,SUCCESS,,0.046169617272134096
T0038238,C00832,2026-01-01 02:46:57,1090.95,NETBANKING,SUCCESS,,0.0799737053853126
T0000544,C00013,2026-01-01 02:47:09,2257.97,CARD,SUCCESS,,0.046177351821512704
T0030175,C00657,2026-01-01 02:47:14,621.46,NETBANKING,SUCCESS,,0.04214327612565029
T0031375,C00681,2026-01-01 02:47:17,700.49,UPI,FAILED,LIMIT_EXCEEDED,0.06475121339128795
T0004533,C00099,2026-01-01 02:49:56,3875.7,CARD,SUCCESS,,0.0804812503389095
T0004163,C00091,2026-01-01 02:51:00,3044.52,UPI,SUCCESS,,0.06628705709785852
T0032204,C00699,2026-01-01 02:51:16,736.36,UPI,SUCCESS,,0.06606823475939687
T0002374,C00055,2026-01-01 02:51:26,3973.08,WALLET,SUCCESS,,0.07378617890316784
T0016935,C00371,2026-01-01 02:52:46,1808.16,UPI,SUCCESS,,0.038966349773722715
T0038859,C00846,2026-01-01 02:52:57,1384.31,WALLET,SUCCESS,,0.06625631191981292
T0007096,C00155,2026-01-01 02:53:30,711.69,UPI,FAILED,INSUFFICIENT_FUNDS,0.054159997997628995
T0043314,C00945,2026-01-01 02:56:09,1360.04,CARD,SUCCESS,,0.13663289547407642
T0011314,C00247,2026-01-01 02:56:27,359.0,WALLET,SUCCESS,,0.05695777744286841
T0030791,C00670,2026-01-01 02:58:04,2453.63,CARD,SUCCESS,,0.06024908932528314
T0025736,C00567,2026-01-01 02:58:54,3734.85,CARD,SUCCESS,,0.09738120943155203
T0008463,C00183,2026-01-01 02:59:00,591.17,UPI,SUCCESS,,0.03708876175808311
T0009862,C00215,2026-01-01 02:59:11,408.13,CARD,SUCCESS,,0.0602271265936602
T0045849,C01000,2026-01-01 03:03:16,272.88,UPI,SUCCESS,,0.038775104807697504
T0040249,C00876,2026-01-01 03:05:05,5346.23,UPI,SUCCESS,,0.0894553328437651
T0032046,C00696,2026-01-01 03:08:04,1557.75,UPI,SUCCESS,,0.04929973041193141
T0041975,C00916,2026-01-01 03:08:27,1648.44,UPI,SUCCESS,,0.051978382544949894
T0012335,C00271,2026-01-01 03:13:48,2043.54,CARD,SUCCESS,,0.06649481117611844
T0035536,C00773,2026-01-01 03:13:50,1521.57,UPI,SUCCESS,,0.07291268770579519
T0020412,C00450,2026-01-01 03:15:36,1664.6,CARD,SUCCESS,,0.05476765137045557
T0030907,C00672,2026-01-01 03:18:36,2329.95,UPI,SUCCESS,,0.05869424887916655
T0027602,C00605,2026-01-01 03:19:02,3206.0,CARD,SUCCESS,,0.06523881423478003
T0006231,C00137,2026-01-01 03:19:30,935.21,CARD,FAILED,LIMIT_EXCEEDED,0.05066894092655018
T0000053,C00002,2026-01-01 03:21:47,995.58,NETBANKING,SUCCESS,,0.05168768937271937
T0015791,C00347,2026-01-01 03:21:56,3085.7,WALLET,SUCCESS,,0.08719320973218814
T0012392,C00272,2026-01-01 03:24:33,407.05,UPI,SUCCESS,,0.049627772136556725
T0029933,C00652,2026-01-01 03:24:52,1738.38,UPI,SUCCESS,,0.08849797146832522
T0002130,C00049,2026-01-01 03:26:57,502.48,CARD,SUCCESS,,0.0490152967560921
T0035144,C00764,2026-01-01 03:27:09,1168.35,UPI,FAILED,NETWORK_ERROR,0.03854457615925775
T0038258,C00833,2026-01-01 03:30:00,3616.84,UPI,FAILED,NETWORK_ERROR,0.07436040528043335
T0008453,C00183,2026-01-01 03:30:09,802.13,UPI,SUCCESS,,0.03821648936119033
T0020652,C00454,2026-01-01 03:31:05,751.52,UPI,SUCCESS,,0.05077914373811776
T0018704,C00412,2026-01-01 03:31:09,734.77,NETBANKING,SUCCESS,,0.04372840982782628
T0041182,C00898,2026-01-01 03:31:48,407.47,UPI,SUCCESS,,0.04533213505884128
T0024771,C00545,2026-01-01 03:32:43,3831.01,UPI,SUCCESS,,0.03969575303708253
T0032281,C00701,2026-01-01 03:33:40,3493.89,CARD,SUCCESS,,0.05503640983466924
T0028638,C00626,2026-01-01 03:34:17,632.34,UPI,SUCCESS,,0.04182881906825922
T0000001,C00001,2026-01-01 03:35:40,7178.93,WALLET,SUCCESS,,0.06500296225998506
T0028559,C00625,2026-01-01 03:35:53,2881.92,WALLET,SUCCESS,,0.0893502486704152
T0013058,C00287,2026-01-01 03:37:28,783.19,UPI,SUCCESS,,0.03690931933650835
T0028990,C00633,2026-01-01 03:38:55,4935.65,CARD,SUCCESS,,0.07355338356908431
T0013148,C00289,2026-01-01 03:39:41,2188.81,CARD,SUCCESS,,0.053212192589123526
T0008978,C00194,2026-01-01 03:40:30,1462.05,UPI,SUCCESS,,0.04193352094366097
T0000756,C00017,2026-01-01 03:40:35,1988.21,WALLET,SUCCESS,,0.050527089531303054
T0005111,C00114,2026-01-01 03:42:32,402.7,CARD,SUCCESS,,0.03499397658797951
T0044127,C00962,2026-01-01 03:42:56,441.17,CARD,SUCCESS,,0.03985124694715191
T0036700,C00797,2026-01-01 03:43:13,1198.41,UPI,SUCCESS,,0.07511151606263251
T0027890,C00611,2026-01-01 03:43:18,2298.69,UPI,SUCCESS,,0.08817864520612662
T0027114,C00594,2026-01-01 03:43:24,1635.43,UPI,SUCCESS,,0.061128659846433175
T0033881,C00736,2026-01-01 03:44:37,6250.6,NETBANKING,SUCCESS,,0.11445121332610683
T0018868,C00415,2026-01-01 03:45:17,2162.11,UPI,SUCCESS,,0.07455274936951327
T0002805,C00066,2026-01-01 03:46:47,759.44,UPI,SUCCESS,,0.07918004848584384
T0041412,C00903,2026-01-01 03:47:26,2998.46,UPI,SUCCESS,,0.08013183429748566
T0000332,C00008,2026-01-01 03:48:45,1068.65,CARD,SUCCESS,,0.04544515077070992
T0014014,C00307,2026-01-01 03:49:18,4506.43,CARD,SUCCESS,,0.04319789510265697
T0029600,C00643,2026-01-01 03:50:13,638.94,UPI,SUCCESS,,0.06758878274921366
T0039685,C00865,2026-01-01 03:50:53,180.38,UPI,SUCCESS,,0.03699593332959547
T0037265,C00809,2026-01-01 03:51:33,1659.09,CARD,SUCCESS,,0.07698500736629273
T0028924,C00632,2026-01-01 03:51:34,1745.21,UPI,SUCCESS,,0.05664713079360754
T0030297,C00660,2026-01-01 03:51:41,875.9,WALLET,SUCCESS,,0.04214555430650398
T0010106,C00220,2026-01-01 03:52:04,5965.73,WALLET,SUCCESS,,0.1241462653650745
T0010949,C00238,2026-01-01 03:53:46,1115.54,NETBANKING,SUCCESS,,0.05158906797224497
T0005112,C00114,2026-01-01 03:54:41,6824.92,CARD,SUCCESS,,0.05278846438049706
T0003686,C00082,2026-01-01 03:54:42,693.89,UPI,SUCCESS,,0.08733845554398809
T0023337,C00513,2026-01-01 03:55:18,2249.42,UPI,SUCCESS,,0.06013978305008068
T0020421,C00450,2026-01-01 03:55:32,1417.43,CARD,SUCCESS,,0.05352132371983817
T0006523,C00142,2026-01-01 03:58:12,2586.16,CARD,SUCCESS,,0.06954102580544601
T0022715,C00500,2026-01-01 03:59:12,1182.64,UPI,SUCCESS,,0.06237948135044
T0018179,C00401,2026-01-01 04:00:00,4809.42,UPI,SUCCESS,,0.07370491428631365
T0003485,C00079,2026-01-01 04:01:10,4789.31,CARD,SUCCESS,,0.09746581618437458
T0024844,C00547,2026-01-01 04:02:46,332.17,CARD,SUCCESS,,0.06743104911132246
T0004216,C00093,2026-01-01 04:02:57,932.07,NETBANKING,SUCCESS,,0.040498042348275635
T0035305,C00768,2026-01-01 04:04:33,488.28,UPI,SUCCESS,,0.05942982403706925
T0020773,C00457,2026-01-01 04:06:19,2599.39,UPI,SUCCESS,,0.10030253510824834
T0012686,C00278,2026-01-01 04:06:45,2551.47,NETBANKING,SUCCESS,,0.0799779747796042
T0037737,C00819,2026-01-01 04:07:10,3863.33,CARD,SUCCESS,,0.09011629297416109
T0008090,C00175,2026-01-01 04:07:44,4167.28,UPI,SUCCESS,,0.0694974495677818
T0028320,C00620,2026-01-01 04:08:20,5102.78,CARD,SUCCESS,,0.07063251288080223
T0011967,C00263,2026-01-01 04:11:14,3419.77,CARD,SUCCESS,,0.04587544931421018
T0010150,C00221,2026-01-01 04:16:34,1710.16,UPI,FAILED,BANK_DECLINE,0.09071138296373976
T0006056,C00133,2026-01-01 04:16:54,2023.69,UPI,SUCCESS,,0.06546166088451726
T0012681,C00278,2026-01-01 04:17:59,843.95,NETBANKING,SUCCESS,,0.06872067066175447
T0031503,C00684,2026-01-01 04:18:33,3549.52,UPI,SUCCESS,,0.052902642623585766
T0014089,C00309,2026-01-01 04:19:48,394.9,UPI,SUCCESS,,0.0467843811725046
T0042657,C00933,2026-01-01 04:20:09,2095.6,UPI,SUCCESS,,0.055641433364348854
T0030805,C00670,2026-01-01 04:20:49,1836.55,CARD,SUCCESS,,0.05752245363974756
T0032973,C00718,2026-01-01 04:22:33,591.63,CARD,SUCCESS,,0.04100766824141366
T0023507,C00516,2026-01-01 04:22:47,1594.73,UPI,SUCCESS,,0.08031477884128897
T0010158,C00221,2026-01-01 04:23:42,879.96,UPI,SUCCESS,,0.08344617377517022
T0036318,C00790,2026-01-01 04:23:50,1241.32,CARD,SUCCESS,,0.07263468329292762
T0019139,C00421,2026-01-01 04:27:14,2229.46,UPI,SUCCESS,,0.06348418617004942
T0031615,C00685,2026-01-01 04:27:30,1668.42,CARD,SUCCESS,,0.037175452807056905
T0002817,C00066,2026-01-01 04:27:57,560.59,UPI,SUCCESS,,0.07702137636211984
T0044436,C00968,2026-01-01 04:29:30,217.87,UPI,SUCCESS,,0.04422986682016776
T0039888,C00869,2026-01-01 04:31:06,1607.53,CARD,SUCCESS,,0.05692499924835688
T0030877,C00672,2026-01-01 04:31:09,100.0,UPI,SUCCESS,,0.04513818642256256
T0023631,C00520,2026-01-01 04:31:31,2601.41,UPI,SUCCESS,,0.048598196493231924
T0000512,C00012,2026-01-01 04:34:21,3065.37,UPI,SUCCESS,,0.0969345889517206
T0037315,C00810,2026-01-01 04:34:25,529.63,UPI,SUCCESS,,0.07967515760555871
T0025830,C00569,2026-01-01 04:34:26,5202.91,UPI,SUCCESS,,0.13045032857442382
T0017336,C00380,2026-01-01 04:36:23,1214.67,UPI,SUCCESS,,0.06729598647693096
T0036579,C00796,2026-01-01 04:36:28,711.17,UPI,SUCCESS,,0.042033659126999974
T0002320,C00054,2026-01-01 04:38:27,339.7,NETBANKING,SUCCESS,,0.045857753809021816
T0038384,C00835,2026-01-01 04:38:47,713.85,CARD,SUCCESS,,0.05176133068159584
T0010030,C00218,2026-01-01 04:38:51,1256.7,CARD,SUCCESS,,0.08264824436983417
T0036850,C00800,2026-01-01 04:39:37,1672.07,UPI,SUCCESS,,0.04260163967725539
T0039190,C00854,2026-01-01 04:39:55,2076.23,CARD,SUCCESS,,0.06061744229881372
T0041914,C00914,2026-01-01 04:40:04,9236.38,UPI,SUCCESS,,0.06372077599051501
