file,id_column,rows,unique_ids,production_overlap,production_match_rate,outcome_overlap,outcome_match_rate
D:\RECLAIM\data\generated\reclaim_production_financial_reconciliation_v6_1.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_linkage_v10.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_outcome_capture_v11.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_outcome_capture_v12.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_outcome_capture_v14.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_outcome_capture_v15.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_production_validated_outcomes_v15.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_recovery_calibration_integration_v2.csv,transaction_id,10000,10000,10000,1.0,0,0.0
D:\RECLAIM\data\generated\reclaim_treatment_control_experiment.csv,transaction_id,581,581,0,0.0,581,0.200068870523416
D:\RECLAIM\data\generated\recovery_context.csv,transaction_id,2904,2904,0,0.0,2904,1.0
D:\RECLAIM\data\generated\recovery_final_policy.csv,transaction_id,581,581,0,0.0,581,0.200068870523416
D:\RECLAIM\data\generated\recovery_model_predictions.csv,transaction_id,581,581,0,0.0,581,0.200068870523416
D:\RECLAIM\data\generated\recovery_opportunities.csv,transaction_id,2904,2904,0,0.0,2904,1.0
D:\RECLAIM\data\generated\transaction_outcomes.csv,transaction_id,45889,45889,0,0.0,2904,1.0
D:\RECLAIM\data\generated\transactions.csv,transaction_id,45889,45889,0,0.0,2904,1.0
D:\RECLAIM\data\generated\value_of_information_policy.csv,transaction_id,581,581,0,0.0,581,0.200068870523416
