transaction_id,customer_id,v7_decision,v7_intervention_selected,v7_production_rank,production_target_rate,v8_decision,v8_intervention_selected,v8_production_rank,target_group,v12_cohort_status,v10_2_target_rate,artificial_outcome,artificial_transaction_id
RECLAIM-V2-000032,C00304,RETRY_ALL,0,2962,0.05,RETRY_ALL,0,2962,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000033,C00886,RETRY_ALL,0,6999,0.05,RETRY_ALL,0,6999,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000034,C00525,RETRY_ALL,0,6734,0.05,RETRY_ALL,0,6734,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000035,C00347,RETRY_ALL,0,8730,0.05,RETRY_ALL,0,8730,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000036,C00584,RETRY_ALL,0,2445,0.05,RETRY_ALL,0,2445,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000037,C00942,RETRY_ALL,0,7808,0.05,RETRY_ALL,0,7808,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000038,C00226,RETRY_ALL,0,4078,0.05,RETRY_ALL,0,4078,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000039,C00080,TARGET,1,85,0.05,TARGET,1,85,TARGET,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000040,C00791,RETRY_ALL,0,7407,0.05,RETRY_ALL,0,7407,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000041,C00749,RETRY_ALL,0,6968,0.05,RETRY_ALL,0,6968,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000042,C00485,RETRY_ALL,0,8837,0.05,RETRY_ALL,0,8837,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000043,C00482,RETRY_ALL,0,2163,0.05,RETRY_ALL,0,2163,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000044,C00671,RETRY_ALL,0,3247,0.05,RETRY_ALL,0,3247,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000045,C00955,RETRY_ALL,0,808,0.05,RETRY_ALL,0,808,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000046,C00107,RETRY_ALL,0,5226,0.05,RETRY_ALL,0,5226,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000047,C00691,RETRY_ALL,0,5526,0.05,RETRY_ALL,0,5526,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000048,C00319,RETRY_ALL,0,882,0.05,RETRY_ALL,0,882,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000049,C00041,RETRY_ALL,0,5710,0.05,RETRY_ALL,0,5710,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000050,C00525,RETRY_ALL,0,6577,0.05,RETRY_ALL,0,6577,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000051,C00886,RETRY_ALL,0,3923,0.05,RETRY_ALL,0,3923,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000052,C00708,RETRY_ALL,0,8124,0.05,RETRY_ALL,0,8124,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000053,C00131,RETRY_ALL,0,7343,0.05,RETRY_ALL,0,7343,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000054,C00570,RETRY_ALL,0,9641,0.05,RETRY_ALL,0,9641,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000055,C00521,RETRY_ALL,0,5389,0.05,RETRY_ALL,0,5389,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000056,C00347,RETRY_ALL,0,6818,0.05,RETRY_ALL,0,6818,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000057,C00229,RETRY_ALL,0,4138,0.05,RETRY_ALL,0,4138,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000058,C00122,RETRY_ALL,0,776,0.05,RETRY_ALL,0,776,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000059,C00107,RETRY_ALL,0,5810,0.05,RETRY_ALL,0,5810,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000060,C00291,RETRY_ALL,0,578,0.05,RETRY_ALL,0,578,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000061,C00395,RETRY_ALL,0,9246,0.05,RETRY_ALL,0,9246,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000062,C00138,RETRY_ALL,0,4659,0.05,RETRY_ALL,0,4659,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000063,C00315,RETRY_ALL,0,3887,0.05,RETRY_ALL,0,3887,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000064,C00279,RETRY_ALL,0,1476,0.05,RETRY_ALL,0,1476,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000065,C00124,RETRY_ALL,0,1035,0.05,RETRY_ALL,0,1035,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000066,C00664,RETRY_ALL,0,2523,0.05,RETRY_ALL,0,2523,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000067,C00179,RETRY_ALL,0,6130,0.05,RETRY_ALL,0,6130,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000068,C00173,RETRY_ALL,0,7947,0.05,RETRY_ALL,0,7947,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000069,C00906,RETRY_ALL,0,9570,0.05,RETRY_ALL,0,9570,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000070,C00418,RETRY_ALL,0,844,0.05,RETRY_ALL,0,844,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000071,C00449,RETRY_ALL,0,4383,0.05,RETRY_ALL,0,4383,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000072,C00062,RETRY_ALL,0,6569,0.05,RETRY_ALL,0,6569,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000073,C00147,RETRY_ALL,0,1428,0.05,RETRY_ALL,0,1428,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000074,C00999,RETRY_ALL,0,1071,0.05,RETRY_ALL,0,1071,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000075,C00347,RETRY_ALL,0,6910,0.05,RETRY_ALL,0,6910,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000076,C00816,RETRY_ALL,0,5414,0.05,RETRY_ALL,0,5414,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000077,C00012,RETRY_ALL,0,2131,0.05,RETRY_ALL,0,2131,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000078,C00590,RETRY_ALL,0,3726,0.05,RETRY_ALL,0,3726,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000079,C00018,RETRY_ALL,0,1130,0.05,RETRY_ALL,0,1130,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000080,C00307,RETRY_ALL,0,1463,0.05,RETRY_ALL,0,1463,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000081,C00022,RETRY_ALL,0,554,0.05,RETRY_ALL,0,554,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000082,C00289,RETRY_ALL,0,1691,0.05,RETRY_ALL,0,1691,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000083,C00500,RETRY_ALL,0,2739,0.05,RETRY_ALL,0,2739,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000084,C00899,RETRY_ALL,0,2904,0.05,RETRY_ALL,0,2904,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000085,C00746,RETRY_ALL,0,3218,0.05,RETRY_ALL,0,3218,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000086,C00894,RETRY_ALL,0,4708,0.05,RETRY_ALL,0,4708,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000087,C00485,RETRY_ALL,0,9016,0.05,RETRY_ALL,0,9016,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000088,C00516,RETRY_ALL,0,5451,0.05,RETRY_ALL,0,5451,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000089,C00446,RETRY_ALL,0,3677,0.05,RETRY_ALL,0,3677,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000090,C00339,RETRY_ALL,0,5720,0.05,RETRY_ALL,0,5720,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000091,C00136,RETRY_ALL,0,4236,0.05,RETRY_ALL,0,4236,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000092,C00294,RETRY_ALL,0,8597,0.05,RETRY_ALL,0,8597,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000093,C00542,RETRY_ALL,0,3530,0.05,RETRY_ALL,0,3530,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000094,C00189,RETRY_ALL,0,8397,0.05,RETRY_ALL,0,8397,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000095,C00695,RETRY_ALL,0,2658,0.05,RETRY_ALL,0,2658,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000096,C00943,RETRY_ALL,0,8902,0.05,RETRY_ALL,0,8902,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000097,C00345,RETRY_ALL,0,9315,0.05,RETRY_ALL,0,9315,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000098,C00317,RETRY_ALL,0,3504,0.05,RETRY_ALL,0,3504,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000099,C00098,RETRY_ALL,0,3361,0.05,RETRY_ALL,0,3361,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000100,C00431,RETRY_ALL,0,9130,0.05,RETRY_ALL,0,9130,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000101,C00493,RETRY_ALL,0,3283,0.05,RETRY_ALL,0,3283,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000102,C00228,RETRY_ALL,0,6383,0.05,RETRY_ALL,0,6383,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000103,C00488,RETRY_ALL,0,3093,0.05,RETRY_ALL,0,3093,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000104,C00185,RETRY_ALL,0,2861,0.05,RETRY_ALL,0,2861,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000105,C00435,RETRY_ALL,0,5513,0.05,RETRY_ALL,0,5513,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000106,C00981,RETRY_ALL,0,5811,0.05,RETRY_ALL,0,5811,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000107,C00270,RETRY_ALL,0,7047,0.05,RETRY_ALL,0,7047,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000108,C00347,RETRY_ALL,0,4046,0.05,RETRY_ALL,0,4046,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000109,C00440,RETRY_ALL,0,1429,0.05,RETRY_ALL,0,1429,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000110,C00480,RETRY_ALL,0,707,0.05,RETRY_ALL,0,707,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000111,C00397,TARGET,1,164,0.05,TARGET,1,164,TARGET,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000112,C00145,RETRY_ALL,0,6703,0.05,RETRY_ALL,0,6703,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000113,C00664,RETRY_ALL,0,2418,0.05,RETRY_ALL,0,2418,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000114,C00619,RETRY_ALL,0,9499,0.05,RETRY_ALL,0,9499,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000115,C00043,RETRY_ALL,0,5857,0.05,RETRY_ALL,0,5857,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000116,C00214,RETRY_ALL,0,7688,0.05,RETRY_ALL,0,7688,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000117,C00664,RETRY_ALL,0,2459,0.05,RETRY_ALL,0,2459,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000118,C00590,RETRY_ALL,0,1668,0.05,RETRY_ALL,0,1668,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000119,C00752,RETRY_ALL,0,7487,0.05,RETRY_ALL,0,7487,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000120,C00147,RETRY_ALL,0,1578,0.05,RETRY_ALL,0,1578,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000121,C00270,RETRY_ALL,0,8341,0.05,RETRY_ALL,0,8341,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000122,C00159,RETRY_ALL,0,3030,0.05,RETRY_ALL,0,3030,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000123,C00193,RETRY_ALL,0,7410,0.05,RETRY_ALL,0,7410,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000124,C00229,RETRY_ALL,0,4259,0.05,RETRY_ALL,0,4259,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000125,C00712,RETRY_ALL,0,7980,0.05,RETRY_ALL,0,7980,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000126,C00537,RETRY_ALL,0,4211,0.05,RETRY_ALL,0,4211,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000127,C00218,RETRY_ALL,0,909,0.05,RETRY_ALL,0,909,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000128,C00459,TARGET,1,338,0.05,TARGET,1,338,TARGET,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000129,C00551,RETRY_ALL,0,8606,0.05,RETRY_ALL,0,8606,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000130,C00598,RETRY_ALL,0,1747,0.05,RETRY_ALL,0,1747,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000131,C00413,RETRY_ALL,0,8658,0.05,RETRY_ALL,0,8658,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000132,C00886,RETRY_ALL,0,4110,0.05,RETRY_ALL,0,4110,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000133,C00497,RETRY_ALL,0,3212,0.05,RETRY_ALL,0,3212,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000134,C00265,RETRY_ALL,0,3717,0.05,RETRY_ALL,0,3717,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000135,C00803,RETRY_ALL,0,7547,0.05,RETRY_ALL,0,7547,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000136,C00435,RETRY_ALL,0,5836,0.05,RETRY_ALL,0,5836,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000137,C00516,RETRY_ALL,0,5723,0.05,RETRY_ALL,0,5723,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000138,C00317,RETRY_ALL,0,3470,0.05,RETRY_ALL,0,3470,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000139,C00921,RETRY_ALL,0,7345,0.05,RETRY_ALL,0,7345,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000140,C00899,RETRY_ALL,0,2912,0.05,RETRY_ALL,0,2912,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000141,C00961,RETRY_ALL,0,4762,0.05,RETRY_ALL,0,4762,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000142,C00241,RETRY_ALL,0,2307,0.05,RETRY_ALL,0,2307,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000143,C00173,RETRY_ALL,0,8042,0.05,RETRY_ALL,0,8042,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000144,C00073,RETRY_ALL,0,8731,0.05,RETRY_ALL,0,8731,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000145,C00978,RETRY_ALL,0,2610,0.05,RETRY_ALL,0,2610,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000146,C00421,RETRY_ALL,0,3550,0.05,RETRY_ALL,0,3550,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000147,C00999,RETRY_ALL,0,2142,0.05,RETRY_ALL,0,2142,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000148,C00124,RETRY_ALL,0,1015,0.05,RETRY_ALL,0,1015,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000149,C00961,RETRY_ALL,0,2011,0.05,RETRY_ALL,0,2011,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000150,C00624,RETRY_ALL,0,9685,0.05,RETRY_ALL,0,9685,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000151,C00352,RETRY_ALL,0,5174,0.05,RETRY_ALL,0,5174,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000152,C00206,RETRY_ALL,0,4362,0.05,RETRY_ALL,0,4362,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000153,C00823,RETRY_ALL,0,3237,0.05,RETRY_ALL,0,3237,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000154,C00643,RETRY_ALL,0,7387,0.05,RETRY_ALL,0,7387,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000155,C00485,RETRY_ALL,0,9057,0.05,RETRY_ALL,0,9057,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000156,C00062,RETRY_ALL,0,6558,0.05,RETRY_ALL,0,6558,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
RECLAIM-V2-000157,C00955,RETRY_ALL,0,791,0.05,RETRY_ALL,0,791,RETRY_ALL,IMMUTABLE_PRODUCTION_COHORT,0.05,False,False
