transaction_id,customer_id,timestamp,amount,payment_method,status,failure_reason,historical_transaction_count,historical_success_count,historical_failure_count,historical_success_rate,hours_since_previous_transaction,previous_transaction_success,previous_failure_reason,transactions_last_7d,successful_payments_last_7d,failed_payments_last_7d,avg_amount_last_7d,failure_rate_last_7d,amount_vs_recent_average,payment_momentum,failure_streak,hours_since_last_success,hours_since_last_failure,method_share,recoverability_score,model_confidence,base_recovery_probability,recommended_action,action_recovery_probability,expected_recovery,intervention_cost,expected_net_recovery,decision_reason,priority,opportunity_rank,actual_recovery_probability,recovered,recovered_amount,customer_friction_cost,net_recovered_value,recovery_status
T0006231,C00137,2026-01-01 03:19:30,935.21,CARD,FAILED,LIMIT_EXCEEDED,1,1.0,0.0,1.0,3.1319444444444446,1,NONE,1.0,1.0,0.0,4538.59,0.0,0.206057387867157,1.0,1,3.1319444444444446,-1.0,1.0,80.48,12.21,0.7338,RETRY_NOW,0.5283,494.11,1.5,492.61,strong historical payment reliability; low recent failure rate; previous payment succeeded,MEDIUM,2150,0.5730879,1,935.21,0.25,933.46,RECOVERED
T0035144,C00764,2026-01-01 03:27:09,1168.35,UPI,FAILED,NETWORK_ERROR,0,28.0,0.0,1.0,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,70.0,10.0,0.65,RETRY_NOW,0.5242,612.4,1.5,610.9,strong historical payment reliability; low recent failure rate,MEDIUM,1953,0.6573999999999999,0,0.0,0.25,0.0,NOT_RECOVERED
T0038258,C00833,2026-01-01 03:30:00,3616.84,UPI,FAILED,NETWORK_ERROR,0,27.0,1.0,0.9642857142857144,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,68.93,10.0,0.6397,RETRY_NOW,0.5159,1865.76,1.5,1864.26,strong historical payment reliability; low recent failure rate,HIGH,579,0.6496149999999999,1,3616.84,0.25,3615.09,RECOVERED
T0010150,C00221,2026-01-01 04:16:34,1710.16,UPI,FAILED,BANK_DECLINE,0,61.0,9.0,0.8714285714285714,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,66.14,10.0,0.6127,RETRY_NOW,0.4411,754.43,1.5,752.93,low recent failure rate,MEDIUM,1689,0.49097399999999997,0,0.0,0.25,0.0,NOT_RECOVERED
T0021507,C00474,2026-01-01 04:48:52,1720.56,UPI,FAILED,BANK_DECLINE,0,36.0,0.0,1.0,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,70.0,10.0,0.65,RETRY_NOW,0.468,805.22,1.5,803.72,strong historical payment reliability; low recent failure rate,MEDIUM,1592,0.519,1,1720.56,0.25,1718.81,RECOVERED
T0035342,C00769,2026-01-01 04:49:00,7632.2,UPI,FAILED,LIMIT_EXCEEDED,0,36.0,3.0,0.9230769230769232,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,67.69,10.0,0.6277,RETRY_NOW,0.4519,3449.33,1.5,3447.83,strong historical payment reliability; low recent failure rate,HIGH,170,0.45033230769230764,1,7632.2,0.25,7630.45,RECOVERED
T0010987,C00238,2026-01-01 05:01:03,2864.37,NETBANKING,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,1.121388888888889,1,NONE,1.0,1.0,0.0,1115.54,0.0,2.567698155153558,1.0,1,1.121388888888889,-1.0,1.0,80.48,12.21,0.7338,RETRY_NOW,0.5917,1694.95,1.5,1693.45,strong historical payment reliability; low recent failure rate; previous payment succeeded,HIGH,676,0.7467509,1,2864.37,0.25,2862.62,RECOVERED
T0004599,C00101,2026-01-01 05:12:55,1193.17,UPI,FAILED,NETWORK_ERROR,0,49.0,0.0,1.0,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,70.0,10.0,0.65,RETRY_NOW,0.5242,625.41,1.5,623.91,strong historical payment reliability; low recent failure rate,MEDIUM,1920,0.6573999999999999,1,1193.17,0.25,1191.42,RECOVERED
T0032244,C00700,2026-01-01 05:37:32,3314.42,NETBANKING,FAILED,NETWORK_ERROR,0,61.0,3.0,0.953125,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,68.59,10.0,0.6364,RETRY_NOW,0.5132,1700.94,1.5,1699.44,strong historical payment reliability; low recent failure rate,HIGH,671,0.6471821874999999,0,0.0,0.25,0.0,NOT_RECOVERED
T0031865,C00692,2026-01-01 05:48:19,1944.17,NETBANKING,FAILED,INSUFFICIENT_FUNDS,0,13.0,2.0,0.8666666666666667,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,66.0,10.0,0.6113,DELAYED_RETRY,0.464,902.05,1.0,901.05,low recent failure rate,MEDIUM,1452,0.5961580000000001,0,0.0,0.15,0.0,NOT_RECOVERED
T0036004,C00782,2026-01-01 06:00:55,2930.72,NETBANKING,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,0.2011111111111111,1,NONE,1.0,1.0,0.0,1063.18,0.0,2.756560507157772,1.0,1,0.2011111111111111,-1.0,1.0,80.48,12.21,0.7338,RETRY_NOW,0.5917,1734.21,1.5,1732.71,strong historical payment reliability; low recent failure rate; previous payment succeeded,HIGH,655,0.7467509,0,0.0,0.25,0.0,NOT_RECOVERED
T0029218,C00637,2026-01-01 06:11:41,953.28,CARD,FAILED,INSUFFICIENT_FUNDS,0,70.0,2.0,0.9722222222222222,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,69.17,10.0,0.642,DELAYED_RETRY,0.4873,464.51,1.0,463.51,strong historical payment reliability; low recent failure rate,MEDIUM,2218,0.6172495833333334,1,953.28,0.15,952.13,RECOVERED
T0004047,C00089,2026-01-01 06:12:03,3258.67,UPI,FAILED,BANK_DECLINE,0,50.0,2.0,0.9615384615384616,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,68.85,10.0,0.6389,RETRY_NOW,0.46,1499.01,1.5,1497.51,strong historical payment reliability; low recent failure rate,HIGH,820,0.5106161538461539,0,0.0,0.25,0.0,NOT_RECOVERED
T0040394,C00880,2026-01-01 06:27:49,1290.47,UPI,FAILED,INSUFFICIENT_FUNDS,0,22.0,1.0,0.9565217391304348,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,68.7,10.0,0.6374,DELAYED_RETRY,0.4838,624.31,1.0,623.31,strong historical payment reliability; low recent failure rate,MEDIUM,1922,0.6141123913043478,0,0.0,0.15,0.0,NOT_RECOVERED
T0008638,C00187,2026-01-01 06:39:15,1813.67,UPI,FAILED,BANK_DECLINE,0,59.0,4.0,0.9365079365079364,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,68.1,10.0,0.6316,RETRY_NOW,0.4548,824.77,1.5,823.27,strong historical payment reliability; low recent failure rate,MEDIUM,1558,0.5051599999999999,0,0.0,0.25,0.0,NOT_RECOVERED
T0022194,C00488,2026-01-01 06:46:57,1054.74,UPI,FAILED,INSUFFICIENT_FUNDS,0,59.0,5.0,0.921875,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,67.66,10.0,0.6274,DELAYED_RETRY,0.4762,502.26,1.0,501.26,strong historical payment reliability; low recent failure rate,MEDIUM,2139,0.607189453125,1,1054.74,0.15,1053.59,RECOVERED
T0019573,C00430,2026-01-01 07:15:29,5727.51,UPI,FAILED,INSUFFICIENT_FUNDS,0,35.0,3.0,0.9210526315789472,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,67.63,10.0,0.6271,DELAYED_RETRY,0.476,2726.12,1.0,2725.12,strong historical payment reliability; low recent failure rate,HIGH,282,0.5897251315789472,1,5727.51,0.15,5726.36,RECOVERED
T0022991,C00505,2026-01-01 07:32:58,1050.48,UPI,FAILED,NETWORK_ERROR,0,48.0,0.0,1.0,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,70.0,10.0,0.65,RETRY_NOW,0.5242,550.62,1.5,549.12,strong historical payment reliability; low recent failure rate,MEDIUM,2069,0.6573999999999999,1,1050.48,0.25,1048.73,RECOVERED
T0044237,C00964,2026-01-01 07:39:55,1213.74,UPI,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,2.4338888888888888,1,NONE,1.0,1.0,0.0,2921.39,0.0,0.4154666100726024,1.0,1,2.4338888888888888,-1.0,1.0,80.48,12.21,0.7338,RETRY_NOW,0.5283,641.26,1.5,639.76,strong historical payment reliability; low recent failure rate; previous payment succeeded,MEDIUM,1894,0.6078205,1,1213.74,0.25,1211.99,RECOVERED
T0031812,C00691,2026-01-01 07:58:16,3338.79,CARD,FAILED,PAYMENT_TIMEOUT,0,39.0,4.0,0.9069767441860463,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,67.21,10.0,0.623,RETRY_NOW,0.5024,1677.37,1.5,1675.87,strong historical payment reliability; low recent failure rate,HIGH,692,0.6371227906976743,0,0.0,0.25,0.0,NOT_RECOVERED
T0036285,C00789,2026-01-01 08:53:06,1157.05,UPI,FAILED,INSUFFICIENT_FUNDS,0,34.0,3.0,0.918918918918919,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,67.57,10.0,0.6265,DELAYED_RETRY,0.4755,550.19,1.0,549.19,strong historical payment reliability; low recent failure rate,MEDIUM,2068,0.6065987837837837,0,0.0,0.15,0.0,NOT_RECOVERED
T0034753,C00755,2026-01-01 09:10:09,1681.24,UPI,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,8.057777777777778,1,NONE,1.0,1.0,0.0,596.69,0.0,2.817610484506192,1.0,1,8.057777777777778,-1.0,1.0,80.48,12.21,0.7338,RETRY_NOW,0.5283,888.26,1.5,886.76,strong historical payment reliability; low recent failure rate; previous payment succeeded,MEDIUM,1468,0.6078205,0,0.0,0.25,0.0,NOT_RECOVERED
T0042629,C00933,2026-01-01 10:06:10,846.7,UPI,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,5.766944444444444,1,NONE,1.0,1.0,0.0,2095.6,0.0,0.4040370299675511,1.0,1,5.766944444444444,-1.0,1.0,80.48,12.21,0.7338,RETRY_NOW,0.5283,447.34,1.5,445.84,strong historical payment reliability; low recent failure rate; previous payment succeeded,MEDIUM,2264,0.6078205,1,846.7,0.25,844.95,RECOVERED
T0013225,C00290,2026-01-01 10:18:15,350.49,UPI,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,9.296666666666669,1,NONE,1.0,1.0,0.0,1874.33,0.0,0.1869948194821616,1.0,1,9.296666666666669,-1.0,1.0,80.48,12.21,0.7338,RETRY_NOW,0.5917,207.4,1.5,205.9,strong historical payment reliability; low recent failure rate; previous payment succeeded,LOW,2759,0.7467509,1,350.49,0.25,348.74,RECOVERED
T0021204,C00467,2026-01-01 10:45:55,654.69,UPI,FAILED,NETWORK_ERROR,2,2.0,0.0,1.0,8.55638888888889,1,NONE,2.0,2.0,0.0,1794.55,0.0,0.3648212643838288,1.0,1,8.55638888888889,-1.0,1.0,80.96,14.43,0.7377,RETRY_NOW,0.5949,389.46,1.5,387.96,strong historical payment reliability; low recent failure rate; previous payment succeeded,MEDIUM,2382,0.7496147,1,654.69,0.25,652.94,RECOVERED
T0014697,C00324,2026-01-01 10:58:08,1153.46,UPI,FAILED,BANK_DECLINE,0,39.0,5.0,0.8863636363636364,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,66.59,10.0,0.617,RETRY_NOW,0.4442,512.41,1.5,510.91,low recent failure rate,MEDIUM,2127,0.4942295454545454,1,1153.46,0.25,1151.71,RECOVERED
T0039472,C00859,2026-01-01 11:09:39,8548.55,CARD,FAILED,PAYMENT_TIMEOUT,0,35.0,2.0,0.945945945945946,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,68.38,10.0,0.6343,RETRY_NOW,0.5115,4372.58,1.5,4371.08,strong historical payment reliability; low recent failure rate,HIGH,93,0.6283172972972972,1,8548.55,0.25,8546.8,RECOVERED
T0031997,C00695,2026-01-01 11:19:01,1487.07,UPI,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,2.913611111111111,1,NONE,1.0,1.0,0.0,1727.22,0.0,0.8609615451419043,1.0,1,2.913611111111111,-1.0,1.0,80.48,12.21,0.7338,RETRY_NOW,0.5283,785.67,1.5,784.17,strong historical payment reliability; low recent failure rate; previous payment succeeded,MEDIUM,1622,0.6078205,1,1487.07,0.25,1485.32,RECOVERED
T0041078,C00895,2026-01-01 11:29:24,2786.52,WALLET,FAILED,BANK_DECLINE,0,65.0,6.0,0.9154929577464788,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,67.46,10.0,0.6255,RETRY_NOW,0.4504,1254.94,1.5,1253.44,strong historical payment reliability; low recent failure rate,HIGH,1027,0.5005791549295774,1,2786.52,0.25,2784.77,RECOVERED
T0011171,C00243,2026-01-01 11:41:42,2357.44,UPI,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,2.8233333333333333,1,NONE,1.0,1.0,0.0,1053.24,0.0,2.238274277467624,1.0,1,2.8233333333333333,-1.0,1.0,80.48,12.21,0.7338,RETRY_NOW,0.5917,1394.98,1.5,1393.48,strong historical payment reliability; low recent failure rate; previous payment succeeded,HIGH,912,0.7467509,1,2357.44,0.25,2355.69,RECOVERED
T0017446,C00383,2026-01-01 11:48:08,1558.15,CARD,FAILED,INSUFFICIENT_FUNDS,0,26.0,1.0,0.9629629629629628,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,68.89,10.0,0.6393,DELAYED_RETRY,0.4852,756.06,1.0,755.06,strong historical payment reliability; low recent failure rate,MEDIUM,1686,0.6153994444444444,1,1558.15,0.15,1557.0,RECOVERED
T0035909,C00780,2026-01-01 11:55:43,961.12,UPI,FAILED,BANK_DECLINE,2,2.0,0.0,1.0,3.5327777777777776,1,NONE,2.0,2.0,0.0,4102.085,0.0,0.2343003618891368,1.0,1,3.5327777777777776,-1.0,1.0,80.96,14.43,0.7377,RETRY_NOW,0.5311,510.49,1.5,508.99,strong historical payment reliability; low recent failure rate; previous payment succeeded,MEDIUM,2133,0.6101515000000001,0,0.0,0.25,0.0,NOT_RECOVERED
T0014041,C00307,2026-01-01 11:58:52,3019.33,CARD,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,8.159444444444444,1,NONE,1.0,1.0,0.0,4506.43,0.0,0.6700048597226629,1.0,1,8.159444444444444,-1.0,1.0,80.48,12.21,0.7338,RETRY_NOW,0.5283,1595.22,1.5,1593.72,strong historical payment reliability; low recent failure rate; previous payment succeeded,HIGH,745,0.6078205,0,0.0,0.25,0.0,NOT_RECOVERED
T0009881,C00216,2026-01-01 11:59:07,1232.35,CARD,FAILED,BANK_DECLINE,0,47.0,4.0,0.9215686274509804,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,67.65,10.0,0.6273,RETRY_NOW,0.4517,556.6,1.5,555.1,strong historical payment reliability; low recent failure rate,MEDIUM,2053,0.5019035294117647,1,1232.35,0.25,1230.6,RECOVERED
T0005761,C00127,2026-01-01 12:13:55,513.39,UPI,FAILED,INSUFFICIENT_FUNDS,0,51.0,5.0,0.9107142857142856,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,67.32,10.0,0.6241,DELAYED_RETRY,0.4737,243.19,1.0,242.19,strong historical payment reliability; low recent failure rate,LOW,2690,0.604959375,0,0.0,0.15,0.0,NOT_RECOVERED
T0013221,C00290,2026-01-01 12:24:15,678.34,UPI,FAILED,NETWORK_ERROR,2,1.0,1.0,0.5,2.1,0,NETWORK_ERROR,2.0,1.0,1.0,1112.41,0.5,0.6097931518055394,1.0,2,11.396666666666668,2.1,1.0,30.96,24.43,0.2527,RETRY_NOW,0.2038,138.23,1.5,136.73,weak historical payment reliability; elevated recent failure rate; repeated consecutive failures,LOW,2852,0.46083373874999994,0,0.0,0.25,0.0,NOT_RECOVERED
T0031876,C00692,2026-01-01 12:39:54,3557.67,NETBANKING,FAILED,LIMIT_EXCEEDED,1,0.0,1.0,0.0,6.859722222222223,0,INSUFFICIENT_FUNDS,1.0,0.0,1.0,1944.17,1.0,1.8299171368758904,1.0,2,-1.0,6.859722222222223,1.0,5.48,12.21,0.0238,RETRY_NOW,0.0171,60.96,1.5,59.46,weak historical payment reliability; elevated recent failure rate; repeated consecutive failures,LOW,2895,0.13111556499999996,0,0.0,0.25,0.0,NOT_RECOVERED
T0038548,C00839,2026-01-01 12:55:44,7961.22,UPI,FAILED,INSUFFICIENT_FUNDS,0,31.0,1.0,0.96875,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,69.06,10.0,0.6409,DELAYED_RETRY,0.4864,3872.68,1.0,3871.68,strong historical payment reliability; low recent failure rate,HIGH,126,0.5992557812499999,1,7961.22,0.15,7960.07,RECOVERED
T0003833,C00085,2026-01-01 13:20:33,2419.46,WALLET,FAILED,LIMIT_EXCEEDED,0,63.0,2.0,0.9692307692307692,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,69.08,10.0,0.6411,RETRY_NOW,0.4616,1116.8,1.5,1115.3,strong historical payment reliability; low recent failure rate,HIGH,1175,0.47769292307692307,0,0.0,0.25,0.0,NOT_RECOVERED
T0015852,C00348,2026-01-01 13:27:23,1400.01,NETBANKING,FAILED,BANK_DECLINE,0,65.0,11.0,0.8552631578947368,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,65.66,10.0,0.608,RETRY_NOW,0.4378,612.87,1.5,611.37,low recent failure rate,MEDIUM,1951,0.4874502631578947,1,1400.01,0.25,1398.26,RECOVERED
T0028024,C00614,2026-01-01 13:28:27,2527.09,WALLET,FAILED,INSUFFICIENT_FUNDS,2,2.0,0.0,1.0,2.511388888888889,1,NONE,2.0,2.0,0.0,848.2950000000001,0.0,2.9790226277415286,1.0,1,2.511388888888889,-1.0,1.0,80.96,14.43,0.7377,DELAYED_RETRY,0.5599,1414.95,1.0,1413.95,strong historical payment reliability; low recent failure rate; previous payment succeeded,HIGH,891,0.7147488999999999,1,2527.09,0.15,2525.94,RECOVERED
T0006966,C00153,2026-01-01 13:56:55,1425.71,UPI,FAILED,INSUFFICIENT_FUNDS,1,1.0,0.0,1.0,11.215,1,NONE,1.0,1.0,0.0,2860.33,0.0,0.4984424874052994,1.0,1,11.215,-1.0,1.0,80.48,12.21,0.7338,DELAYED_RETRY,0.557,794.06,1.0,793.06,strong historical payment reliability; low recent failure rate; previous payment succeeded,MEDIUM,1606,0.7120182999999999,1,1425.71,0.15,1424.56,RECOVERED
T0004058,C00089,2026-01-01 14:03:22,956.35,UPI,FAILED,INSUFFICIENT_FUNDS,1,0.0,1.0,0.0,7.855277777777777,0,BANK_DECLINE,1.0,0.0,1.0,3258.67,1.0,0.2934786277837277,1.0,2,-1.0,7.855277777777777,1.0,5.48,12.21,0.0238,NO_ACTION,0.0,0.0,0.0,0.0,weak historical payment reliability; elevated recent failure rate; repeated consecutive failures,NONE,2898,0.0,0,0.0,0.0,0.0,ABSTAINED
T0032652,C00710,2026-01-01 14:27:11,932.84,UPI,FAILED,INSUFFICIENT_FUNDS,0,41.0,5.0,0.8913043478260869,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,66.74,10.0,0.6185,DELAYED_RETRY,0.4694,437.91,1.0,436.91,low recent failure rate,MEDIUM,2281,0.6010809782608695,0,0.0,0.15,0.0,NOT_RECOVERED
T0036030,C00783,2026-01-01 14:41:48,1101.5,NETBANKING,FAILED,NETWORK_ERROR,0,30.0,1.0,0.967741935483871,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0,69.03,10.0,0.6406,RETRY_NOW,0.5166,569.01,1.5,567.51,strong historical payment reliability; low recent failure rate,MEDIUM,2026,0.6503683870967741,0,0.0,0.25,0.0,NOT_RECOVERED
T0045139,C00984,2026-01-01 14:51:37,1799.97,NETBANKING,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,0.6327777777777778,1,NONE,1.0,1.0,0.0,768.32,0.0,2.342734798000833,1.0,1,0.6327777777777778,-1.0,1.0,80.48,12.21,0.7338,RETRY_NOW,0.5917,1065.11,1.5,1063.61,strong historical payment reliability; low recent failure rate; previous payment succeeded,HIGH,1235,0.7467509,0,0.0,0.25,0.0,NOT_RECOVERED
T0030903,C00672,2026-01-01 14:54:37,563.24,UPI,FAILED,NETWORK_ERROR,3,3.0,0.0,1.0,5.313611111111111,1,NONE,3.0,3.0,0.0,1216.14,0.0,0.4631374677257552,1.0,1,5.313611111111111,-1.0,1.0,81.45,16.64,0.7416,RETRY_NOW,0.598,336.83,1.5,335.33,strong historical payment reliability; low recent failure rate; previous payment succeeded,MEDIUM,2512,0.7524656,1,563.24,0.25,561.49,RECOVERED
T0023039,C00506,2026-01-01 14:54:38,4325.99,UPI,FAILED,LIMIT_EXCEEDED,2,2.0,0.0,1.0,5.981944444444444,1,NONE,2.0,2.0,0.0,3276.16,0.0,1.3204452773979294,1.0,1,5.981944444444444,-1.0,1.0,80.96,14.43,0.7377,RETRY_NOW,0.5311,2297.72,1.5,2296.22,strong historical payment reliability; low recent failure rate; previous payment succeeded,HIGH,399,0.5752857,1,4325.99,0.25,4324.24,RECOVERED
T0004593,C00101,2026-01-01 15:44:40,550.79,UPI,FAILED,NETWORK_ERROR,1,0.0,1.0,0.0,10.529166666666669,0,NETWORK_ERROR,1.0,0.0,1.0,1193.17,1.0,0.4616190484172414,1.0,2,-1.0,10.529166666666669,1.0,5.48,12.21,0.0238,NO_ACTION,0.0,0.0,0.0,0.0,weak historical payment reliability; elevated recent failure rate; repeated consecutive failures,NONE,2899,0.0,0,0.0,0.0,0.0,ABSTAINED
