policy,intervention_rate,policy_value_per_transaction,advantage_vs_retry_per_transaction,seed,selected_policy
ECONOMIC_GE_50,0.537,1535.2163333333333,-160.42736000000014,201,TOP_90
ECONOMIC_GE_100,0.441,1535.1779466666667,-160.46574666666675,201,TOP_90
ECONOMIC_GE_150,0.3526666666666667,1524.0223,-171.62139333333334,201,TOP_90
ECONOMIC_GE_250,0.21966666666666668,1505.5593866666668,-190.08430666666663,201,TOP_90
ECONOMIC_GE_500,0.10366666666666667,1520.9318599999997,-174.71183333333374,201,TOP_90
NO_INTERVENTION,0.0,1527.8569933333335,-79.01311999999984,202,TOP_100
RETRY_ALL,1.0,1606.8701133333334,0.0,202,TOP_100
TOP_5,0.05,1516.0014466666667,-90.86866666666674,202,TOP_100
TOP_10,0.1,1518.4588466666667,-88.41126666666673,202,TOP_100
TOP_15,0.15,1550.3628666666666,-56.50724666666679,202,TOP_100
TOP_20,0.2,1579.0672133333333,-27.802900000000136,202,TOP_100
TOP_25,0.25,1596.3656533333333,-10.504460000000108,202,TOP_100
TOP_30,0.3,1592.1157133333336,-14.754399999999805,202,TOP_100
TOP_40,0.4,1611.6349399999997,4.764826666666295,202,TOP_100
TOP_50,0.5,1626.856,19.9858866666666,202,TOP_100
TOP_60,0.6,1610.3560533333334,3.485940000000028,202,TOP_100
TOP_70,0.7,1606.9013266666668,0.031213333333425908,202,TOP_100
TOP_80,0.8,1603.6035266666668,-3.266586666666626,202,TOP_100
TOP_90,0.9,1626.9232200000001,20.053106666666736,202,TOP_100
TOP_100,1.0,1606.8701133333334,0.0,202,TOP_100
ECONOMIC_GE_0,0.665,1612.7808400000001,5.910726666666733,202,TOP_100
ECONOMIC_GE_25,0.6063333333333333,1612.2885999999999,5.4184866666664675,202,TOP_100
ECONOMIC_GE_50,0.531,1617.7638066666666,10.893693333333204,202,TOP_100
ECONOMIC_GE_100,0.41533333333333333,1624.9296133333332,18.059499999999844,202,TOP_100
ECONOMIC_GE_150,0.3293333333333333,1593.0340666666668,-13.836046666666562,202,TOP_100
ECONOMIC_GE_250,0.20833333333333334,1583.0062933333334,-23.863820000000032,202,TOP_100
ECONOMIC_GE_500,0.08266666666666667,1500.6037666666666,-106.26634666666678,202,TOP_100
NO_INTERVENTION,0.0,1600.8474133333334,78.23324000000025,203,TOP_100
RETRY_ALL,1.0,1522.6141733333332,0.0,203,TOP_100
TOP_5,0.05,1508.4170733333335,-14.197099999999637,203,TOP_100
TOP_10,0.1,1555.0346599999998,32.42048666666665,203,TOP_100
TOP_15,0.15,1568.05716,45.44298666666691,203,TOP_100
TOP_20,0.2,1591.491093333333,68.87691999999993,203,TOP_100
TOP_25,0.25,1584.0364933333335,61.422320000000354,203,TOP_100
TOP_30,0.3,1586.9446733333332,64.33050000000003,203,TOP_100
TOP_40,0.4,1588.86958,66.25540666666689,203,TOP_100
TOP_50,0.5,1600.0466666666666,77.43249333333347,203,TOP_100
TOP_60,0.6,1601.2075733333334,78.5934000000002,203,TOP_100
TOP_70,0.7,1595.7595466666667,73.14537333333351,203,TOP_100
TOP_80,0.8,1576.882646666667,54.26847333333376,203,TOP_100
TOP_90,0.9,1566.8520866666665,44.23791333333338,203,TOP_100
TOP_100,1.0,1522.6141733333332,0.0,203,TOP_100
ECONOMIC_GE_0,0.6556666666666666,1608.8848533333335,86.27068000000031,203,TOP_100
ECONOMIC_GE_25,0.601,1601.2049066666666,78.59073333333345,203,TOP_100
ECONOMIC_GE_50,0.54,1600.6431066666667,78.0289333333335,203,TOP_100
ECONOMIC_GE_100,0.4746666666666667,1616.2474799999998,93.63330666666661,203,TOP_100
ECONOMIC_GE_150,0.38333333333333336,1594.96946,72.35528666666687,203,TOP_100
ECONOMIC_GE_250,0.243,1583.2770066666665,60.66283333333331,203,TOP_100
ECONOMIC_GE_500,0.102,1557.9720599999998,35.35788666666667,203,TOP_100
NO_INTERVENTION,0.0,1468.0883666666668,-84.86509999999998,204,TOP_90
RETRY_ALL,1.0,1552.9534666666668,0.0,204,TOP_90
TOP_5,0.05,1489.3655733333333,-63.58789333333357,204,TOP_90
TOP_10,0.1,1484.5225200000002,-68.43094666666661,204,TOP_90
TOP_15,0.15,1523.4674333333335,-29.486033333333353,204,TOP_90
TOP_20,0.2,1521.0821066666667,-31.871360000000095,204,TOP_90
TOP_25,0.25,1494.3011199999999,-58.65234666666697,204,TOP_90
TOP_30,0.3,1498.6453066666666,-54.30816000000027,204,TOP_90
TOP_40,0.4,1495.21586,-57.73760666666681,204,TOP_90
TOP_50,0.5,1488.28376,-64.6697066666668,204,TOP_90
TOP_60,0.6,1503.18146,-49.77200666666681,204,TOP_90
TOP_70,0.7,1503.2428533333334,-49.71061333333341,204,TOP_90
TOP_80,0.8,1494.5838399999998,-58.369626666667045,204,TOP_90
TOP_90,0.9,1493.4787133333336,-59.47475333333318,204,TOP_90
TOP_100,1.0,1552.9534666666668,0.0,204,TOP_90
ECONOMIC_GE_0,0.657,1503.7890599999998,-49.16440666666699,204,TOP_90
ECONOMIC_GE_25,0.592,1501.7503933333332,-51.20307333333358,204,TOP_90
ECONOMIC_GE_50,0.5526666666666666,1496.2344333333335,-56.7190333333333,204,TOP_90
ECONOMIC_GE_100,0.44566666666666666,1496.7015266666667,-56.251940000000104,204,TOP_90
ECONOMIC_GE_150,0.33466666666666667,1509.3618666666666,-43.5916000000002,204,TOP_90
ECONOMIC_GE_250,0.22066666666666668,1498.2899266666664,-54.66354000000047,204,TOP_90
ECONOMIC_GE_500,0.11233333333333333,1486.8807066666668,-66.07276000000002,204,TOP_90
NO_INTERVENTION,0.0,1400.46852,-282.14423999999985,205,TOP_80
RETRY_ALL,1.0,1682.6127599999998,0.0,205,TOP_80
TOP_5,0.05,1432.57074,-250.04201999999987,205,TOP_80
TOP_10,0.1,1470.6505866666666,-211.9621733333331,205,TOP_80
TOP_15,0.15,1520.9334266666665,-161.67933333333326,205,TOP_80
TOP_20,0.2,1529.756486666667,-152.85627333333287,205,TOP_80
TOP_25,0.25,1500.0332133333332,-182.5795466666666,205,TOP_80
TOP_30,0.3,1515.5783733333333,-167.03438666666648,205,TOP_80
TOP_40,0.4,1523.2148333333334,-159.3979266666663,205,TOP_80
TOP_50,0.5,1526.6421933333334,-155.9705666666664,205,TOP_80
TOP_60,0.6,1518.57632,-164.03643999999986,205,TOP_80
TOP_70,0.7,1508.2106933333334,-174.40206666666631,205,TOP_80
TOP_80,0.8,1523.3726466666665,-159.24011333333328,205,TOP_80
TOP_90,0.9,1524.0068866666668,-158.60587333333297,205,TOP_80
TOP_100,1.0,1682.6127599999998,0.0,205,TOP_80
ECONOMIC_GE_0,0.6296666666666667,1523.9089666666664,-158.70379333333335,205,TOP_80
ECONOMIC_GE_25,0.581,1513.6529533333332,-168.9598066666665,205,TOP_80
ECONOMIC_GE_50,0.53,1526.4780466666666,-156.13471333333314,205,TOP_80
ECONOMIC_GE_100,0.41433333333333333,1520.66942,-161.9433399999998,205,TOP_80
ECONOMIC_GE_150,0.3303333333333333,1513.2756666666667,-169.3370933333331,205,TOP_80
ECONOMIC_GE_250,0.21533333333333332,1516.17914,-166.4336199999998,205,TOP_80
ECONOMIC_GE_500,0.09266666666666666,1453.1056999999998,-229.5070599999999,205,TOP_80
NO_INTERVENTION,0.0,1498.4883399999999,-74.56537333333335,206,TOP_100
RETRY_ALL,1.0,1573.0537133333332,0.0,206,TOP_100
TOP_5,0.05,1527.1487533333332,-45.904960000000074,206,TOP_100
TOP_10,0.1,1580.6965399999997,7.642826666666451,206,TOP_100
TOP_15,0.15,1614.5430066666665,41.48929333333331,206,TOP_100
TOP_20,0.2,1594.0104199999998,20.956706666666605,206,TOP_100
TOP_25,0.25,1621.2908000000002,48.23708666666698,206,TOP_100
TOP_30,0.3,1616.9916933333334,43.93798000000015,206,TOP_100
TOP_40,0.4,1600.4892933333333,27.435580000000073,206,TOP_100
TOP_50,0.5,1586.94886,13.895146666666733,206,TOP_100
TOP_60,0.6,1595.3116199999997,22.257906666666486,206,TOP_100
TOP_70,0.7,1623.9360600000002,50.88234666666699,206,TOP_100
TOP_80,0.8,1634.141673333333,61.08795999999984,206,TOP_100
TOP_90,0.9,1586.3234533333334,13.269740000000183,206,TOP_100
TOP_100,1.0,1573.0537133333332,0.0,206,TOP_100
ECONOMIC_GE_0,0.6576666666666666,1605.8749266666669,32.82121333333362,206,TOP_100
ECONOMIC_GE_25,0.586,1596.1803266666666,23.126613333333353,206,TOP_100
ECONOMIC_GE_50,0.5246666666666666,1593.4343999999996,20.380686666666406,206,TOP_100
ECONOMIC_GE_100,0.43866666666666665,1591.98438,18.930666666666866,206,TOP_100
ECONOMIC_GE_150,0.35433333333333333,1607.4031933333333,34.349480000000085,206,TOP_100
ECONOMIC_GE_250,0.23933333333333334,1614.6259733333336,41.57226000000037,206,TOP_100
ECONOMIC_GE_500,0.11,1612.5037,39.449986666666746,206,TOP_100
NO_INTERVENTION,0.0,1473.85854,-144.0069000000001,207,TOP_100
RETRY_ALL,1.0,1617.86544,0.0,207,TOP_100
TOP_5,0.05,1552.9206866666668,-64.94475333333321,207,TOP_100
TOP_10,0.1,1532.6019600000002,-85.26347999999984,207,TOP_100
TOP_15,0.15,1543.8919733333332,-73.97346666666681,207,TOP_100
TOP_20,0.2,1545.7818399999999,-72.08360000000016,207,TOP_100
TOP_25,0.25,1555.51068,-62.35475999999994,207,TOP_100
TOP_30,0.3,1573.6619866666667,-44.2034533333333,207,TOP_100
TOP_40,0.4,1565.3197599999999,-52.545680000000175,207,TOP_100
TOP_50,0.5,1548.6468733333334,-69.21856666666667,207,TOP_100
TOP_60,0.6,1557.4685266666668,-60.39691333333326,207,TOP_100
TOP_70,0.7,1559.6982599999997,-58.16718000000037,207,TOP_100
TOP_80,0.8,1611.3219466666667,-6.543493333333345,207,TOP_100
TOP_90,0.9,1647.14982,29.284380000000056,207,TOP_100
TOP_100,1.0,1617.86544,0.0,207,TOP_100
ECONOMIC_GE_0,0.6303333333333333,1566.3825333333334,-51.48290666666662,207,TOP_100
ECONOMIC_GE_25,0.5766666666666667,1548.4604066666668,-69.40503333333322,207,TOP_100
ECONOMIC_GE_50,0.5163333333333333,1551.5780733333334,-66.28736666666668,207,TOP_100
ECONOMIC_GE_100,0.406,1566.3765066666665,-51.488933333333534,207,TOP_100
ECONOMIC_GE_150,0.30966666666666665,1572.3746999999998,-45.49074000000019,207,TOP_100
ECONOMIC_GE_250,0.18866666666666668,1543.2041733333335,-74.6612666666665,207,TOP_100
ECONOMIC_GE_500,0.10166666666666667,1533.7308799999998,-84.13456000000019,207,TOP_100
NO_INTERVENTION,0.0,1429.6021133333334,-167.11071333333348,208,TOP_90
RETRY_ALL,1.0,1596.7128266666668,0.0,208,TOP_90
TOP_5,0.05,1419.8824066666668,-176.83042,208,TOP_90
TOP_10,0.1,1432.5070866666665,-164.20574000000033,208,TOP_90
TOP_15,0.15,1452.9747466666665,-143.7380800000003,208,TOP_90
TOP_20,0.2,1465.9606133333332,-130.75221333333366,208,TOP_90
TOP_25,0.25,1460.5485866666666,-136.1642400000003,208,TOP_90
TOP_30,0.3,1470.0745333333332,-126.63829333333365,208,TOP_90
TOP_40,0.4,1496.9402466666668,-99.77258000000006,208,TOP_90
TOP_50,0.5,1522.4194066666666,-74.2934200000002,208,TOP_90
TOP_60,0.6,1523.85964,-72.85318666666694,208,TOP_90
TOP_70,0.7,1530.4477733333335,-66.2650533333333,208,TOP_90
TOP_80,0.8,1539.3324400000001,-57.38038666666671,208,TOP_90
TOP_90,0.9,1540.1847733333334,-56.528053333333446,208,TOP_90
TOP_100,1.0,1596.7128266666668,0.0,208,TOP_90
ECONOMIC_GE_0,0.6026666666666667,1523.8543066666666,-72.85852000000023,208,TOP_90
ECONOMIC_GE_25,0.5426666666666666,1516.0281533333334,-80.68467333333342,208,TOP_90
ECONOMIC_GE_50,0.493,1518.6067866666665,-78.10604000000035,208,TOP_90
ECONOMIC_GE_100,0.3983333333333333,1493.3745666666666,-103.33826000000022,208,TOP_90
ECONOMIC_GE_150,0.313,1473.0185999999999,-123.69422666666696,208,TOP_90
ECONOMIC_GE_250,0.18333333333333332,1457.73914,-138.97368666666694,208,TOP_90
ECONOMIC_GE_500,0.066,1439.0475133333334,-157.66531333333342,208,TOP_90
NO_INTERVENTION,0.0,1490.11822,-66.1384333333333,209,TOP_100
RETRY_ALL,1.0,1556.2566533333334,0.0,209,TOP_100
TOP_5,0.05,1478.0578800000003,-78.19877333333307,209,TOP_100
TOP_10,0.1,1486.1877266666665,-70.06892666666681,209,TOP_100
TOP_15,0.15,1500.0582933333333,-56.19836000000009,209,TOP_100
TOP_20,0.2,1506.5586333333335,-49.698019999999815,209,TOP_100
TOP_25,0.25,1514.05848,-42.19817333333344,209,TOP_100
TOP_30,0.3,1514.8402533333333,-41.41640000000007,209,TOP_100
TOP_40,0.4,1531.9851933333334,-24.271459999999934,209,TOP_100
TOP_50,0.5,1543.2274066666669,-13.029246666666495,209,TOP_100
TOP_60,0.6,1535.0373800000002,-21.21927333333315,209,TOP_100
TOP_70,0.7,1539.4169733333333,-16.839680000000044,209,TOP_100
TOP_80,0.8,1535.3496000000002,-20.907053333333124,209,TOP_100
TOP_90,0.9,1509.5854066666668,-46.67124666666655,209,TOP_100
TOP_100,1.0,1556.2566533333334,0.0,209,TOP_100
ECONOMIC_GE_0,0.6453333333333333,1543.041686666667,-13.214966666666442,209,TOP_100
ECONOMIC_GE_25,0.585,1533.5643333333333,-22.69232000000011,209,TOP_100
ECONOMIC_GE_50,0.5173333333333333,1544.2536599999999,-12.002993333333507,209,TOP_100
ECONOMIC_GE_100,0.434,1544.7632066666667,-11.493446666666614,209,TOP_100
ECONOMIC_GE_150,0.3313333333333333,1510.5558533333335,-45.700799999999845,209,TOP_100
ECONOMIC_GE_250,0.20633333333333334,1503.129406666667,-53.12724666666645,209,TOP_100
ECONOMIC_GE_500,0.09366666666666666,1486.4598866666663,-69.79676666666705,209,TOP_100
NO_INTERVENTION,0.0,1494.8438333333334,-132.93484666666677,210,TOP_100
RETRY_ALL,1.0,1627.7786800000001,0.0,210,TOP_100
TOP_5,0.05,1463.1086000000003,-164.67007999999987,210,TOP_100
TOP_10,0.1,1480.3844399999998,-147.3942400000003,210,TOP_100
TOP_15,0.15,1508.6283799999999,-119.15030000000024,210,TOP_100
TOP_20,0.2,1519.6623866666666,-108.11629333333349,210,TOP_100
TOP_25,0.25,1520.4727333333335,-107.30594666666661,210,TOP_100
TOP_30,0.3,1556.2197400000002,-71.5589399999999,210,TOP_100
TOP_40,0.4,1564.54688,-63.23180000000002,210,TOP_100
TOP_50,0.5,1568.77232,-59.006360000000086,210,TOP_100
TOP_60,0.6,1573.3039933333334,-54.474686666666685,210,TOP_100
TOP_70,0.7,1548.3498866666666,-79.42879333333349,210,TOP_100
TOP_80,0.8,1565.1128266666667,-62.665853333333416,210,TOP_100
TOP_90,0.9,1573.2962066666666,-54.48247333333347,210,TOP_100
TOP_100,1.0,1627.7786800000001,0.0,210,TOP_100
ECONOMIC_GE_0,0.6296666666666667,1583.2905733333332,-44.48810666666691,210,TOP_100
ECONOMIC_GE_25,0.5786666666666667,1575.3588399999999,-52.41984000000025,210,TOP_100
ECONOMIC_GE_50,0.527,1566.198953333333,-61.57972666666706,210,TOP_100
ECONOMIC_GE_100,0.42033333333333334,1564.3638533333335,-63.41482666666661,210,TOP_100
ECONOMIC_GE_150,0.32033333333333336,1564.4065133333334,-63.37216666666677,210,TOP_100
ECONOMIC_GE_250,0.20633333333333334,1520.8228533333336,-106.95582666666655,210,TOP_100
ECONOMIC_GE_500,0.10366666666666667,1479.259633333333,-148.519046666667,210,TOP_100
NO_INTERVENTION,0.0,1468.8155933333335,-136.26308666666614,211,TOP_100
RETRY_ALL,1.0,1605.0786799999996,0.0,211,TOP_100
TOP_5,0.05,1497.8118066666666,-107.26687333333302,211,TOP_100
TOP_10,0.1,1516.3123933333331,-88.76628666666647,211,TOP_100
TOP_15,0.15,1532.7501066666669,-72.32857333333277,211,TOP_100
TOP_20,0.2,1543.18824,-61.89043999999967,211,TOP_100
TOP_25,0.25,1542.75554,-62.32313999999951,211,TOP_100
TOP_30,0.3,1532.1663266666665,-72.91235333333316,211,TOP_100
TOP_40,0.4,1559.2802666666666,-45.798413333332974,211,TOP_100
TOP_50,0.5,1577.3038533333336,-27.77482666666606,211,TOP_100
TOP_60,0.6,1540.0749533333335,-65.00372666666613,211,TOP_100
TOP_70,0.7,1539.2566933333333,-65.82198666666636,211,TOP_100
TOP_80,0.8,1555.5814799999998,-49.49719999999979,211,TOP_100
TOP_90,0.9,1550.2454533333332,-54.833226666666405,211,TOP_100
TOP_100,1.0,1605.0786799999996,0.0,211,TOP_100
ECONOMIC_GE_0,0.6596666666666666,1534.5229066666666,-70.55577333333304,211,TOP_100
ECONOMIC_GE_25,0.5916666666666667,1557.8605666666667,-47.218113333332894,211,TOP_100
ECONOMIC_GE_50,0.525,1570.2869933333332,-34.791686666666465,211,TOP_100
ECONOMIC_GE_100,0.4066666666666667,1558.9511133333333,-46.127566666666326,211,TOP_100
ECONOMIC_GE_150,0.326,1534.6933333333334,-70.38534666666624,211,TOP_100
ECONOMIC_GE_250,0.19733333333333333,1538.59188,-66.48679999999968,211,TOP_100
ECONOMIC_GE_500,0.09666666666666666,1511.98734,-93.09133999999972,211,TOP_100
NO_INTERVENTION,0.0,1510.70594,-163.37712666666675,212,TOP_100
RETRY_ALL,1.0,1674.0830666666668,0.0,212,TOP_100
TOP_5,0.05,1514.7240133333332,-159.35905333333358,212,TOP_100
TOP_10,0.1,1511.6576133333333,-162.4254533333335,212,TOP_100
TOP_15,0.15,1508.17308,-165.90998666666678,212,TOP_100
TOP_20,0.2,1531.6380533333333,-142.44501333333346,212,TOP_100
TOP_25,0.25,1540.7304866666666,-133.35258000000022,212,TOP_100
TOP_30,0.3,1558.3623933333336,-115.72067333333325,212,TOP_100
TOP_40,0.4,1589.09856,-84.9845066666669,212,TOP_100
TOP_50,0.5,1575.3047000000001,-98.77836666666667,212,TOP_100
TOP_60,0.6,1601.97244,-72.1106266666668,212,TOP_100
TOP_70,0.7,1595.4783266666668,-78.60473999999999,212,TOP_100
TOP_80,0.8,1594.6466000000003,-79.43646666666655,212,TOP_100
TOP_90,0.9,1632.583593333333,-41.49947333333375,212,TOP_100
TOP_100,1.0,1674.0830666666668,0.0,212,TOP_100
ECONOMIC_GE_0,0.6216666666666667,1595.71878,-78.36428666666689,212,TOP_100
ECONOMIC_GE_25,0.557,1581.6208866666668,-92.46217999999999,212,TOP_100
ECONOMIC_GE_50,0.5083333333333333,1576.5955533333333,-97.48751333333348,212,TOP_100
ECONOMIC_GE_100,0.386,1584.2955666666664,-89.78750000000036,212,TOP_100
ECONOMIC_GE_150,0.296,1552.6916600000002,-121.39140666666663,212,TOP_100
ECONOMIC_GE_250,0.189,1515.1119333333336,-158.97113333333323,212,TOP_100
ECONOMIC_GE_500,0.087,1514.4623533333336,-159.62071333333324,212,TOP_100
NO_INTERVENTION,0.0,1440.4697466666667,-147.26929999999993,213,TOP_100
RETRY_ALL,1.0,1587.7390466666666,0.0,213,TOP_100
TOP_5,0.05,1408.1036066666668,-179.6354399999998,213,TOP_100
TOP_10,0.1,1437.3777266666666,-150.36131999999998,213,TOP_100
TOP_15,0.15,1463.667406666667,-124.07163999999966,213,TOP_100
TOP_20,0.2,1495.6033066666666,-92.13573999999994,213,TOP_100
TOP_25,0.25,1518.4743733333335,-69.26467333333312,213,TOP_100
TOP_30,0.3,1524.0413866666668,-63.697659999999814,213,TOP_100
TOP_40,0.4,1521.6575866666667,-66.08145999999988,213,TOP_100
TOP_50,0.5,1537.2688800000003,-50.47016666666627,213,TOP_100
TOP_60,0.6,1553.2860733333337,-34.45297333333292,213,TOP_100
TOP_70,0.7,1560.1127266666665,-27.626320000000078,213,TOP_100
TOP_80,0.8,1552.5107066666665,-35.22834000000012,213,TOP_100
TOP_90,0.9,1556.8731200000002,-30.865926666666383,213,TOP_100
TOP_100,1.0,1587.7390466666666,0.0,213,TOP_100
ECONOMIC_GE_0,0.6486666666666666,1547.7758000000001,-39.963246666666464,213,TOP_100
ECONOMIC_GE_25,0.5853333333333334,1555.07128,-32.667766666666694,213,TOP_100
ECONOMIC_GE_50,0.5196666666666667,1551.6481266666667,-36.09091999999987,213,TOP_100
ECONOMIC_GE_100,0.412,1519.9477000000002,-67.79134666666641,213,TOP_100
ECONOMIC_GE_150,0.32966666666666666,1517.1320333333333,-70.60701333333327,213,TOP_100
ECONOMIC_GE_250,0.191,1483.8433000000002,-103.89574666666635,213,TOP_100
ECONOMIC_GE_500,0.095,1435.3314599999999,-152.4075866666667,213,TOP_100
NO_INTERVENTION,0.0,1488.1742666666667,-223.48974666666663,214,TOP_100
RETRY_ALL,1.0,1711.6640133333333,0.0,214,TOP_100
TOP_5,0.05,1508.3241733333332,-203.3398400000001,214,TOP_100
TOP_10,0.1,1473.08178,-238.5822333333333,214,TOP_100
TOP_15,0.15,1476.647046666667,-235.01696666666635,214,TOP_100
TOP_20,0.2,1495.9847200000002,-215.67929333333313,214,TOP_100
TOP_25,0.25,1522.3737733333335,-189.2902399999998,214,TOP_100
TOP_30,0.3,1530.1281866666668,-181.53582666666648,214,TOP_100
TOP_40,0.4,1527.43558,-184.22843333333321,214,TOP_100
TOP_50,0.5,1539.6200666666666,-172.04394666666667,214,TOP_100
TOP_60,0.6,1531.2857733333335,-180.37823999999978,214,TOP_100
TOP_70,0.7,1529.3407399999999,-182.32327333333342,214,TOP_100
TOP_80,0.8,1550.4604733333333,-161.20353999999998,214,TOP_100
TOP_90,0.9,1648.2551199999998,-63.40889333333348,214,TOP_100
TOP_100,1.0,1711.6640133333333,0.0,214,TOP_100
ECONOMIC_GE_0,0.6486666666666666,1523.4113066666666,-188.25270666666665,214,TOP_100
ECONOMIC_GE_25,0.593,1533.3767133333336,-178.28729999999973,214,TOP_100
ECONOMIC_GE_50,0.5186666666666667,1527.7823,-183.8817133333332,214,TOP_100
ECONOMIC_GE_100,0.427,1532.0437866666664,-179.6202266666669,214,TOP_100
ECONOMIC_GE_150,0.3333333333333333,1530.92714,-180.73687333333328,214,TOP_100
ECONOMIC_GE_250,0.24366666666666667,1521.1143866666666,-190.54962666666665,214,TOP_100
ECONOMIC_GE_500,0.10866666666666666,1473.2939266666665,-238.3700866666668,214,TOP_100
NO_INTERVENTION,0.0,1495.9856333333335,-86.45645999999988,215,TOP_100
RETRY_ALL,1.0,1582.4420933333333,0.0,215,TOP_100
TOP_5,0.05,1488.0940266666667,-94.34806666666668,215,TOP_100
TOP_10,0.1,1477.7731333333334,-104.66895999999997,215,TOP_100
TOP_15,0.15,1479.8076666666666,-102.63442666666674,215,TOP_100
TOP_20,0.2,1516.4804799999997,-65.96161333333362,215,TOP_100
TOP_25,0.25,1524.7967466666666,-57.64534666666668,215,TOP_100
TOP_30,0.3,1525.0752933333335,-57.366799999999785,215,TOP_100
TOP_40,0.4,1526.4210066666665,-56.02108666666686,215,TOP_100
TOP_50,0.5,1549.3115666666665,-33.13052666666681,215,TOP_100
TOP_60,0.6,1549.3855199999998,-33.05657333333352,215,TOP_100
TOP_70,0.7,1541.3604400000002,-41.08165333333318,215,TOP_100
TOP_80,0.8,1543.6761266666667,-38.7659666666666,215,TOP_100
TOP_90,0.9,1567.56992,-14.872173333333421,215,TOP_100
TOP_100,1.0,1582.4420933333333,0.0,215,TOP_100
ECONOMIC_GE_0,0.638,1543.66418,-38.777913333333345,215,TOP_100
ECONOMIC_GE_25,0.5823333333333334,1555.81378,-26.62831333333338,215,TOP_100
ECONOMIC_GE_50,0.523,1551.1976066666668,-31.24448666666649,215,TOP_100
ECONOMIC_GE_100,0.4056666666666667,1521.8075666666666,-60.634526666666716,215,TOP_100
ECONOMIC_GE_150,0.3263333333333333,1525.3740400000002,-57.06805333333318,215,TOP_100
ECONOMIC_GE_250,0.227,1519.2817933333333,-63.16030000000001,215,TOP_100
ECONOMIC_GE_500,0.09533333333333334,1481.1779800000002,-101.26411333333317,215,TOP_100
NO_INTERVENTION,0.0,1505.0444266666664,-130.0765333333336,216,TOP_100
RETRY_ALL,1.0,1635.12096,0.0,216,TOP_100
TOP_5,0.05,1538.2721666666666,-96.84879333333333,216,TOP_100
TOP_10,0.1,1564.7517733333332,-70.36918666666679,216,TOP_100
TOP_15,0.15,1566.165766666667,-68.955193333333,216,TOP_100
TOP_20,0.2,1609.03542,-26.085540000000037,216,TOP_100
TOP_25,0.25,1614.0656066666668,-21.055353333333187,216,TOP_100
TOP_30,0.3,1613.0592666666669,-22.061693333333096,216,TOP_100
TOP_40,0.4,1603.4789133333331,-31.64204666666683,216,TOP_100
