policy,transactions,interventions,intervention_rate,recovered_payments,recovered_value,attempted_value,recovery_rate_value,recovery_rate_count,intervention_cost,friction_cost,net_recovered_value,recovery_per_intervention,net_per_intervention,expected_recovery,expected_net_recovery
PROBABILITY_0.50,581,308,0.5301204819277109,228,464466.11,634218.0,0.35876357328854563,0.7402597402597403,462.0,77.0,463927.11,1508.0068506493506,1506.2568506493506,367644.8952925962,367105.8952925962
PROBABILITY_0.60,581,99,0.1703958691910499,79,175987.81999999998,214323.38,0.13593676222891993,0.797979797979798,148.5,24.75,175814.56999999998,1777.6547474747472,1775.9047474747472,136286.099774987,136112.849774987
PROBABILITY_0.65,581,23,0.039586919104991396,19,63149.680000000015,71270.14000000001,0.048778165642329015,0.8260869565217391,34.5,5.75,63109.430000000015,2745.638260869566,2743.888260869566,47580.41528035655,47540.16528035655
PROBABILITY_0.70,581,1,0.0017211703958691911,1,450.44,450.44,0.00034792950545324504,1.0,1.5,0.25,448.69,450.44,448.69,319.0619161273263,317.3119161273263
PROBABILITY_0.75,581,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROBABILITY_0.80,581,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
POSITIVE_EXPECTED_VALUE,581,581,1.0,388,866564.8099999999,1294630.07,0.6693532230407717,0.6678141135972461,871.5,145.25,865548.0599999999,1491.5056970740102,1489.7556970740102,637431.0783124866,636414.3283124866
BUDGET_₹50.84,581,29,0.04991394148020654,22,199923.72999999998,273674.23,0.15442537187476263,0.7586206896551724,43.5,7.25,199872.97999999998,6893.92172413793,6892.17172413793,130770.33491384723,130719.58491384723
BUDGET_₹101.68,581,58,0.09982788296041308,42,296837.73,414129.7,0.22928382159391675,0.7241379310344828,87.0,14.5,296736.23,5117.891896551724,5116.141896551724,203484.48604977492,203382.98604977492
BUDGET_₹152.51,581,87,0.14974182444061962,63,378190.36,527049.9400000001,0.29212233576499574,0.7241379310344828,130.5,21.75,378038.11,4347.015632183908,4345.265632183908,263383.2232381728,263230.9732381728
BUDGET_₹203.35,581,116,0.19965576592082615,83,448345.13,630205.81,0.3463113829883466,0.7155172413793104,174.0,29.0,448142.13,3865.044224137931,3863.294224137931,314898.52050908137,314695.52050908137
BUDGET_₹254.19,581,145,0.2495697074010327,102,502342.58999999997,717411.99,0.38802017784122683,0.7034482758620689,217.5,36.25,502088.83999999997,3464.4316551724137,3462.6816551724137,359414.40441127843,359160.65441127843
BUDGET_₹305.02,581,174,0.29948364888123924,120,552342.36,797895.8200000001,0.42664107129845974,0.6896551724137931,261.0,43.5,552037.86,3174.3813793103445,3172.6313793103445,398891.1292818441,398586.6292818441
BUDGET_₹406.70,581,232,0.3993115318416523,153,623441.4099999999,930325.8300000001,0.4815595006224441,0.6594827586206896,348.0,58.0,623035.4099999999,2687.2474568965513,2685.4974568965513,462500.8815109499,462094.8815109499
BUDGET_₹508.38,581,290,0.4991394148020654,193,693496.6699999999,1034962.01,0.5356716841900636,0.6655172413793103,435.0,72.5,692989.1699999999,2391.3678275862067,2389.6178275862067,513069.0070165553,512561.5070165553
BUDGET_₹610.05,581,348,0.5989672977624785,239,753260.81,1114126.9300000002,0.581834786210396,0.6867816091954023,522.0,87.0,752651.81,2164.5425574712644,2162.7925574712644,554142.3321426907,553533.3321426907
BUDGET_₹711.72,581,406,0.6987951807228916,276,795423.84,1184273.5799999998,0.6144024138107652,0.6798029556650246,609.0,101.5,794713.34,1959.1720197044335,1957.4220197044335,586314.7498118357,585604.2498118357
BUDGET_₹813.40,581,464,0.7986230636833046,313,827951.19,1234311.9300000002,0.6395272357608687,0.6745689655172413,696.0,116.0,827139.19,1784.3775646551724,1782.6275646551724,610129.2004447283,609317.2004447283
BUDGET_₹915.08,581,522,0.8984509466437177,356,855739.99,1272759.0,0.6609919001804121,0.6819923371647509,783.0,130.5,854826.49,1639.3486398467433,1637.5986398467433,627717.3238265428,626803.8238265428
BUDGET_₹1016.75,581,581,1.0,388,866564.8099999999,1294630.07,0.6693532230407717,0.6678141135972461,871.5,145.25,865548.0599999999,1491.5056970740102,1489.7556970740102,637431.0783124866,636414.3283124866
