transaction_id,customer_id,timestamp,amount,payment_method,status,failure_reason,historical_transaction_count,historical_success_count,historical_failure_count,historical_success_rate,hours_since_previous_transaction,previous_transaction_success,previous_failure_reason,transactions_last_7d,successful_payments_last_7d,failed_payments_last_7d,avg_amount_last_7d,failure_rate_last_7d,amount_vs_recent_average,payment_momentum,failure_streak,hours_since_last_success,hours_since_last_failure,method_share
T0029218,C00637,2026-01-01 06:11:41,953.28,CARD,FAILED,INSUFFICIENT_FUNDS,0,70.0,2.0,0.9722222222222222,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0004047,C00089,2026-01-01 06:12:03,3258.67,UPI,FAILED,BANK_DECLINE,0,50.0,2.0,0.9615384615384616,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0040394,C00880,2026-01-01 06:27:49,1290.47,UPI,FAILED,INSUFFICIENT_FUNDS,0,22.0,1.0,0.9565217391304348,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0008638,C00187,2026-01-01 06:39:15,1813.67,UPI,FAILED,BANK_DECLINE,0,59.0,4.0,0.9365079365079365,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0022194,C00488,2026-01-01 06:46:57,1054.74,UPI,FAILED,INSUFFICIENT_FUNDS,0,59.0,5.0,0.921875,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0019573,C00430,2026-01-01 07:15:29,5727.51,UPI,FAILED,INSUFFICIENT_FUNDS,0,35.0,3.0,0.9210526315789473,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0022991,C00505,2026-01-01 07:32:58,1050.48,UPI,FAILED,NETWORK_ERROR,0,48.0,0.0,1.0,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0044237,C00964,2026-01-01 07:39:55,1213.74,UPI,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,2.4338888888888888,1,NONE,1.0,1.0,0.0,2921.39,0.0,0.41546661007260244,1.0,1,2.4338888888888888,-1.0,1.0
T0031812,C00691,2026-01-01 07:58:16,3338.79,CARD,FAILED,PAYMENT_TIMEOUT,0,39.0,4.0,0.9069767441860465,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0036285,C00789,2026-01-01 08:53:06,1157.05,UPI,FAILED,INSUFFICIENT_FUNDS,0,34.0,3.0,0.918918918918919,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0034753,C00755,2026-01-01 09:10:09,1681.24,UPI,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,8.057777777777778,1,NONE,1.0,1.0,0.0,596.69,0.0,2.8176104845061922,1.0,1,8.057777777777778,-1.0,1.0
T0042629,C00933,2026-01-01 10:06:10,846.7,UPI,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,5.766944444444444,1,NONE,1.0,1.0,0.0,2095.6,0.0,0.4040370299675511,1.0,1,5.766944444444444,-1.0,1.0
T0013225,C00290,2026-01-01 10:18:15,350.49,UPI,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,9.296666666666667,1,NONE,1.0,1.0,0.0,1874.33,0.0,0.18699481948216165,1.0,1,9.296666666666667,-1.0,1.0
T0021204,C00467,2026-01-01 10:45:55,654.69,UPI,FAILED,NETWORK_ERROR,2,2.0,0.0,1.0,8.55638888888889,1,NONE,2.0,2.0,0.0,1794.55,0.0,0.36482126438382884,1.0,1,8.55638888888889,-1.0,1.0
T0014697,C00324,2026-01-01 10:58:08,1153.46,UPI,FAILED,BANK_DECLINE,0,39.0,5.0,0.8863636363636364,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0039472,C00859,2026-01-01 11:09:39,8548.55,CARD,FAILED,PAYMENT_TIMEOUT,0,35.0,2.0,0.9459459459459459,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0031997,C00695,2026-01-01 11:19:01,1487.07,UPI,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,2.913611111111111,1,NONE,1.0,1.0,0.0,1727.22,0.0,0.8609615451419043,1.0,1,2.913611111111111,-1.0,1.0
T0041078,C00895,2026-01-01 11:29:24,2786.52,WALLET,FAILED,BANK_DECLINE,0,65.0,6.0,0.9154929577464789,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0011171,C00243,2026-01-01 11:41:42,2357.44,UPI,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,2.8233333333333333,1,NONE,1.0,1.0,0.0,1053.24,0.0,2.2382742774676236,1.0,1,2.8233333333333333,-1.0,1.0
T0017446,C00383,2026-01-01 11:48:08,1558.15,CARD,FAILED,INSUFFICIENT_FUNDS,0,26.0,1.0,0.9629629629629629,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0035909,C00780,2026-01-01 11:55:43,961.12,UPI,FAILED,BANK_DECLINE,2,2.0,0.0,1.0,3.5327777777777776,1,NONE,2.0,2.0,0.0,4102.085,0.0,0.23430036188913686,1.0,1,3.5327777777777776,-1.0,1.0
T0014041,C00307,2026-01-01 11:58:52,3019.33,CARD,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,8.159444444444444,1,NONE,1.0,1.0,0.0,4506.43,0.0,0.6700048597226629,1.0,1,8.159444444444444,-1.0,1.0
T0009881,C00216,2026-01-01 11:59:07,1232.35,CARD,FAILED,BANK_DECLINE,0,47.0,4.0,0.9215686274509803,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0005761,C00127,2026-01-01 12:13:55,513.39,UPI,FAILED,INSUFFICIENT_FUNDS,0,51.0,5.0,0.9107142857142857,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0013221,C00290,2026-01-01 12:24:15,678.34,UPI,FAILED,NETWORK_ERROR,2,1.0,1.0,0.5,2.1,0,NETWORK_ERROR,2.0,1.0,1.0,1112.4099999999999,0.5,0.6097931518055394,1.0,2,11.396666666666667,2.1,1.0
T0031876,C00692,2026-01-01 12:39:54,3557.67,NETBANKING,FAILED,LIMIT_EXCEEDED,1,0.0,1.0,0.0,6.8597222222222225,0,INSUFFICIENT_FUNDS,1.0,0.0,1.0,1944.17,1.0,1.8299171368758904,1.0,2,-1.0,6.8597222222222225,1.0
T0038548,C00839,2026-01-01 12:55:44,7961.22,UPI,FAILED,INSUFFICIENT_FUNDS,0,31.0,1.0,0.96875,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0003833,C00085,2026-01-01 13:20:33,2419.46,WALLET,FAILED,LIMIT_EXCEEDED,0,63.0,2.0,0.9692307692307692,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0015852,C00348,2026-01-01 13:27:23,1400.01,NETBANKING,FAILED,BANK_DECLINE,0,65.0,11.0,0.8552631578947368,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0028024,C00614,2026-01-01 13:28:27,2527.09,WALLET,FAILED,INSUFFICIENT_FUNDS,2,2.0,0.0,1.0,2.511388888888889,1,NONE,2.0,2.0,0.0,848.2950000000001,0.0,2.9790226277415286,1.0,1,2.511388888888889,-1.0,1.0
T0006966,C00153,2026-01-01 13:56:55,1425.71,UPI,FAILED,INSUFFICIENT_FUNDS,1,1.0,0.0,1.0,11.215,1,NONE,1.0,1.0,0.0,2860.33,0.0,0.4984424874052994,1.0,1,11.215,-1.0,1.0
T0004058,C00089,2026-01-01 14:03:22,956.35,UPI,FAILED,INSUFFICIENT_FUNDS,1,0.0,1.0,0.0,7.855277777777777,0,BANK_DECLINE,1.0,0.0,1.0,3258.67,1.0,0.29347862778372774,1.0,2,-1.0,7.855277777777777,1.0
T0032652,C00710,2026-01-01 14:27:11,932.84,UPI,FAILED,INSUFFICIENT_FUNDS,0,41.0,5.0,0.8913043478260869,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0036030,C00783,2026-01-01 14:41:48,1101.5,NETBANKING,FAILED,NETWORK_ERROR,0,30.0,1.0,0.967741935483871,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0045139,C00984,2026-01-01 14:51:37,1799.97,NETBANKING,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,0.6327777777777778,1,NONE,1.0,1.0,0.0,768.32,0.0,2.342734798000833,1.0,1,0.6327777777777778,-1.0,1.0
T0030903,C00672,2026-01-01 14:54:37,563.24,UPI,FAILED,NETWORK_ERROR,3,3.0,0.0,1.0,5.313611111111111,1,NONE,3.0,3.0,0.0,1216.14,0.0,0.4631374677257552,1.0,1,5.313611111111111,-1.0,1.0
T0023039,C00506,2026-01-01 14:54:38,4325.99,UPI,FAILED,LIMIT_EXCEEDED,2,2.0,0.0,1.0,5.981944444444444,1,NONE,2.0,2.0,0.0,3276.16,0.0,1.3204452773979294,1.0,1,5.981944444444444,-1.0,1.0
T0004593,C00101,2026-01-01 15:44:40,550.79,UPI,FAILED,NETWORK_ERROR,1,0.0,1.0,0.0,10.529166666666667,0,NETWORK_ERROR,1.0,0.0,1.0,1193.17,1.0,0.4616190484172414,1.0,2,-1.0,10.529166666666667,1.0
T0033915,C00736,2026-01-01 15:46:26,1193.48,NETBANKING,FAILED,BANK_DECLINE,2,2.0,0.0,1.0,8.545,1,NONE,2.0,2.0,0.0,7833.16,0.0,0.1523625203621527,1.0,1,8.545,-1.0,1.0
T0016515,C00361,2026-01-01 15:47:10,4583.22,UPI,FAILED,NETWORK_ERROR,0,51.0,4.0,0.9272727272727272,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0039907,C00870,2026-01-01 15:54:45,810.56,UPI,FAILED,NETWORK_ERROR,0,42.0,4.0,0.9130434782608695,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0011117,C00241,2026-01-01 15:59:59,7296.69,CARD,FAILED,BANK_DECLINE,0,57.0,9.0,0.8636363636363636,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0029092,C00635,2026-01-01 16:10:04,780.83,UPI,FAILED,BANK_DECLINE,0,52.0,3.0,0.9454545454545454,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0015128,C00334,2026-01-01 16:21:42,4651.43,NETBANKING,FAILED,INSUFFICIENT_FUNDS,2,2.0,0.0,1.0,1.0991666666666666,1,NONE,2.0,2.0,0.0,1672.035,0.0,2.7818975081263253,1.0,1,1.0991666666666666,-1.0,1.0
T0019493,C00429,2026-01-01 16:39:49,3634.57,CARD,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,0.9077777777777778,1,NONE,1.0,1.0,0.0,877.7,0.0,4.141016292582887,1.0,1,0.9077777777777778,-1.0,1.0
T0010004,C00218,2026-01-01 16:44:15,1688.77,CARD,FAILED,PAYMENT_TIMEOUT,3,3.0,0.0,1.0,4.392222222222222,1,NONE,3.0,3.0,0.0,4362.726666666667,0.0,0.3870904892811681,1.0,1,4.392222222222222,-1.0,1.0
T0003098,C00072,2026-01-01 16:57:29,407.41,UPI,FAILED,INSUFFICIENT_FUNDS,2,2.0,0.0,1.0,1.1702777777777778,1,NONE,2.0,2.0,0.0,434.10999999999996,0.0,0.9384948515353253,1.0,1,1.1702777777777778,-1.0,1.0
T0030581,C00666,2026-01-01 16:58:17,538.46,WALLET,FAILED,INSUFFICIENT_FUNDS,1,1.0,0.0,1.0,5.055,1,NONE,1.0,1.0,0.0,590.91,0.0,0.9112385980944646,1.0,1,5.055,-1.0,1.0
T0019671,C00433,2026-01-01 17:00:05,2061.68,UPI,FAILED,INSUFFICIENT_FUNDS,1,1.0,0.0,1.0,16.08416666666667,1,NONE,1.0,1.0,0.0,1820.69,0.0,1.1323619067496387,1.0,1,16.08416666666667,-1.0,1.0
T0031202,C00678,2026-01-01 17:20:19,1784.57,UPI,FAILED,BANK_DECLINE,0,63.0,4.0,0.9402985074626866,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0035459,C00772,2026-01-01 17:34:26,1129.82,NETBANKING,FAILED,BANK_DECLINE,3,3.0,0.0,1.0,5.251388888888889,1,NONE,3.0,3.0,0.0,1791.2466666666667,0.0,0.6307450676809819,1.0,1,5.251388888888889,-1.0,1.0
T0041192,C00898,2026-01-01 17:35:29,1472.94,UPI,FAILED,PAYMENT_TIMEOUT,1,1.0,0.0,1.0,14.061388888888889,1,NONE,1.0,1.0,0.0,407.47,0.0,3.6148428105136574,1.0,1,14.061388888888889,-1.0,1.0
T0035281,C00768,2026-01-01 17:37:28,555.21,UPI,FAILED,INSUFFICIENT_FUNDS,2,2.0,0.0,1.0,6.954444444444444,1,NONE,2.0,2.0,0.0,1456.4250000000002,0.0,0.38121427467943764,1.0,1,6.954444444444444,-1.0,1.0
T0013279,C00291,2026-01-01 17:45:35,400.63,NETBANKING,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,16.93638888888889,1,NONE,1.0,1.0,0.0,2417.67,0.0,0.16570913317367547,1.0,1,16.93638888888889,-1.0,1.0
T0012618,C00277,2026-01-01 18:03:24,2907.48,CARD,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,16.483888888888888,1,NONE,1.0,1.0,0.0,666.82,0.0,4.360217150055487,1.0,1,16.483888888888888,-1.0,1.0
T0000901,C00020,2026-01-01 18:17:51,1160.94,UPI,FAILED,BANK_DECLINE,2,2.0,0.0,1.0,5.246388888888889,1,NONE,2.0,2.0,0.0,2220.225,0.0,0.5228929500388475,1.0,1,5.246388888888889,-1.0,1.0
T0036547,C00795,2026-01-01 18:45:04,2077.49,WALLET,FAILED,INSUFFICIENT_FUNDS,2,2.0,0.0,1.0,6.708611111111111,1,NONE,2.0,2.0,0.0,679.0500000000001,0.0,3.059406523820042,1.0,1,6.708611111111111,-1.0,1.0
T0022029,C00485,2026-01-01 18:53:48,982.64,UPI,FAILED,BANK_DECLINE,0,46.0,1.0,0.9787234042553191,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0025821,C00569,2026-01-01 18:56:46,4239.61,UPI,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,14.372222222222222,1,NONE,1.0,1.0,0.0,5202.91,0.0,0.8148536107678203,1.0,1,14.372222222222222,-1.0,1.0
T0021088,C00464,2026-01-01 19:10:55,781.24,UPI,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,9.898055555555555,1,NONE,1.0,1.0,0.0,5482.36,0.0,0.1425006748918349,1.0,1,9.898055555555555,-1.0,1.0
T0002531,C00058,2026-01-01 19:37:40,1617.0,UPI,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,18.260277777777777,1,NONE,1.0,1.0,0.0,597.88,0.0,2.7045560982136885,1.0,1,18.260277777777777,-1.0,1.0
T0023523,C00517,2026-01-01 19:39:21,522.55,CARD,FAILED,INSUFFICIENT_FUNDS,2,2.0,0.0,1.0,8.676666666666666,1,NONE,2.0,2.0,0.0,2635.9900000000002,0.0,0.1982367156172823,1.0,1,8.676666666666666,-1.0,1.0
T0008940,C00193,2026-01-01 19:55:34,918.85,UPI,FAILED,BANK_DECLINE,1,1.0,0.0,1.0,13.7025,1,NONE,1.0,1.0,0.0,772.2,0.0,1.1899119399119398,1.0,1,13.7025,-1.0,1.0
T0003888,C00086,2026-01-01 20:09:45,1303.37,UPI,FAILED,PAYMENT_TIMEOUT,0,67.0,3.0,0.9571428571428572,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0010183,C00221,2026-01-01 20:26:09,889.34,UPI,FAILED,NETWORK_ERROR,2,1.0,1.0,0.5,16.04083333333333,1,NONE,2.0,1.0,1.0,1295.06,0.5,0.6867172177350856,1.0,1,16.04083333333333,16.15972222222222,1.0
T0012452,C00273,2026-01-01 20:35:44,937.47,UPI,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,15.810555555555556,1,NONE,1.0,1.0,0.0,1448.77,0.0,0.6470799367739531,1.0,1,15.810555555555556,-1.0,1.0
T0017874,C00392,2026-01-01 20:46:12,1308.97,UPI,FAILED,INSUFFICIENT_FUNDS,1,1.0,0.0,1.0,20.480555555555554,1,NONE,1.0,1.0,0.0,3042.87,0.0,0.43017611662673727,1.0,1,20.480555555555554,-1.0,1.0
T0005558,C00122,2026-01-01 20:48:26,3627.08,NETBANKING,FAILED,INSUFFICIENT_FUNDS,1,1.0,0.0,1.0,12.606944444444444,1,NONE,1.0,1.0,0.0,1146.33,0.0,3.1640801514398125,1.0,1,12.606944444444444,-1.0,1.0
T0036346,C00791,2026-01-01 21:12:10,2934.57,WALLET,FAILED,NETWORK_ERROR,0,41.0,2.0,0.9534883720930233,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0037903,C00825,2026-01-01 21:22:09,1151.12,CARD,FAILED,INSUFFICIENT_FUNDS,2,2.0,0.0,1.0,4.948333333333333,1,NONE,2.0,2.0,0.0,1115.505,0.0,1.03192724371473,1.0,1,4.948333333333333,-1.0,1.0
T0037107,C00805,2026-01-01 21:30:00,512.23,UPI,FAILED,PAYMENT_TIMEOUT,0,49.0,1.0,0.98,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0003666,C00082,2026-01-01 21:43:29,975.49,UPI,FAILED,BANK_DECLINE,2,2.0,0.0,1.0,12.956666666666667,1,NONE,2.0,2.0,0.0,764.015,0.0,1.2767943037767584,1.0,1,12.956666666666667,-1.0,1.0
T0019632,C00432,2026-01-01 22:01:59,3487.77,CARD,FAILED,INSUFFICIENT_FUNDS,0,33.0,2.0,0.9428571428571428,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0008173,C00177,2026-01-01 22:02:35,643.32,UPI,FAILED,PAYMENT_TIMEOUT,1,1.0,0.0,1.0,4.906666666666666,1,NONE,1.0,1.0,0.0,1583.31,0.0,0.40631335619682823,1.0,1,4.906666666666666,-1.0,1.0
T0030460,C00663,2026-01-01 22:10:30,601.56,UPI,FAILED,NETWORK_ERROR,2,2.0,0.0,1.0,12.707777777777778,1,NONE,2.0,2.0,0.0,2222.935,0.0,0.270615200174544,1.0,1,12.707777777777778,-1.0,1.0
T0042522,C00929,2026-01-01 22:12:04,2107.63,UPI,FAILED,NETWORK_ERROR,2,2.0,0.0,1.0,13.598333333333333,1,NONE,2.0,2.0,0.0,759.69,0.0,2.7743290026194893,1.0,1,13.598333333333333,-1.0,1.0
T0002915,C00068,2026-01-01 22:18:50,1739.2,CARD,FAILED,INSUFFICIENT_FUNDS,2,2.0,0.0,1.0,6.7619444444444445,1,NONE,2.0,2.0,0.0,1668.67,0.0,1.042267194831812,1.0,1,6.7619444444444445,-1.0,1.0
T0038759,C00843,2026-01-01 22:36:43,617.1,CARD,FAILED,INSUFFICIENT_FUNDS,1,1.0,0.0,1.0,21.485277777777778,1,NONE,1.0,1.0,0.0,2656.03,0.0,0.23233924315613905,1.0,1,21.485277777777778,-1.0,1.0
T0030015,C00653,2026-01-01 22:46:25,5629.96,CARD,FAILED,BANK_DECLINE,3,3.0,0.0,1.0,1.6236111111111111,1,NONE,3.0,3.0,0.0,2785.943333333334,0.0,2.0208451236744462,1.0,1,1.6236111111111111,-1.0,1.0
T0020657,C00454,2026-01-01 22:52:14,3008.79,UPI,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,19.3525,1,NONE,1.0,1.0,0.0,751.52,0.0,4.003606025122418,1.0,1,19.3525,-1.0,1.0
T0009580,C00209,2026-01-01 23:17:12,5157.96,CARD,FAILED,LIMIT_EXCEEDED,2,2.0,0.0,1.0,16.31888888888889,1,NONE,2.0,2.0,0.0,1743.885,0.0,2.9577409060803896,1.0,1,16.31888888888889,-1.0,1.0
T0029675,C00645,2026-01-01 23:17:35,1395.19,CARD,FAILED,INSUFFICIENT_FUNDS,2,2.0,0.0,1.0,7.425833333333333,1,NONE,2.0,2.0,0.0,1290.605,0.0,1.0810356383246618,1.0,1,7.425833333333333,-1.0,1.0
T0015672,C00346,2026-01-01 23:21:19,692.48,UPI,FAILED,INSUFFICIENT_FUNDS,5,5.0,0.0,1.0,0.18416666666666667,1,NONE,5.0,5.0,0.0,1629.374,0.0,0.42499757575608793,1.0,1,0.18416666666666667,-1.0,1.0
T0024132,C00530,2026-01-01 23:23:30,1466.37,NETBANKING,FAILED,BANK_DECLINE,0,39.0,1.0,0.975,-1.0,-1,NONE,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1,-1.0,-1.0,1.0
T0027780,C00608,2026-01-01 23:23:51,1916.91,UPI,FAILED,NETWORK_ERROR,1,1.0,0.0,1.0,10.109444444444444,1,NONE,1.0,1.0,0.0,1293.53,0.0,1.4819215634735956,1.0,1,10.109444444444444,-1.0,1.0
T0000864,C00019,2026-01-01 23:46:13,7259.32,CARD,FAILED,LIMIT_EXCEEDED,2,2.0,0.0,1.0,4.5247222222222225,1,NONE,2.0,2.0,0.0,2386.005,0.0,3.0424579998784576,1.0,1,4.5247222222222225,-1.0,1.0
